bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
1,Madrid,49.0,True,False,"{'subtitle': 'Vega de la Moraleja, San Sebastián de los Reyes', 'title': 'Studio apartment in Paseo de Europa'}",True,0,False,True,False,29,GE192903,es,True,103520823,182000.0,40.5467689,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar Santo Domingo exclusively sells this brand new modern loft in San Sebastian de los Reyes! With its 40 square meters, this space has been designed to offer you comfort and style in every corner. This loft has an elegant bathroom equipped with a contemporary shower, giving you the perfect combination of functionality and sophistication. In addition, you can enjoy relaxing views of the beautiful pool, creating an atmosphere of serenity and tranquility in your day to day life. If exercise is part of your routine, you're in luck! This location includes access to a well-equipped fitness center, allowing you to maintain your health and wellness at your own pace, without leaving home. In addition, families with children will find a perfect space for fun, as it has an entertainment area especially dedicated to them. A home full of comforts and conveniences awaits you in this charming place! This modern apartment offers not only a cozy and well-designed space, but also a number of amenities that make life easier and more enjoyable. With a video intercom to ensure your safety and peace of mind, you can welcome your visitors with confidence.  The location is another of its strengths, with the convenience of having supermarkets, light rail and a health center nearby, making your day-to-day life easier. And we can not forget the inclusion of a parking space, which is a real added value, giving you the convenience of parking your car in the garage. This place is not just a home, it's a lifestyle that combines comfort, security and convenience in one package. Don't miss the opportunity to call it yours and experience everyday life with ease and tranquility! At Gilmar we have been working to offer our clients the best real estate for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rural properties, land for construction.  We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability.",False,"{'typology': 'flat', 'subTypology': 'studio'}",good,3714.0,https://www.idealista.com/inmueble/103520823/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/8d/69/1192489198.jpg,Paseo de Europa,True,-3.6232193,Vega de la Moraleja,San Sebastián de los Reyes,1,studio,False,nan
2,Madrid,95.0,True,False,"{'subtitle': 'Vega de la Moraleja, San Sebastián de los Reyes', 'title': 'Flat in Avenida De Seneca'}",True,2,False,True,True,36,CG191573,es,True,103200605,410000.0,40.5457072,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR sells a beautiful and bright 2 bedroom apartment located in a luxury urbanization that is located in the best area of San Sebastian de los Reyes. The property, in impeccable condition, has a very comfortable distribution with a spacious living room that has direct access to the terrace. The property has two bedrooms, the master bedroom with en suite bathroom. There is also another bathroom that serves the other bedroom. The kitchen is equipped with all appliances and also has a very comfortable and spacious laundry area and clothesline. The price of the house includes a parking space and a large storage room.  The urbanization has 24 hour security, swimming pool, solarium, gardens and a gym equipped with different machines for the practice of sports. Vega de La Moraleja is one of the most attractive areas of San Sebastian de los Reyes. Just 20 minutes from the center of Madrid by car, it is conveniently and directly accessible from exit 17 of the A1, with nearby access to the M40 and M50 ring roads. It also has an extensive public transport network: numerous bus lines, two nearby stations of Metro line 10 and a suburban train station just over 1 km away. Close to the protected natural environment of the Dehesa Boyal, this is an eminently residential area with numerous green areas and public parks, as well as with a wide range of public and private educational offerings, both in schools and as well as universities. It has a magnificent range of services: several supermarkets, sports facilities and clubs, gyms, two health centers, the Infanta Sofia Hospital, which can be reached in just 5 minutes, and a fire station. The commercial, leisure and restaurant offer is guaranteed with the Alegra and Diversia shopping centers as well as the Megapark Shopping Center.",False,{'typology': 'flat'},good,4316.0,https://www.idealista.com/inmueble/103200605/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/a5/aa/1182012512.jpg,Avenida DE SENECA,True,-3.6227269,Vega de la Moraleja,San Sebastián de los Reyes,1,flat,False,nan
2,Madrid,140.0,True,False,"{'subtitle': 'Pol. Industrial sur, San Sebastián de los Reyes', 'title': 'Estate'}",True,3,False,nan,True,49,SD185261,es,nan,101213995,515000.0,40.5699363,False,nan,sale,nan,"Gilmar Consulting Inmobiliario sells rustic property of 5.350m in which there is an equestrian centre and a house. Description: The equestrian centre has its REGA number and its registration as a social club, currently in operation. The equestrian centre consists of three buildings with 18 boxes, all 3x3 with water and electricity, with its own tack room, there is also a shower area for horses, 3 tracks with irrigation system and lighting, of approx. dimensions: - Track 1: 15X24m2 - Track 2: 36X21m2 - Track 3: 7X18m2 The complex also has a bar/cafeteria with terrace, a small hut where the office is currently located, a hayloft, a courtesy toilet and a silo for storing the horses' fodder. The whole property is totally fenced, it has well water (legalized) with many chambers distributed all over the property, additional water deposit of 6.000 litres, electricity from Iberdrola and septic tank. The house is 140m2, with three bedrooms, two bathrooms, living room, store room and a small garden of 30m2 plus a patio of another 30m2 approx. The kitchen, open plan, with island in the centre, the living room with fireplace, wooden beams and two stone walls. The master bedroom of about 33m2 has a dressing room and en-suite bathroom with both a hydro-massage bath and a shower. The windows are double glazed with tilt and turn windows. The heating is electric. There is another house of 80 m2 to reform inside the property. The setting is unique, in the middle of nature, but only a few kilometres from the centre of San Sebastián de los Reyes. Lots of fruit trees; apple trees, a plum tree, cherry trees, apricot trees and a big almond tree more than 100 years old. It has two independent entrances, one to the house and the other one to the equestrian club. IBI 400€ and no community fees, only rubbish tax 30€. It is also an ideal product for investors who want to buy as an investment as the whole complex is currently generating a return of around 4.5%. There is the possibility of buying a further 10,000 metres.",False,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",good,3679.0,https://www.idealista.com/inmueble/101213995/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/db/47/1114653965.jpg,Pol. Industrial sur,True,-3.5722238,Pol. Industrial sur,San Sebastián de los Reyes,nan,countryHouse,False,nan
2,Madrid,128.0,True,False,"{'subtitle': 'Sta. Bárbara-La Zaporra, San Sebastián de los Reyes', 'title': 'Flat in Calle Alava'}",True,4,False,True,False,42,nan,es,True,103694879,435000.0,40.5523078,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"4 BEDROOMS, with VIEWS to the Sierra. Refurbished in 2018. If you're looking for a home with room for the whole family, this is the perfect place for you! With four spacious bedrooms, you'll have plenty of room for every member of the family. Plus, the recent renovation ensures a modern and cozy atmosphere to enjoy as a family. The spacious entrance hall welcomes you to a home full of natural light and ample space. The kitchen with office and clothesline is perfect to enjoy your family meals. In addition, the three double bedrooms and the complete bathroom guarantee a comfortable environment for the whole family. The master bedroom with en suite bathroom is the perfect place to relax after a long day of work. And if you're concerned about accessibility, keep in mind that this apartment is located on the second floor. Don't miss the opportunity to have the home of your dreams! Come visit this apartment and fall in love with it!",False,{'typology': 'flat'},good,3398.0,https://www.idealista.com/inmueble/103694879/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2a/3b/27/1197350379.jpg,Calle Alava,True,-3.6381875,Sta. Bárbara-La Zaporra,San Sebastián de los Reyes,1,flat,False,nan
2,Madrid,134.0,True,False,"{'subtitle': 'Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes', 'title': 'Penthouse in Avenida de los Quiñones'}",True,4,False,True,False,95,4318,es,True,102146507,650000.0,40.5672276,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"LUXURY DUPLEX PENTHOUSE IN SAN SEBASTIÁN DE LOS REYES! We present this spectacular two-story property with ducted air conditioning and underfloor heating, distributed as follows We enter the house, where we find a very bright living-dining room thanks to the windows that each give access to a terrace, one closed with double glazed plus windows, perfectly equipped for the colder months, and the other, completely open. A fabulous designer kitchen, provided with wall and base furniture and appliances from the best brands. Even access to the covered laundry-clothesline. We cannot fail to mention a double bedroom, very practical on this floor, with access to the open terrace that we mentioned above, and an en-suite bathroom, with a shower and double sink. Also, a toilet, to serve the rest of the rooms We continue to the upper one, with three bedrooms, all with built-in wardrobes, one of them with access to the solarium equipped with an awning and another currently used as an office. The original bathroom, with a bathtub and shower, for use in all rooms. The most striking thing is the common areas, where we have a heated pool, outdoor pool, Turkish bath, gym, changing rooms, paddle tennis court and children's area. In addition, it has a storage room and garage space. Dreamy right? Come and discover it yourselves!",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,4851.0,https://www.idealista.com/inmueble/102146507/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/db/11/1145813789.jpg,Avenida de los Quiñones,True,-3.611302,Dehesa Vieja-Puente Cultural,San Sebastián de los Reyes,3,penthouse,False,nan
2,Madrid,105.0,True,False,"{'subtitle': 'Vega de la Moraleja, San Sebastián de los Reyes', 'title': 'Flat in Avenida De Seneca'}",False,2,False,True,True,34,CG190738,es,True,102876002,420000.0,40.5455269,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR SANTO DOMINGO sells a charming apartment with 2 bedrooms and 2 bathrooms located in an extraordinary luxury urbanization that is located in the best area of San Sebastian de los Reyes. All rooms enjoy plenty of light and tranquility as they are oriented to the common areas of urbanization. From the entrance hall we access to a nice living room with direct access to a terrace where glass curtains have been installed to enjoy it throughout the year. The house has two bedrooms, the master bedroom with en suite bathroom. There is also another bathroom that serves the other bedroom. The large kitchen also has a very comfortable and spacious laundry area and clothesline. The price of the house includes a large garage and a large storage room. The urbanization has 24 hour security, swimming pool, solarium, gardens and a gym equipped with different machines for the practice of sports. Vega de La Moraleja is one of the most attractive areas of San Sebastian de los Reyes Just 20 minutes from the center of Madrid by car, it is easily and directly accessible from exit 17 of the A1, with nearby access to the M40 and M50 ring roads. It also has an extensive public transport network: numerous bus lines, two nearby stations of Metro line 10 and a suburban train station just over 1 km away. Close to the protected natural environment of the Dehesa Boyal, it is an eminently residential area with numerous green areas and public parks, as well as a wide range of public and private educational offerings, both schools and universities. It has a magnificent range of services: several supermarkets, sports facilities and clubs, gyms, two health centers, the Infanta Sofia Hospital, which can be reached in just 5 minutes, and a fire station. The commercial, leisure and restaurant offer is guaranteed with the Alegra and Diversia shopping centers as well as the Megapark Shopping Center.",False,{'typology': 'flat'},good,4000.0,https://www.idealista.com/inmueble/102876002/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/b5/12/1172972001.jpg,Avenida DE SENECA,True,-3.6233719,Vega de la Moraleja,San Sebastián de los Reyes,2,flat,False,nan
2,Madrid,90.0,True,False,"{'subtitle': 'Vega de la Moraleja, San Sebastián de los Reyes', 'title': 'Flat'}",True,2,True,True,False,72,nan,es,True,102803097,425000.0,40.5405715,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Moraleja Real Estate Consulting offers for sale an apartment with two bedrooms and two bathrooms, 1 garage space and storage room. Exceptional orientation since it has sun throughout the morning in the living room and master bedroom and in the afternoon the sun enters the kitchen and the children's bedroom. It has a storage room, it has 1 comfortable garage space. Immediate availability, very good condition, ready to move into. Private urbanization with swimming pools, paddle tennis and 24 hour security, children's play area. Community area with large sports areas with football, basketball and children's play area. Home equipped with large built-in wardrobes in all bedrooms and in the hall of the home. We located this wonderful and bright apartment a short distance from the Plaza Norte II shopping center and the connection with suburban areas in San Sebastian de los Reyes and bus lines that connect us with the capital. The area stands out for its security and a very familiar, quiet environment surrounded by large green areas. House with two bedrooms and two large bathrooms. Fully equipped kitchen with office area and laundry clothesline. Living room with large window with unobstructed visits to the interior of the urbanization. Orientation East. Property with white interior carpentry. Wooden floors. The ceilings of the house are very high which gives us spaciousness and elegance, air conditioning throughout the house through ducts. Individual heating by natural gas. 24 hour security paddle Swimming pools for adults and children. children's play area Parkland Immediate availability 1 Garage space 12m2 storage room Perfect state of conservation.",False,{'typology': 'flat'},good,4722.0,https://www.idealista.com/inmueble/102803097/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/72/1c/1199559393.jpg,Vega de la Moraleja,False,-3.6191719,Vega de la Moraleja,San Sebastián de los Reyes,1,flat,False,nan
2,Madrid,100.0,True,False,"{'subtitle': 'Centro Urbano, San Sebastián de los Reyes', 'title': 'Duplex in Calle de las Higueras'}",False,4,True,True,False,25,13289-2023,es,True,103191299,269000.0,40.5452115,False,nan,sale,nan,"Duplex with terrace! Very bright! To enter to live! Spacious and bright two-story house with 100 m² built (82 useful m²) for sale in the urban center of San Sebastián de los Reyes, in the north of Madrid. The house is distributed over two floors and has a living-dining room, four bedrooms, kitchen, two bathrooms, a toilet, kitchen and hall. It has wooden and stoneware floors, aluminum windows, PVC blinds, white lacquered interior doors... Good general state of conservation. Ideal for families. It is a 3rd floor in a recently built block (2004) with an elevator. Good road communications (A-1) and public transport. Next to several bus stops on Avenida España. Close to all types of services and infrastructure such as educational centers (CEIP Silvio Abad), health centers (Centro Salud Reyes Católicos), shops, supermarkets, pharmacies, green areas... NO COMMISSION.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2690.0,https://www.idealista.com/inmueble/103191299/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/2a/2c/1181291167.jpg,Calle de las Higueras,False,-3.6235974,Centro Urbano,San Sebastián de los Reyes,3,duplex,False,nan
2,Madrid,116.0,True,False,"{'subtitle': 'Sta. Bárbara-La Zaporra, San Sebastián de los Reyes', 'title': 'Duplex in Avenida de Madrid'}",False,3,True,True,False,41,N02-AO1-14148,es,True,103848964,394600.0,40.5535509,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This duplex with terrace, strategically located on Avenida Madrid, San Sebastián de los Reyes, offers a unique residential experience with its 100 m² built area and a charming terrace. The home, with its generous spaciousness and luminosity, is presented as the ideal option for those seeking comfort, quality and a privileged location with access to all the necessary amenities.The presence of natural light in all rooms creates a cozy atmosphere, enhancing the feeling of comfort in every corner. Although the property is in good general condition, the possibility of updating allows it to be adapted to personal tastes and needs, making it the perfect choice for families. The distribution on two floors includes a large living-dining room, 3 bedrooms, separate kitchen, 1 bathroom and a toilet.The parquet floors in the noble areas and stoneware in the kitchen and bathrooms provide a touch of elegance.Aluminum windows with double glazing and PVC blinds guarantee energy efficiency, while natural gas heating and hot water offer comfort. The added value of the property is reflected in the inclusion of a parking space in the price. Located in the area of Sta.Bárbara-La Zaporra, the home has an unbeatable location, close to the metro, RENFE, schools, supermarkets and sports center.With excellent transport links, the RENFE station is 500 m away and the BAUNATAL metro stop is just a 5-minute walk away, along with several bus lines available. The area offers a complete educational offering, from nursery schools to primary and secondary education centers.In addition, it has health services, pharmacies and supermarkets such as Mercadona, Lidl and Día.Green spaces, such as Parque Arroyo, Mario Suárez Soccer Field, and Calisthenics Park, make this area an ideal place for families with children. THE NEIGHBORHOOD: Santa Bárbara-La Zaporra in San Sebastián de los Reyes is a residential area that has experienced significant development in recent years, offering a complete range of services and amenities.Parks and green areas provide spaces for outdoor activities, ideal for enjoying with the family or practicing sports. San Sebastián de los Reyes, in general, offers various leisure and entertainment options, from shopping centers to cultural spaces, providing residents with a variety of recreational activities. The proximity to the capital facilitates quick and easy access to Madrid through various communication routes, including the A-1 Highway. Santa Bárbara-La Zaporra is more than a location; It is a home that offers its residents a full life, with access to essential services, quality education, leisure options and the tranquility of a well-designed residential environment.Consider this area if you are looking for a place where comfort and quality of life intertwine in harmony.Contact us today for more information and to schedule a showing!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,3402.0,https://www.idealista.com/inmueble/103848964/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/24/6a/1202110222.jpg,Avenida de Madrid,False,-3.6385175,Sta. Bárbara-La Zaporra,San Sebastián de los Reyes,1,duplex,False,nan
2,Madrid,137.0,True,False,"{'subtitle': 'Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes', 'title': 'Flat in Avenida de los quiñones'}",False,3,True,True,False,40,AQ3,es,True,103688657,525000.0,40.5609091,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"STUDIO HOME MADRID OFFERS an apartment of 137 m2 built exterior, on the second floor, with double orientation Southwest and East, in a private urbanization, in San Sebastián de los Reyes, in Madrid. According to its current distribution, the house has an entrance hall with a built-in wardrobe, a 27 m2 living-dining room with access to an open exterior terrace of 7 m2, a large fitted and equipped kitchen (Forlady cabinets, American refrigerator, oven, hood, microwave, dishwasher and washing machine) with office and laundry room, three double bedrooms, with built-in wardrobes, the master bedroom has a double walk-in wardrobe, two full bathrooms, one of them en suite. Regarding its qualities, it has an armored entrance door, video intercom, large aluminum windows with tilt-and-turn climalit glass, interior carpentry in beech color, wardrobes dressed and lined with drawers, wooden floors, individual natural gas heating, air conditioning cold/heat through duct. It has a garage space and a 7 m2 storage room, with direct access, included in the price. The urbanization has garden areas, a children's area, a sports area with a carpeted paddle tennis court, a community pool, a common room and a gym. Located in one of the best areas of the Dehesa Vieja, an area with all services, medical centers, a few meters from the Infanta Sofía Hospital, institutes, schools, daycare centers, a variety of shops, cafes, restaurants, sports center, supermarkets, banks, Style outlet shopping center and Alegra Shopping and Leisure Park nearby and 5 minutes from Plaza Norte Shopping Center, IKEA, Carrefour and Leroy Merlín. Good communication with public transport. 400 meters from the Infanta Sofía Metro station (Metro Line 10), and 20 meters from several interurban bus lines that take you to the Plaza de Castilla interchange from door to door (152,152-C, 154-C. ). Exits A1 -. Burgos, Carretera de Fuencarral, Carretera de Colmenar, M-40 and M-50. ESTUDIO HOME MADRID, a real estate agency with 20 years of experience in the sector, offers legal, tax and financial advice, providing personalized monitoring throughout the entire purchase and sale process.",False,{'typology': 'flat'},good,3832.0,https://www.idealista.com/inmueble/103688657/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/68/d3/1197147178.jpg,Avenida de los quiñones,False,-3.6155479,Dehesa Vieja-Puente Cultural,San Sebastián de los Reyes,2,flat,False,nan
