has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
True,chalet,False,True,233.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/ca/ee/1154370545.jpg,False,False,4,nan,319000.0,1369.0,nan,3,es,"FOR SALE MAGNIFICENT SEMI-DETACHED HOUSE IN SERRANILLOS DEL VALLE. House for sale in Serranillos del valle with an area of 233 square meters built approx. on a plot of more than 400 m². The property is distributed over three floors: - The ground floor: large fitted kitchen, a bedroom and a complete bathroom with a shower, a separate living-dining room with access to a garden. - The first floor is divided into three bedrooms and two bathrooms, one of them with a bathtub and the other en suite with a shower. - On the top floor we find an open-plan attic with multiple possibilities, it can be used as an office, games room, gym or even two more bedrooms. The floors of the property are stoneware, windows, white lacquered aluminum sliders, awnings and the heating is diesel. The house also has a large paved patio, storage room, a large warehouse and a garage with capacity for one car. Request a visit without obligation! We do not charge commission to the buyer.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/34999056/,-3.8835659,False,39,nan,nan,False,34999056,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.2054326,{'title': 'Semi-detached house'},Serranillos,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Serranillos del Valle
True,chalet,False,True,162.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/96/7d/1133648235.jpg,False,False,4,nan,319900.0,1975.0,nan,2,es,"GRIÑÓN INMOBILIARIA presents this independent house in a quiet area with easy access to the entrance and exit of the roads, urban center, schools and etc. On a 494 m2 plot we have a 2-story house with a large garden, porch, parking spaces, storage room, barbecues. The ground floor has a cozy living room, 1 bedroom with a bathroom with shower and a gym room. First floor with a spacious living room with air conditioning, 3 bedrooms, kitchen (with access to a very large porch) and 1 bathroom with natural light. The exterior part is well used and very pleasant due to its green areas, with beautiful decoration and a swimming pool (in need of repair, but with a new treatment plant/). The paint of the house is gotelet, PVC windows, sapely doors, bars on all the windows. It may be the house you were looking for, come and we'll show it to you! GRIÑÓN INMOBILIARIA, is the reference real estate agency in Griñón, due to professional experience, over the years we have been located on Juan Carlos I Street Nº7, the knowledge of our town and other neighboring towns, makes the information safe and accurate, and that It is very important to have an idea of where you are going to live, contact us if you buy or sell, seriousness and transparency, that is our letter of introduction, buy your house we will do a free financial study knowing what you can buy, we manage your personalized mortgage, and we will sell you your house with full guarantee that the purchase and sale will materialize, call for more n, mobile.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/101783543/,-3.8840718,False,35,nan,nan,False,101783543,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.2036856,{'title': 'Detached house'},01940,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Serranillos del Valle
True,flat,False,True,110.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/5a/f1/615908625.jpg,False,False,2,True,195000.0,1773.0,nan,2,es,"a low house without stairs to live comfortably, with a patio of 20 m2, practically new, with community pool and gardens, 2 parking spaces plus storage included in the price, with 2 large and spacious bedrooms, living room of 20 m2, 1 bathroom complete inside the master bedroom plus 1 toilet with shower, 2 wardrobes, very modern fitted kitchen with oven and hood, imitation stone flooring, oak interior doors, double glazed windows, painted throughout in smooth, armored entrance door, flame is a low with a reasonable price and with some qualities of first. Griñón real estate is a consolidated company in the real estate sector, with more than 20 years of experience, being leaders in the southern area, our professionalism is based on transparency, honesty and being independent. We have our financial department to make the study free. Buy, sell or rent your housing and leave it in the hands of experts. WE ARE HERE TO HELP YOU.. . 24-hour health center, and all the services you need a locality such as Griñón schools, institutes, shopping centers, and the best shops to buy in Griñón. 2 bus lines, and one of the best areas to live tranquil @. FIND YOUR HOME WITH US, AND DO NOT PAY COMMISSIONS, (WE DO NOT CHARGE) COME TO VISIT US AND YOU WILL CHECK IT. VISIT OUR WEB, WWW. GRINONINMOBILIARIA. COM.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/83259704/,-3.8842146,False,28,bj,True,False,83259704,Madrid,{'typology': 'flat'},False,40.2068461,{'title': 'Flat'},01523,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Serranillos del Valle
True,chalet,False,True,300.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/f3/d8/1153496166.jpg,False,False,4,nan,329900.0,1100.0,nan,4,es,"GRIÑON INMOBILIARIA sells a semi-detached house in Serranillos del Valle. The chalet is distributed in: basement -garage of 90 m2, storage room, boiler room, office and toilet. Main floor with 1 bedroom and a full bathroom, kitchen and separate living room. The first floor has 2 bathrooms, 3 bedrooms. The exterior part has a porch and several rooms. At Griñón real estate we are convinced that the sale of a property is a difficult decision, since it involves a process. Our sales representatives will be with you all the way. We provide: Legal and administrative assistance and advice; Studies on the market in the area, free valuation of your home; We promote your property in all the necessary national commercial media, to find the ideal buyer; We adapt to your needs. SALE WITHOUT EXCLUSIVE. We have a very large customer base and this helps us speed up the search time. It should also be noted that GRIÑÓN INMOBILIARIA manages all the necessary steps until reaching the notary, we make sure that this journey is fast, easy and pleasant. We are at c/Juan Carlos I N7 local 7 Griñón Madrid tel. and.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/102372045/,-3.8819894,False,11,nan,nan,False,102372045,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.2070955,{'title': 'Semi-detached house'},01951,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Serranillos del Valle
True,duplex,False,False,165.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/b8/ac/1180943629.jpg,False,False,3,True,262000.0,1588.0,nan,2,es,"Your Real Estate Space presents a spectacular duplex penthouse in Serranillos, recently completely renovated. Located on the first floor and within a private urbanization with beautiful common areas. The house has a constructed area of 165 square meters that is distributed over two floors. On the first floor we find a large, bright living room with access to a pleasant terrace where you can have barbecues or enjoy meals with friends, a fitted kitchen with access to a terrace, a bedroom with a built-in wardrobe and a full bathroom. The second floor has two large bedrooms and a full bathroom with a built-in shower. All bedrooms have built-in wardrobes with large capacity. The windows are Climalit tilt-and-turn windows with thermal break and acoustic insulation. The wooden floors throughout the house were installed very recently. smooth walls. Individual natural gas heating and hot/cold air conditioning pump in several rooms. The rooms have beautiful views of the common areas where you will find manicured gardens and swimming pool. The price includes parking space. CALL US AND COME VISIT IT, YOU WILL LOVE IT. NO PURCHASE COMMISSIONS. FINANCIAL DEPARTMENT TO GET THE BEST CONDITIONS FOR YOUR MORTGAGE.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/103068732/,-3.8839045,False,47,1,False,False,103068732,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.2075817,{'title': 'Duplex'},nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Serranillos del Valle
False,chalet,False,True,252.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/c0/9a/1174463484.jpg,False,False,5,nan,279900.0,1111.0,nan,4,es,"Do you want to turn this magnificent independent chalet into the home of your dreams? Remax Hunter presents you this fantastic home built on two floors, with many possibilities for renovation, and which can be converted into two independent homes if desired.We have a reform proposal, with limited and distribution plans. This property, built on a 532 m2 plot, is distributed as follows: Ground floor: accessed through a large living room and then we find a spacious double bedroom with an en-suite bathroom and a large built-in wardrobe.There is another bedroom on this floor, as well as a spacious kitchen with an office and pantry, a toilet, the boiler room and the treatment plant room.From the kitchen you can access the upper floor via a beautiful solid oak staircase, which goes directly to the living room. Upper floor: the living room has access to the outside through the porch, covered with a glass and aluminum enclosure, which allows us to see the pool, the gazebo and the barbecue.On this floor there are also three large bedrooms and two bathrooms, both with windows.One of the bathrooms is double, 8 m2 with a bathtub, and the other has a shower tray.From one of the bedrooms there is access to a beautiful glazed terrace. Exterior: magnificent recreation area, with a wonderful 44 m pool, a large built-in gazebo, and a built-in barbecue that is complemented by an outdoor closet for belongings.There is also a small house that allows for various uses: greenhouse, storage, children's play space, etc.At the entrance and sides of the house, paved areas are combined with large built-in planters. As for facilities, the chalet has oil heating for winter and electric water heater for summer.The windows are made of aluminum and double glazing with thermal break.There is air conditioning in several rooms (living room, bedrooms).The floor is stoneware, the wall finish is gotelé and the doors are lacquered.It is a very bright home, on the ground floor it faces east-west, and on the upper floor it faces north and south. Serranillos del Valle is a beautiful municipality in the south of the Community of Madrid, very quiet and pleasant, in which single-family houses predominate.A short distance from the house there is a doctor's office, pharmacy, school, gym and green areas. Public transport allows travel to the neighboring municipalities (Griñón, Torrejón de la Calzada, Parla, Getafe, etc.) and to Madrid (Plaza Elíptica interchange).There is easy road access to the M-407 highway, which connects with the M-50, and the M-404 highway, which connects with the Toledo highway (A-42) and the A-5, as well as connections with all the municipalities of the area. Do not hesitate to contact us to visit this beautiful home and check out all the possibilities it offers! FREE FINANCIAL ADVICE!",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/102994562/,-3.8802972,False,44,nan,nan,False,102994562,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.2036327,{'title': 'Detached house in Calle Chopos'},3529-00193,renew,nan,Calle Chopos
False,duplex,False,True,115.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/62/11/1191779807.jpg,True,True,3,True,205000.0,1783.0,nan,3,es,"The CMS Inmobiliaria team presents this excellent and charming semi-furnished duplex for sale in the heart of Serranillos del Valle, with a garage and storage room.Built in 2007 and close to all the services you need.If you are looking to live in an apartment, counting on the comfort that this implies, with enough space and light, this is your opportunity.It is a 1st floor all exterior.This apartment is sold semi-furnished and with a basic equipped kitchen and fully equipped bathrooms.The state of maintenance is excellent, and if you are looking for a home and at the same time want to save, you can find it here. We access the property through the armored door and find the distributor, which takes us directly to the living-dining room and the guest toilet on this 1st floor. The modern, functional kitchen, with a lot of style, new (1 year) and everything to measure, does not lack detail.Made of wood, fully furnished and equipped with basic electrical appliances, it also has a side table to have breakfast every day and go out into the world with energy.  We go to the living room, spacious and very bright, since it has a large window from the ceiling to the floor.It is accompanied by a fantastic high-quality white lacquered furniture, tailored and in perfect condition. It consists of a room on the first floor, which you can use as an office or play area or study for children and adults, it is also accompanied by a toilet on this first floor.Two other spacious double bedrooms on the second floor, one of them is the double suite with its bathroom and another full bathroom on this floor. All built-in wardrobes, dressed and lined, integrated into the architecture of the apartment, fully adapted.  The entire floor of the house is parquet in very good condition, bathrooms and kitchen in porcelain.The entire apartment is freshly painted and smooth walls, in light and cozy tones, favoring light.The interior carpentry is in oak. The exterior carpentry is aluminum with Climalit glass.Also new aluminum heating radiators and in all rooms of the house.Air Conditioning with only one year old. ""Don't wait for the perfect moment, make this moment perfect."" Living in Serranillos del Valle is a luxury, because you will have the tranquility of living in a small town without leaving Madrid.It is a comfortable and safe area where you can walk anywhere.It is a town with all the services and shops necessary for day to day.  Close to all the amenities and services you may need, Infant and Primary Education schools, nursery schools, with all the sports services we need, local shops, pharmacy, banks, everything you need is at your fingertips.  This apartment can be your opportunity to start a life with your family in Serranillos, because due to its location it is very comfortable if you or your partner work in Madrid, with quick access to the A-42 and M-50, as well as communication continues through buses, means that in 20 minutes you can be in Madrid. Like? Do you see yourself living in it? Do not wait more! We are qualified property agents, if you need financing at CMS Inmobiliaria you will find it, without obligation our financial department will make a study for you and also under preferential conditions..",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/99963288/,-3.8835816,False,32,1,False,False,99963288,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.2049023,{'title': 'Duplex in Calle de Cataluña'},4599,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle de Cataluña
False,duplex,False,True,126.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/bf/da/1190233410.jpg,False,True,3,True,193000.0,1532.0,nan,3,es,"M&M Real Estate Consulting exclusively markets this spectacular duplex in the center of the municipality of Serranillos del Valle. The property has a constructed area of 126 m2, consisting of 3 bedrooms, 2 full bathrooms (one of them en suite) and a guest toilet in the living room. The distribution of the house is as follows: -Entrance Floor: We access the house from a large hall from which it shows us the distribution of the house that we are going to find. An ideal square kitchen thanks to its space to be able to do routine in said room, it generates the possibility of hosting a table for 5 people, very spacious and bright living-dining room thanks to two full 1.30 meter windows. Courtesy toilet located in the leisure area to avoid going to the upper floor. -Floor +1: In the upper area of the house we find 3 complete bedrooms, all equipped with storage space through built-in wardrobes. 2 full bathrooms, 1 of them included en suite in the double bedroom equipped with a shower and the remaining one with a bathtub serving the 2 remaining bedrooms. The condition of the home is exceptional, generating the possibility for the buyer client to make life from the first day, thanks to its good state of conservation and its first qualities used in the construction; Floating floors, double glazed windows with thermal break, smooth walls. The house includes a garage space.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/103460725/,-3.8706052,True,24,1,False,False,103460725,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.2016899,{'title': 'Duplex in Cataluña no number'},nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",CATALUÑA no number
False,flat,False,True,96.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/df/1c/1190225421.jpg,False,True,2,True,185000.0,1927.0,nan,2,es,"M&M Real Estate Consulting S. L. exclusively sells this beautiful ground floor apartment without access stairs, in the heart of the municipality of Serranillos del Valle. A brand new space, where every corner has been carefully renovated with the best qualities. This beautiful apartment, with its 98 square meters, offers you a unique experience in comfort and design. The house has a comprehensive renovation completed a few months ago which has been finished to top quality standards. AC5 quality laminate flooring, double glazed windows with thermal break, with 19 millimeter thick glass, which not only provide incredible views but also energy savings. The new blinds and smoothed walls are details that make the difference, creating a modern and cozy atmosphere. This apartment has two large bedrooms, both with built-in wardrobes and dressing inside, offering an organized and functional space. In addition, the television outlet in all rooms allows you to enjoy entertainment in any corner of your new home. The house has two bathrooms, one of them complete with a shower and another that perfectly complements the distribution as a toilet, ensuring the comfort of your daily life. The location in the center of Serranillos del Valle ensures that you will have everything you need just a stone's throw away, from local shops to dining and entertainment options. As well as in terms of public transport services such as bus stops, which we have just 20 meters from the property.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/103460530/,-3.8816294,True,24,bj,True,False,103460530,Madrid,{'typology': 'flat'},False,40.2061626,{'title': 'Flat in Paseo De La Pradera no number'},nan,good,nan,Paseo DE LA PRADERA no number
False,chalet,False,True,165.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/0a/01/1193276234.jpg,False,True,4,nan,319900.0,1939.0,nan,2,es,"M&M consulting real estate exclusively sells this spectacular independent villa on the ground floor. The distribution of the house is as follows: -Entry floor: We find 3 bedrooms, all very spacious and equipped with built-in wardrobes, full bathroom, 18 m2 living-dining room, kitchen with access to a rear gazebo and a spectacular 500-meter plot. Mahogany laminate flooring, double glazed tilt-and-turn windows with thermal break. -Basement Floor: In this area of the house we find an independent apartment consisting of a living-dining room, a complete bedroom with an en-suite bathroom with a shower. Recently renovated this entire floor. -Garden / Plot: The garden design has been conceived to offer a perfect balance between beauty and ease of maintenance on an incredible 500 meter plot.",sale,Serranillos del Valle,False,https://www.idealista.com/inmueble/103557626/,-3.8886462,False,48,nan,nan,False,103557626,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.2023859,{'title': 'Detached house in Calle de los Geraneos'},nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle de los Geraneos
