bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
4,Madrid,410.0,True,False,{'title': 'Detached house'},True,5,False,nan,False,46,CE189221,es,nan,525000.0,102583848,40.754779,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar sells a 410-meter independent villa on a 586-meter plot in the magnificent Monte Real urbanization with magnificent views of the mountains. It has a solar panel to help the electric hot water heater.For heating it has a 1000 liter diesel tank.In addition, it has a fireplace and air vents in several bedrooms. DISTRIBUTION: MAIN FLOOR: Separate kitchen, living room with access to the terrace and garden (option to make a bedroom on the ground floor), bathroom and patio. FIRST FLOOR: 3 bedrooms that share 2 bathrooms (they share a bathtub and can be separated again), one of the bedrooms has a terrace facing south. ATTIC: There is a mattress to be used as a guest bedroom if desired, access is with a retractable ladder and one of the walls is open to one of the bedrooms. BASEMENT: 2 bedrooms, 1 bathroom, 1 separate kitchen and living room.(It is currently rented, it has its own independent entrance to the plot.They can stay or go, whatever the buyer decides) If you are interested in this house, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE DO NOT CHARGE BUYER FEES! AND WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! IF YOU WANT TO SELL YOUR HOUSE… CALL US. At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 35 years of activity, Gilmar has managed to reach a privileged space within the high standing Real Estate Sector.We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build. Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. Houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra , buy a house, buy a flat, buy a house, buy a chalet, buy an attic.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1280.0,https://www.idealista.com/inmueble/102583848/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e9/4f/8f/1162696399.jpg,Soto del Real,True,-3.7778389,Soto del Real,nan,chalet,False,nan
5,Madrid,540.0,True,False,{'title': 'Detached house in Avenida de Madrid'},True,4,True,nan,False,70,3248-20415,es,nan,995000.0,95593545,40.7506753,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Do you want to enjoy a beautiful and exclusive detached house, renovated with the highest qualities to move into and in a spectacular environment? This house is special for its constructive qualities, its beautiful views of the Madrid mountains, and the natural environment where it is located.Built in 1.970 but completely renovated consists of a 1408 m2 plot, with covered outdoor parking for three cars, solarium, a large gazebo to enjoy and 2 ZEN water fountains. The house is distributed as follows: Main floor: Large living room with central fireplace, very bright kitchen with Santos signature furniture with office, Neff and Liebherr appliances.Two large bedrooms with en-suite bathrooms (main with fireplace and large dressing room) and a guest toilet. Ground floor: A recreation room with billiards and fireplace, office with fireplace, guest toilet and a third bedroom with a bathroom en suite. Spa area with gym and Turkish bath with chromotherapy Indoor pool: A beautiful indoor summer and winter pool where you can enjoy all year round.It has a countercurrent jet to swim whatever you want from the OSPA brand, its 8x4 meters in overflowing stainless steel, automated thermal curtain, 2 hydromassage beds, 3 gooseneck jets. Fitness area, shower, Hamman.It has a large room to change and a room where all the machinery of the house is perfectly placed to be able to carry out its revisions without any difficulty. Qualities: hot / cold underfloor heating and sanitary hot water through Geothermal Energy System, auxiliary air conditioning, hot / cold with heat pumps on the first floor, PVC walnut exterior carpentry, WERU secured windows, chestnut solid wood interior carpentry, 1st floor floor with laminate flooring and Porcelanosa bathrooms, Bose AUDIO / VIDEO and Domotics. This beautiful home is located in the Sotosierra de Soto del Real urbanization, with 24-hour security service, social club with sports facilities, restaurant, activities, etc.Next to schools, supermarkets, ambulatory and downtown with all kinds of services. Located 42 km by highway from the city of Madrid, 11 km from Colmenar Viejo and close to other towns such as Manzanares el Real, Guadalix de la Sierra, Miraflores de la Sierra and the spectacular Pedriza. Soto del Real is a population of 8,500 inhabitants and is located in a privileged natural environment in the Sierra de Madrid, on the southern slope of the Sierra de Guadarrama.The third part of its surface is within the Regional Park of the Cuenca Alta del Manzanares.The location of Soto del Real is ideal to enjoy nature and multiple outdoor activities."" We do not charge fees to buyers.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1843.0,https://www.idealista.com/inmueble/95593545/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/00/01/a4/922807409.jpg,Avenida de Madrid,False,-3.7737679,Soto del Real,nan,chalet,False,nan
2,Madrid,135.0,True,False,{'title': 'Semi-detached house in N/d no number'},True,3,True,nan,True,42,nan,es,nan,340000.0,102630283,40.7528628,True,nan,sale,nan,"BREM GLOBAL INMOBILIARIA PRESENTS A CENTRAL AND COZY SEMI-DETACHED VILLA in Soto del Real, a location close to the center of the town built on a 203 m2 plot with about 135 m2 built on two floors. Access is via a terrace to the interior of the ground floor where we find a living room with two good-sized rooms, with a fireplace with a granite front cassette, the kitchen furnished with high and low furniture, equipped, with access to the plot, the installation has been changed. electrical, pipes, we also find a guest toilet. The upper floor has three bedrooms, a bathroom with a bathtub with a dressed sink, all with a built-in wardrobe, two of them doubles and one single, the main one has a corner terrace. Windows and kitchen exit door have been renovated in Climalit white lacquered aluminum with tilt-and-turn thermal break, cast iron bars. It also has city gas heating. The remaining plot of 138 m2 with different shaded areas to enjoy outdoors with absolute privacy with a vehicle entrance and a small tool room. It is located on a quiet street, but at the same time very close to all services and very well connected to public transport due to its frequency with several lines. The town, located 45 km from Madrid and very close to Colmenar Viejo, is located on the southern side of the Sierra de Guadarrama. It is one of the municipalities with the highest demand in the entire area, due to the quality of life it offers to its inhabitants. COME AND MEET HIM! You will not regret.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2519.0,https://www.idealista.com/inmueble/102630283/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/54/2f/1193705463.jpg,N/D no number,False,-3.7816093,Soto del Real,nan,chalet,False,nan
2,Madrid,169.0,True,False,{'title': 'Detached house in Pintor Rosales'},True,4,True,nan,False,74,nan,es,nan,385000.0,102673807,40.7442215,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"B2V InmobiliariA sells exclusively. Surely the home you are looking for. DON'T MISS THE VIDEO OF THE HOUSING! Enrique Vallinas Lázaro Pablo Batres Independent housing close to the town center, with easy access to schools, institutes, supermarkets and other services. Total privacy, in front with views of the mountains and in the back a large rustic extension. Comfortable plot of about 500 m2 with trees and consolidated garden, orchard area and natural grass meadow, automatic irrigation. Traditional construction house arranged in semi-stories MAIN FLOOR SOTO DEL REAL Population in constant evolution, with rising prices with the upcoming arrival of the commuter train to the town, which will provide it with better communication with the capital. Soto del Real, former Chozas de la Sierra town, is a Spanish municipality in the province and Community of Madrid. It is located on the south face of the Guadarrama mountain range, more specifically in the area known as Cuerda Larga. The valley closest to the municipality is Hoya de San Blas. It is located 46 km by road from the city of Madrid and 11 km from Colmenar Viejo. Soto del Real has 6 bus lines, four of them having their head at the Plaza de Castilla Interchange: - Line SE720: Colmenar Viejo - Manzanares el Real - Line 720: Colmenar Viejo (FFCC) - Collado Villalba - Line 721: Madrid (Plaza de Castilla)-Colmenar Viejo - Line 724 (outskirts of the municipality): Madrid (Plaza de Castilla) - Manzanares el Real - El Boalo - Line 725: Madrid (Plaza de Castilla) - Miraflores - Bustarviejo – Valdemanco - Line 726: Madrid (Plaza de Castilla) - Guadalix – Navalafuente In Soto del Real there are four daycare centers (one public and three private), two public preschool and primary schools, and one secondary education institute. Soto del Real has a public institute that provides secondary and high school and a Catholic charter school, which has infant, primary, secondary, high school and intermediate and higher vocational training. For more information or to arrange a visit, please contact us. Enrique Vallinas Lázaro Pablo Batres B2V InmobiliariA, real estate services in the mountains of Madrid and surroundings. Because we take our mission very seriously, we only work EXCLUSIVELY.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2278.0,https://www.idealista.com/inmueble/102673807/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/6f/43/1163806387.jpg,PINTOR ROSALES,False,-3.7821251,Soto del Real,nan,chalet,False,nan
4,Madrid,410.0,True,False,{'title': 'Detached house in cobre'},True,6,True,nan,False,97,nan,es,nan,745000.0,103050242,40.7534926,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","B2V InmobiliariA sells EXCLUSIVELY. DON'T MISS THE VIDEO OF THE HOUSING! Enrique Vallinas Lázaro Pablo Batres INDEPENDENT HOUSING ON THREE FLOORS WITH POOL AND BEAUTIFUL GARDEN Close to the town center, with easy access to schools, institutes, supermarkets, gym, sports center and other services. Due to its location and even being located within the urban center, it has great privacy thanks to its large plot of more than 1100m2, and we also have quite a distance from the neighboring homes. The property is distributed in: MAIN FLOOR -Large hall from where we go to the bedroom areas, living areas and different levels. -Spacious and bright LIVING-DINING ROOM with two rooms, with fireplace and direct access to the large terrace -Fully equipped kitchen with direct access to the terrace. -Two bedrooms, one of them with a dressing room and a full bathroom with a double sink.The dressing room, if you want to do without it, could be converted into a bedroom. -Two full bathrooms, one of them incorporated into the main room. -Large terrace with sunny southwest location all day long.Beautiful clear views towards the Guadarrama mountain range and rocky area UPPER LEVEL -On this floor we have 3 rooms, one of them is currently used as an office and the other two are used as bedrooms, one of which is also large in size, allowing for a living area within it. -Full bathroom LOWER LEVEL -Here we find a large open room with direct access from the garden and pool area perfect for family gatherings, leisure... -Large garage for at least 2 cars -Pantry -Laundry room, which also has a toilet. EXTERNAL Plot of approximately 1100 m2 with a consolidated garden, diversity of vegetation, flowers and trees of great beauty. Great swimming pool Garden with automatic irrigation Small pond with a bridge over it Built-in barbecue with gazebo Boiler room/woodshed: diesel boiler SOTO DEL REAL Population in constant evolution, with rising prices with the upcoming arrival of the commuter train to the town, which will provide it with better communication with the capital. Soto del Real, former Chozas de la Sierra town, is a Spanish municipality in the province and Community of Madrid.It is located on the south face of the Guadarrama mountain range, more specifically in the area known as Cuerda Larga.The valley closest to the municipality is Hoya de San Blas.It is located 46 km by road from the city of Madrid and 11 km from Colmenar Viejo. Soto del Real has 6 bus lines, four of them having their head at the Plaza de Castilla Interchange: - Line SE720: Colmenar Viejo - Manzanares el Real - Line 720: Colmenar Viejo (FFCC) - Collado Villalba - Line 721: Madrid (Plaza de Castilla)-Colmenar Viejo - Line 724 (outskirts of the municipality): Madrid (Plaza de Castilla) - Manzanares el Real - El Boalo - Line 725: Madrid (Plaza de Castilla) - Miraflores - Bustarviejo – Valdemanco - Line 726: Madrid (Plaza de Castilla) - Guadalix – Navalafuente In Soto del Real there are four daycare centers (one public and three private), two public preschool and primary schools, and one secondary education institute.Soto del Real has a public institute that provides secondary and high school and a Catholic charter school, which has infant, primary, secondary, high school and intermediate and higher level vocational training. For more information or to arrange a visit, please contact us. Enrique Vallinas Lázaro Pablo Batres B2V InmobiliariA, real estate services in the mountains of Madrid and surroundings. Because we take our mission very seriously, we only work EXCLUSIVELY.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1817.0,https://www.idealista.com/inmueble/103050242/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/1c/83/1182404370.jpg,cobre,False,-3.7806765,Soto del Real,nan,chalet,False,{'groupDescription': 'Highlight'}
5,Madrid,500.0,True,False,{'title': 'Detached house'},True,5,True,nan,False,45,A-1939,es,nan,750000.0,103140400,40.7486807,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Rayan Real Estate Consulting SELLS EXCLUSIVELY! Incredible independent home built on a 1,230 m² plot, the result of having undertaken a comprehensive renovation completed in 2022, SATE insulation, air conditioning using Aerothermal, meets passive house standards so energy consumption is practically zero, construction and finishing elements first level. Electrical charging point. It is developed on 3 connected floors with more than 500 m² built and 200 m² of walkable terraces, 5 bedrooms, 5 bathrooms, privileged location, surrounded by green areas, impressive panoramic views from almost all spaces, street without vehicle traffic, HOUSING SUPER BRIGHT! For more information consult your advisor David Rayan.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1500.0,https://www.idealista.com/inmueble/103140400/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/40/91/1179583862.jpg,Soto del Real,False,-3.7707771,Soto del Real,nan,chalet,False,nan
2,Madrid,100.0,False,False,{'title': 'Flat'},False,3,False,True,False,20,1217,es,False,200000.0,103869629,40.7504212,False,nan,sale,nan,"INMOSEGUR sells a very comfortable and bright apartment with beautiful views of La Sierra in a gated community with 2 swimming pools, a playground and green areas. The house has 100 m2 distributed as follows: - Large living room with 2 rooms (dining area and living area) with a terrace which has views of the mountains. - 3 bedrooms with built-in wardrobes - Very comfortable independent kitchen with terrace-clothesline - 2 full bathrooms For more information, please contact us.",False,{'typology': 'flat'},renew,2000.0,https://www.idealista.com/inmueble/103869629/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/b1/51/1202716618.jpg,Soto del Real,False,-3.7880474,Soto del Real,1,flat,False,nan
5,Madrid,425.0,False,False,{'title': 'Detached house'},False,6,False,nan,False,42,W-02PVLZ,es,nan,610000.0,103607306,40.733956,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Magnificent Chalet in Soto del Real Magnificent villa located in a privileged enclave of the northern mountain range of Madrid. The house is distributed so that the accesses to the different rooms are comfortable and pleasant, with few steps between one floor and another. The entrance gives a spacious hall, and we have two splendid bedrooms on both sides with their respective bathrooms en suite. We go down a few steps and enter the noble area of the chalet, with a splendid living room with fireplace and terrace. Also the kitchen is very comfortable and spacious. On the first floor are the master bedroom with its large dressing room and a magnificent office. A few steps up are the other two bedrooms with their bathroom. In the attic area, with ceilings of an extraordinary height, there is enough space for three more bedrooms. The plot that surrounds the chalet, has very nice and well differentiated facilities. We have a large terrace of 200 m2 for celebrations and leisure, with its barbecue and built-in kitchen with its bar and tables. In another area of the plot is located the semi-covered and heated pool, with its bathroom with jacuzzi in the same area. It also has a large playground with a pediment, to enjoy outdoor sports. The windows of the house are all double climalit with a perfect conservation of heat in winters and freshness in summer. It is a very comfortable home with all the equipment to enjoy it all year as a main home or, of course, as a second home or investment. Soto del Real is located on the south face of the Sierra de Guadarrama, more specifically in the area known as Cuerda Larga. Most of the municipality is within the Regional Park of the Cuenca Alta del Manzanares and therefore protected. In 1960 the municipality of Chozas de la Sierra changed its name to the current one, Soto del Real. In the last decades it has had an impressive urban development that has taken it from having 421 inhabitants in 1960 to about 8,000 current ones. This urban development has been based on urbanizations. These in their beginning were colonies of low houses and squared plot. Later the model changed to massive housing developments, which make up the majority urban landscape in this town. The construction of blocks of flats has been minority, and largely at the expense of the old houses of the town, of which there are only a few examples. In 1998 the center of the town was remodeled, creating a new town hall and a new town square completely pedestrian. The municipal sports center with indoor pool, gymnasium and tennis courts was also inaugurated. In recent years, the Arroyo del Valle viaduct has been built as part of the Madrid-Valladolid line of the AVE. The communication with Madrid is excellent with buses every ten minutes and the suburban train station is approved for the near future. The town has all the services, a 24-hour health center, public and private schools, sports facilities, etc.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1435.0,https://www.idealista.com/inmueble/103607306/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/56/75/1194726944.jpg,Soto del Real,False,-3.74895,Soto del Real,nan,chalet,False,nan
2,Madrid,135.0,False,False,{'title': 'Semi-detached house'},False,3,False,nan,False,27,W-02U51H,es,nan,340000.0,103380309,40.7529361,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Semi-detached house in Soto del Real E&V presents this villa in the historic center in magnificent condition. It is located in a privileged area, just 80 meters from the Plaza del Ayuntamiento de Soto del Real. Very good views of the mountains of Madrid. The villa is fenced for privacy, with an interior garden surrounding the entire property. It is ideal for families and professionals in the area. The house is designed for low consumption, with a kitchen in good condition, gas installation, and PVC carpentry with special double glazing. Living room, kitchen, toilet and porch on the first floor, has three bedrooms, one with balcony, and bathroom, upstairs. It has a front and back garden. The villa is accessed by a terrace from which leads to the first floor where we find a toilet and a spacious living room with two rooms and fireplace, kitchen with access to the garden, furnished with high and low furniture, equipped, and recently changed the electrical installation and plumbing. The upper floor has three bedrooms, a bathroom with bathtub with dressed sink, all with fitted closets, two of them doubles and one single, the main one has a corner terrace. It has renovated windows and kitchen exit door in white lacquered aluminum climalit with thermal break tilt and turn windows, cast iron bars. It also has gas central heating. The garden is 138 m2 with shaded areas, with an absolute privacy and with an entrance for vehicles and a small tool room. Soto del Real is located 46 km from Madrid and 11 km from Colmenar Viejo and is close to other towns such as Manzanares el Real, Guadalix de la Sierra, Miraflores de la Sierra and the spectacular Pedriza. Soto del Real is a town of 8,500 inhabitants and is located in a privileged natural environment of the Sierra de Madrid, on the southern slope of the Sierra de Guadarrama. A third of its surface is within the Cuenca Alta del Manzanares Regional Park and is ideal for enjoying nature and multiple outdoor activities. It is communicated with the capital by the M-607 road and Renfe commuter trains from Colmenar Viejo, for which it has a shuttle bus line that communicates directly with its station. It also has several bus lines with destination in the Plaza de Castilla interchange.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2519.0,https://www.idealista.com/inmueble/103380309/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/30/b2/1202465902.jpg,Soto del Real,False,-3.7878038,Soto del Real,nan,chalet,False,nan
2,Madrid,450.0,False,False,{'title': 'Detached house'},False,5,False,nan,False,24,W-02MXDO,es,nan,680000.0,95487744,40.7661126,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Magnificent independent villa in Soto del Real Engel & Völkers offers you this exclusive and luxurious independent Villa in Soto del Real, in the consolidated Sotosierra urbanization; one of the best in the town. The property is located in a privileged place with spectacular and wide views while preserving a unique privacy and intimacy. Its traditional construction, on a plot of 1,169 meters, with excellent Qualities give it a sober and welcoming appearance and the quantity and breadth of its windows give it an extraordinary luminosity. It is distributed over 3 floors: The main floor has a spacious living-dining room, from which there is access to a spacious terrace, kitchen, 3 bedrooms and 2 bathrooms; one of them en suite. From the entrance hall you access the upper floor with sloping ceilings and the lower floor. The upper floor, with sloping ceilings and finished in thermochip, offers 3 large multipurpose rooms that can be used as studios and / or bedrooms. On the lower floor is the garage with capacity for two cars, the boiler and the fuel tank. It also has a cellar and 2 large multipurpose rooms. The house is heated by underfloor heating fed by a gas-oil boiler. In the garden, there is a magnificent pool of about 50 square meters. Property located in the Sotosierra urbanization, one of the best urbanizations in Soto del Real, close to schools, supermarkets and the center of the urban area with all kinds of services. The urbanization has a 24-hour security service, pruning and garbage collection and a social club with sports facilities and a restaurant. Soto del Real is located 46 km from Madrid and 11 km from Colmenar Viejo and is close to other towns such as Manzanares el Real, Guadalix de la Sierra, Miraflores de la Sierra and the spectacular Pedriza. Soto del Real is a population of 8,500 inhabitants and is located in a privileged natural environment in the Sierra de Madrid, on the southern slope of the Sierra de Guadarrama. The third part of its surface is within the Regional Park of the Cuenca Alta del Manzanares and is ideal to enjoy nature and multiple outdoor activities. It communicates with the capital by the M-607 road and the RENFE from Colmenar Viejo, for which it has a shuttle bus line that communicates directly with its station. It also has several bus lines bound for the Plaza de Castilla interchange.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1511.0,https://www.idealista.com/inmueble/95487744/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/6b/09/1195579678.jpg,Soto del Real,False,-3.7808087,Soto del Real,nan,chalet,False,nan
