bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
2,Madrid,220.0,True,False,"{'subtitle': 'Sureste, Torrejón de Ardoz', 'title': 'Duplex in Calle Silicio'}",False,3,False,True,False,33,b5d6bbc5-89e9-424e-8495-f747172a63b2,es,True,103139517,295000.0,40.4463387,False,nan,sale,nan,"Huspy presents wonderful Duplex Penthouse in Torrejón de Ardoz. With 220 square meters, this gem needs a renovation that will allow you to give it life and personalize it to your liking. With three bedrooms and two bathrooms, this duplex offers generous space for your comfort. Facing North, it enjoys exterior views that provide a calm and relaxing atmosphere. Built in 1975, it preserves the classic charm in a building with an elevator, doorman and intercom for your security. Imagine relaxing on the terrace, enjoying dinners on the balcony, and creating unforgettable moments in your own barbecue area. This penthouse offers the perfect canvas to turn your dreams into reality!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",renew,1341.0,https://www.idealista.com/inmueble/103139517/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/a7/9d/1194076712.jpg,Calle Silicio,True,-3.4600803,Sureste,Torrejón de Ardoz,8,duplex,False
1,Madrid,75.0,True,False,"{'subtitle': 'Sureste, Torrejón de Ardoz', 'title': 'Flat in Calle química, 13'}",True,3,True,True,False,64,65479,es,True,103340692,159900.0,40.45227,True,nan,sale,nan,"75m² house with TERRACE to move into. Consisting of a living room, three bedrooms, kitchen and bathroom. The living room is a good size, it has two large windows that provide lighting in the room, in addition to the glass door leading to the terrace, which adds an outdoor space with many possibilities. The living room is furnished and decorated with yellow details that add warmth to the home. The kitchen is furnished and equipped, it has an exterior window to benefit ventilation. The bathroom is spacious, has a bathtub with a glass screen, a sink and an exterior window. The master bedroom is a good-sized double, decorated with restored metallic furniture with pink details, and has a built-in wardrobe with excellent storage space. The second bedroom is double, has a single bed, custom designed desk and wardrobe. The third bedroom is single and has a wardrobe, it is prepared to become a youth bedroom. It has white lacquered windows, the apartment is heated with individual natural gas heating and air conditioning. The appliances that have a warranty are A/C, the Boiler, the IRI and the Oven. The property has an elevator and is located in an unbeatable location in a strategic point of the city, five minutes from the historic center of the city, in one of the best areas of Torrejón de Ardoz, with all the essential services within reach, such as supermarkets and pharmacies. The housing's academic offering is exceptional, among which the CEIP La Gaviota stands out. The house is surrounded by green and leisure areas, among them the renowned Europa Park stands out. Communication by public transport is unbeatable, it is located 15 minutes from the Torrejón railway station from which it connects directly to Madrid. In addition, the house has easy access to the A2 motorway.",False,{'typology': 'flat'},good,2132.0,https://www.idealista.com/inmueble/103340692/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/09/cb/1186426252.jpg,"Calle química, 13",False,-3.46662,Sureste,Torrejón de Ardoz,2,flat,False
1,Madrid,81.0,True,False,"{'subtitle': 'Noreste, Torrejón de Ardoz', 'title': 'Flat'}",True,3,True,True,False,62,EG5814,es,True,102236538,165890.0,40.4663785,False,nan,sale,nan,"Fantastic 80 m2 apartment according to cadastre in a great area of Torrejón de Ardoz, close to shops, schools, etc. , with easy access to the N-II and access to the Oasiz shopping center. With three bedrooms, separate kitchen and large living room, a bathroom renovated two years ago with a window, clothesline and terrace. We enter the distributor hall to the right we access a large kitchen furnished with wall and base units and basic appliances (hood, oven and hob) with a window to a shared patio with a neighbor. In front we find a huge living room with A / C and a large south-facing window, with access to a terrace with a built-in wardrobe and a room distributor. The room distributor with a small storage room on the roof, we find on the right a bathroom renovated in 2021 with a window and a shower tray, on the left we have two good-sized rooms without built-in wardrobes with windows to chile street and on the right next to the bathroom Main room with built-in wardrobe, A/C and window with access to the patio. Stoneware floors, chapeli doors and aluminum windows. Do you need to sell your current home in order to buy? Do you want to know if they grant you the mortgage? call me. The meters of the house are contrasted according to cadastre / registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses..",False,{'typology': 'flat'},good,2048.0,https://www.idealista.com/inmueble/102236538/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/22/20/1148901123.jpg,Noreste,False,-3.464719,Noreste,Torrejón de Ardoz,1,flat,False
2,Madrid,111.0,True,False,"{'subtitle': 'Noroeste, Torrejón de Ardoz', 'title': 'Flat'}",True,3,True,True,False,25,MR259901,es,True,101387079,270164.0,40.4553661,False,nan,sale,nan,"Mercaser Real Estate Group, Apartment for sale located on Avenida de Constitución in Torrejón de Ardoz, Madrid. 111 m2 house ready to move into, distributed in 3 bedrooms with fitted wardrobes, 2 full bathrooms with shower, fitted kitchen with utility room and spacious living-dining room with terrace. Parquet and stoneware floors, lacquered aluminum windows, natural gas heating. It has a storage room and optional garage space. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. All this, in addition, with excellent communications by roads and public transport. Deed expenses and taxes not included. Torrejón de Ardoz is a municipality that is part of the Community of Madrid.The city developed due to its great growth during the 20th century in a very strategic point, next to the A-2 highway, since it is close to the center of Madrid, the Madrid-Barajas Airport and the Juan Carlos I Fairgrounds.It is a fairly industrial municipality that is currently still expanding since the expansion of the Barajas Airport is being carried out in this town.As patrimony, highlight the Archpriestal Church of San Juan Evangelista and the Soto de Aldovea. SOCIODEMOGRAPHY Inhabitants: 126,981 Number of households: 50,977 Average age of people: 37 years % foreigners: 51% Average level of studies: Secondary.",False,{'typology': 'flat'},good,2434.0,https://www.idealista.com/inmueble/101387079/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/1f/d8/1120258074.jpg,Noroeste,False,-3.4764156,Noroeste,Torrejón de Ardoz,bj,flat,False
1,Madrid,80.0,True,False,"{'subtitle': 'Sureste, Torrejón de Ardoz', 'title': 'Flat'}",False,3,True,True,False,62,EG5856,es,True,102783632,165890.0,40.4516141,False,nan,sale,nan,"Alcalá Inmobiliaria puts at your disposal this apartment in a very good area of Torrejón de Ardoz Three bedrooms, a bathroom, kitchen, living room and terrace. Entering the house we find a small hall on the right, we enter through a sliding door to the kitchen, furnished with high and low furniture and basic appliances, (Hood, 4-burner gas stove, and oven), the kitchen has access to the terrace. Facing the hall we have access to the spacious living-dining room with large access to the terrace through a double-leaf door. From the living room we go to the hallway that distributes the living areas and the bathroom. In this hallway we have a large trunk on the roof with access from a bedroom, we have the bathroom with a shower, and three bedrooms, one of them double with a built-in wardrobe. The interior carpentry is made of oak type wood, the exterior is made of aluminum, hot water and natural gas heating with an independent boiler installed in the kitchen. Don't hesitate to come visit it, it can be your home or an investment for the future. Do you want to know if they grant you the mortgage? Do you have to sell your house to buy this one? Call us and we will inform you about everything for free. Trust us to accompany you in the exciting process of finding your new home. We are here to help and advise you every step of the way. Contact us today and start turning your dreams into reality! Discover the path to your new home with the support of our financial department. We provide you with all the necessary support to obtain the best conditions for your mortgage, allowing you to achieve your goals in a more accessible and convenient way. The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",False,{'typology': 'flat'},good,2074.0,https://www.idealista.com/inmueble/102783632/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/19/b9/1167165143.jpg,Sureste,False,-3.4693402,Sureste,Torrejón de Ardoz,2,flat,False
3,Madrid,91.0,True,False,"{'subtitle': 'Suroeste, Torrejón de Ardoz', 'title': 'Flat in Calle de Venus'}",False,3,True,True,False,37,93837,es,True,103548154,279500.0,40.4463654,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This flat is at Calle de Venus, 28850, Torrejón de Ardoz, Madrid. It is a flat, built in 2005, that has 91 m2 and has 3 rooms and 3 bathrooms. Besides, it includes aire acondicionado, private urbanization, ascensor, luminous, aluminum windows, good condition, wardrobe, floating floor, stippled walls, building with parking lot, outside, equipped kitchen, natural gas, cocina amueblada, windows climalit, individual natural gas heating and garage included.",False,{'typology': 'flat'},good,3071.0,https://www.idealista.com/inmueble/103548154/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/a6/ed/1195641893.jpg,Calle de Venus,False,-3.4721957,Suroeste,Torrejón de Ardoz,nan,flat,False
1,Madrid,46.0,True,False,"{'subtitle': 'Noreste, Torrejón de Ardoz', 'title': 'Flat in Calle Cerro del Viso'}",False,1,True,True,False,39,1297,es,True,102701812,153000.0,40.4575348,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'apartamentoType', 'text': 'Apartment'}]","Beautiful apartment for sale to move into in Virgen de Loreto. In perfect state. Double Orientation. It has 46.16 m2 built and 45.67 m2 useful, distributed in 1 bedroom, living room - dining room with kitchenette and access to the 8 m2 terrace, separate bathroom. The house is sold with a parking space outside the portal around the building and a 3.07 m2 storage room.   The house is located in a fully commercialized area with all services at hand, just 5 minutes walk from the center of Torrejón, close to the central train station, buses, very good communication..",False,{'typology': 'flat'},good,3326.0,https://www.idealista.com/inmueble/102701812/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/84/15/1164324422.jpg,Calle Cerro del Viso,False,-3.4739016,Noreste,Torrejón de Ardoz,bj,flat,False
2,Madrid,116.0,True,False,"{'subtitle': 'Noreste, Torrejón de Ardoz', 'title': 'Flat in Calle Juan Sebastian Elcano, 4'}",False,3,False,True,False,19,W-CAS52302627,es,True,103866479,191064.0,40.4657714,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Apartment for sale in Torrejón de Ardoz, Madrid. This cozy property has 3 bedrooms, a large living-dining room, a fully equipped kitchen and 2 bathrooms. It is located on the 4th floor of the building, in a privileged location in the heart of Torrejón de Ardoz. In addition, it is close to the Torrejón University Hospital, schools, supermarkets, banks, pharmacies, post offices and the Soto del Henares train station. With excellent accessibility and multiple connections, this apartment offers easy access to the Northeast Highway. Don't miss the opportunity to acquire your new home in Torrejón de Ardoz. At Casitashome Inmobiliaria you will find the largest offer of properties at the best price guaranteed. Contact us for more information! Floor 4 Without elevator.",False,{'typology': 'flat'},good,1647.0,https://www.idealista.com/inmueble/103866479/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/56/0c/1202615706.jpg,"Calle JUAN SEBASTIAN ELCANO, 4",False,-3.4468844,Noreste,Torrejón de Ardoz,4,flat,False
2,Madrid,216.0,True,False,"{'subtitle': 'Noreste, Torrejón de Ardoz', 'title': 'Penthouse in Avenida Cristóbal Colón'}",False,3,True,True,False,26,nan,es,True,103069415,329000.0,40.466268,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Tecnocasa real estate agency “ESTUDIO BARRIO ZARZUELA”: “MAGNIFICENT” PENTHOUSE for sale in the “Zarzuela” area of ​​220 m2 built.Distributed in: living room, kitchen, 3 bedrooms, 2 bathrooms, dressing room and two spectacular terraces of more than 20 m2 each. Spectacular living room with hot/cold air conditioning and access to either of the two terraces, decorative ceiling molding, renovated and furnished kitchen from 2 years ago. Large and bright rooms with windows facing the outside. Bathrooms with marble decoration. The house has double glazed aluminum windows, smooth paint and classic white gotele, individual natural gas heating, ceiling lights, wood-colored doors and an armored entrance door. “EXCLUSIVE HOUSING THAT HAS TWO GARAGE SPACES AND STORAGE ROOM” ESTATE WITH ELEVATOR AND GLAZED AND OPEN TERRACE! The property is located in an already consolidated area with a multitude of services around and well connected by the municipality's transport network.Parks and children's areas nearby. Do not hesitate to call us to make an appointment to visit the property where you will also receive free advice from our KÌRON financial department.100% FINANCING.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,1523.0,https://www.idealista.com/inmueble/103069415/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/35/23/1178084324.jpg,Avenida Cristóbal Colón,False,-3.4466818,Noreste,Torrejón de Ardoz,5,penthouse,False
1,Madrid,88.0,True,False,"{'subtitle': 'Noreste, Torrejón de Ardoz', 'title': 'Flat in Calle Veredilla, 9'}",False,3,False,True,False,23,CAS44146029,es,True,103858374,165000.0,40.4617481,True,nan,sale,nan,"Apartment for sale in Torrejón de Ardoz, Madrid. This cozy property has 3 bedrooms, a large living-dining room, an equipped kitchen and a full bathroom. Located on the second floor of a building with an elevator, this apartment is in the center of Torrejón de Ardoz, close to schools, supermarkets, banks, libraries, pharmacies, post offices and sports centers. In addition, it has several bus stops and the Torrejón de Ardoz train station in its surroundings, which facilitates mobility. With easy access to the Northeast Highway, this property is perfect for those looking for comfort and a privileged location. Casitashome Inmobiliaria offers the largest range of properties at the best price guaranteed, with a wide variety of options to find the perfect home. Do not lose this opportunity!",False,{'typology': 'flat'},renew,1875.0,https://www.idealista.com/inmueble/103858374/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/78/ba/1202402140.jpg,"Calle Veredilla, 9",False,-3.4744503,Noreste,Torrejón de Ardoz,2,flat,False
