bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
4,Madrid,363.0,True,False,"{'title': 'Detached house in Las Fuentecillas, 22'}",False,7,True,nan,False,29,KR-01670-0001,es,nan,281000.0,101653743,40.8228539,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Solvia offers a magnificent independent Villa with 7 bedrooms and 363.1 m² located in Torrelaguna, a town in the northeast of the Community of Madrid. Located about 50 km from Madrid, in a quiet area and well connected by road through the national N-320 and the M-131 and M-102 roads. It is close to schools, parks, supermarkets, restaurants, banks and a health center. The chalet consists of three floors, on the main floor there is an entrance hall, an independent kitchen, a spacious living room with a terrace, 1 bedroom and 1 bathroom; on the first floor, 4 bedrooms and 3 bathrooms; and in the basement, kitchen, 1 room for multiple uses (living room, office, cellar... ), 2 bedrooms and 1 bathroom. With the services provided you can find the home you need and secure your investment with the best of specialized advice. Get started right now by asking for more information. A person close to you will attend to you personally.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,774.0,https://www.idealista.com/inmueble/101653743/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/e3/55/1129281769.jpg,"LAS FUENTECILLAS, 22",False,-3.5329877,Torrelaguna,nan,chalet,False
2,Madrid,213.0,True,False,{'title': 'Detached house in Viñagrande'},True,5,True,nan,False,47,2231,es,nan,380000.0,101557161,40.8295687,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Detached villa of 213 m2 built, with a plot of 819 m2 with enough land for an organic garden or pool area. Glazed front porch. On the ground floor there is a separate living room with fireplace and air conditioning. Independent kitchen furnished and equipped with pantry, a small office and with access to the private garden. A bedroom with a built-in wardrobe. A fully renovated bathroom with a shower tray. On the second floor there are 4 bedrooms with fitted wardrobes. A complete bathroom with bathtub. It has oil central heating. Double aluminum windows with bar and mosquito net. Sapelli doors. Stoneware floors. Gotele walls. Built-in cabinets. Reinforced door. Air conditioning hot/cold. Covered garage space for 2 cars. Storage room. Private garden. It is to enter to live. The property is very well located in the middle of the mountains with excellent views and very close to all the services offered by Villa de Torrelaguna.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1784.0,https://www.idealista.com/inmueble/101557161/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/99/88/1126983994.jpg,Viñagrande,False,-3.5401819,Torrelaguna,nan,chalet,False
3,Madrid,238.0,True,False,{'title': 'Terraced house in Camelias'},True,4,True,nan,False,50,2264,es,nan,342000.0,102996499,40.8261966,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Semi-detached house with 270 m2 built, distributed over three floors on a fenced plot with an area of 305 m2. On the ground floor there is a large independent living-dining room with access to the rear garden. Separate kitchen with sillestone countertop, built-in appliances and a small office. The kitchen has access to the garage. Complimentary toilet. On the first floor it has; Master bedroom with en-suite bathroom with bathtub and double sink. From the master bedroom we have access to a private terrace. 2 bedrooms with built-in wardrobes. 1 full bathroom with shower tray. The second floor has a fully equipped attic distributed in a multipurpose room with a small corner with the possibility of making a built-in wardrobe. 1 Separate bedroom with built-in wardrobe and the possibility of making a full bathroom. Double PVC windows with Climalit glass and mosquito net. Sapelli doors. Wooden floors in the kitchen, and ceramic and marble floors in the rest of the chalet. Porcelain floors in the garden. Fine gotelé walls. Small glazed porch in the front patio and armored access door to the house. In the backyard, a magnificent enclosure with movable glass curtains without profiles that will allow you to enjoy the garden all year round, regardless of inclement weather. Oil heating. Covered garage for two cars and connected to the house by an interior door. Front patio with motorized gate. The house has air conditioning (hot/cold) in all rooms of the house. Private pool with South West orientation, shower in the pool area and access that connects to the garage. Located in a privileged area of Torrelaguna surrounded by semi-detached and semi-detached houses with easy access and exit from the municipality and a few minutes from a commercial area with multiple services nearby.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1437.0,https://www.idealista.com/inmueble/102996499/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/49/ec/1174596107.jpg,Camelias,False,-3.5425114,Torrelaguna,nan,chalet,False
3,Madrid,138.0,False,False,{'title': 'Terraced house in Plaza de la Paz'},True,3,True,nan,True,27,2131,es,nan,215000.0,97168527,40.8278311,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Semi-detached house with 138m2 built. On the ground floor we have a spacious and bright living-dining room with access to a terrace/patio. Furnished independent kitchen with fixed appliances; with office space. Cleanliness. Access to private underground garage. On the first floor we have 3 bedrooms, the master bedroom with an en-suite bathroom. 2 full bathrooms, one with a bathtub and the other with a shower tray. Good qualities such as Pergo-type flooring, brown double glazed windows and bar grille, walls with fine gotelé, armored access door to the home. The private garage is located in the basement with exclusive access from the home itself. A particularity of this garage is that it is located within a community parking lot but it is an independent garage with its own gate. Inside the garage there is a water intake with a drain suitable for washing the car. There is also a hot water thermos with a capacity of 150L. ******In the last photograph we can see how the living room can look decorated. The house is in good condition and is located in a very spacious, bright and quiet area with all services nearby.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1558.0,https://www.idealista.com/inmueble/97168527/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/29/10/968618749.jpg,Plaza de la Paz,False,-3.5360893,Torrelaguna,nan,chalet,False
3,Madrid,477.0,False,False,{'title': 'Semi-detached house in Plaza Mayor'},False,7,True,nan,False,16,2029,es,nan,637500.0,95110427,40.8295319,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"""Movie house, filming set of the film"" Everyone knows it "", by Oscar winner Asghar Farhadi, in the Plaza Mayor of Torrelaguna. Do you want to live in an authentic cinema setting, where actors of the stature of Javier Bardem, Penélope Cruz, or Ricardo Darín filmed? This is the opportunity. The house is distributed as follows: On the ground floor, a paved entrance with original tiled walls, a spacious main living room with an imposing fireplace with an arched mouth and top quality solid wood, hall, living area, large dining room and pantry. Both where the living area, as from the kitchen you access the large patio of the house. Through a beautiful staircase equipped with an electric stair lift, you access the first floor, where 6 bedrooms are distributed (3 with balconies over the main square), 1 toilet and 2 bathrooms, one of them en suite to the main room, which also has dressing room, living room with fireplace and views of the main square. On this floor there is also an old kitchen, as well as an ironing room, from which you can access the undercover floor, with infinite possibilities. The patio has abundant vines and a beautiful centenary cypress; and communicates with the old stables, today used as a storage room and boiler room, porch with barbecue, green area and covered space for 2 cars. Back in the hall, we find a beautiful wooden hatch that leads us to a private cellar-cellar, with centuries-old jars and multiple passageways, also made of film. Finally, both from the street and from the patio you can access a totally independent house to reform, which consists of an entrance hall, living room, 1 bedroom, 1 bathroom and a full kitchen. The façade is in the Castilian style, in stone and brick, with 1 and 2-pitched tile roofs. Special mention requires the variety of hydraulic slabs, original and in good condition, found in the different rooms of the house. All these characteristics make it a unique property, perfect as a habitual home, second residence, investment or business, both for hotels and for events and filming, or as a rural house.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1336.0,https://www.idealista.com/inmueble/95110427/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/24/d4/912480554.jpg,Plaza Mayor,False,-3.5373327,Torrelaguna,nan,chalet,False
3,Madrid,197.0,False,False,{'title': 'Terraced house'},False,4,False,nan,False,47,W-02TB6Y,es,nan,290000.0,102601620,40.8279262,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Fantastic detached in Torrelaguna Engel & Voelkers presents this fantastic property in one of the best areas of Torrelaguna. This spacious corner house has a charming courtyard and is in very good condition, ready to move into. As you enter, you will be greeted by an elegant hall and a spacious corridor that distributes the spaces in a functional way. To the left, you will find a generous kitchen, while to the right, you will have access to a garage. The living/dining room, with a cosy fireplace, is spacious and bright. Following the corridor, you will access the garden of about 40 m². On this floor, there is also a toilet and a staircase leading to the upper floor. On the upper floor, you will find four spacious bedrooms and two bathrooms, one of which is en suite. Furthermore, you can enjoy a terrace overlooking the charming courtyard. This perfectly maintained house is the opportunity you were waiting for to live in the centre of Torrelaguna. There is also an attic but it has not yet been fitted out. Its location in the centre of the village means that you are within walking distance of all essential amenities, from local shops to lovely restaurants. The convenience of having everything you need at your fingertips is just one of the many aspects that make this house so special. This charming villa is strategically located in the mountains of the Community of Madrid, which makes it an ideal destination for those looking for a balance between rural tranquillity and urban comfort and to live surrounded by a first class natural environment. The property is located in the centre of Torrelaguna, so it is very close to shops, restaurants, shops and services of all kinds, but also very well connected to the capital and the northern part of the metropolitan area of Madrid.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1472.0,https://www.idealista.com/inmueble/102601620/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/1a/64/1197054905.jpg,Torrelaguna,False,-3.535539,Torrelaguna,nan,chalet,False
1,Madrid,70.0,True,False,{'title': 'Flat in Doctor Manuel Hidalgo Huerta'},False,3,False,nan,True,23,ALRE-05929,es,False,89000.0,95509094,40.8288144,False,nan,sale,"Do you want to buy a 3-bedroom apartment for sale in Torrelaguna? Excellent opportunity to own this apartment to reform to your liking, located in a residential building located in the town of Torrelaguna, province of Madrid. It has a surface area of 70m², well distributed in a spacious and bright living-dining room, a separate furnished kitchen, 3 spacious bedrooms and 1 complete bathroom with a bathtub. The apartment is equipped with a heating system. Torrelaguna is located in the Sierra Norte region of Madrid, an area characterized by its scenic beauty. This region stands out for its mountainous landscapes, forests, and its Mediterranean climate with continental influence. The town of Torrelaguna itself is known for its historical and cultural heritage. It has good road connections, which facilitates access from other towns in the Community of Madrid and nearby provinces. The A-1 is a major highway that passes nearby and provides a convenient route to reach the area from Madrid or other northern cities. Do you want more information? Do not hesitate to contact us. Visit without commitment, without commissions of intermediation. More information by filling in the contact form or by phone. We will be happy to assist you. Hipoges is a real estate platform where you can access thousands of real estate assets of different types such as homes, commercial premises, land, new construction, both for individuals and for investors. Hipoges has a wide portfolio of real estate assets in Spain, Portugal and Greece.",False,{'typology': 'flat'},good,1271.0,https://www.idealista.com/inmueble/95509094/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/71/a8/1196219988.jpg,Doctor Manuel Hidalgo Huerta,False,-3.5430193,Torrelaguna,1,flat,False
3,Madrid,224.0,False,False,{'title': 'Terraced house'},False,4,False,nan,False,47,W-02TL4Z,es,nan,342000.0,103133062,40.8240896,False,nan,sale,"Wonderful townhouse in Torrelaguna Engel & Voelkers presents this wonderful townhouse in perfect condition and in one of the best areas of Torrelaguna. The house has 3 bedrooms (one en suite), a study and 3 bathrooms. The entrance hall gives access to the kitchen, spacious and equipped with top quality appliances. We also have a large and bright living room through which we can go to the garden, which has 80 square meters, swimming pool and porch. On this same floor we have a toilet and garage for two cars. On the next floor we find a master bedroom with en suite bathroom and terrace, two bedrooms for the children and another bathroom. All rooms are exterior, spacious and bright. Finally, we have a third floor, diaphanous, which can serve as a study, games room and multipurpose area. The house is completely renovated and perfectly communicated, as it is located at the entrance of Torrelaguna, 40 minutes from the capital. In addition, it is surrounded by the lush nature of the mountains of Madrid. This charming villa is strategically located in the mountains of the Community of Madrid, which makes it an ideal destination for those seeking a balance between rural tranquility and urban comfort and live surrounded by a natural environment of first level.  The property is located near the center of Torrelaguna so it is very close to shops, restaurants, stores and services of all kinds, but also very well connected to the capital and the northern part of the metropolitan area of Madrid.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1527.0,https://www.idealista.com/inmueble/103133062/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/b3/f0/1200310669.jpg,Torrelaguna,False,-3.5420606,Torrelaguna,nan,chalet,False
1,Madrid,218.0,False,False,{'title': 'Terraced house in Calle Mayor'},False,3,False,nan,False,34,2270,es,nan,62000.0,103097059,40.8248528,False,nan,sale,"- - - N E G O C I A B L E - - - Townhouse with 218 m2 built, 3 floors. It has an entrance hall on the ground floor. 1 Bathroom with bathtub. A hallway through which we access the stable and 1 blind room. On the first floor there is a living room with a window to Calle Mayor. Kitchen without furniture. 1 Room with window. 1 Blind room. It has iron doors. Aluminum windows with shutters. Unequipped attic, divided into two spaces. The cave is located on the -1 floor. The property is very well located. It has all the services nearby, close to the municipal parking lot and the bus stop. The property needs comprehensive renovation.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",renew,284.0,https://www.idealista.com/inmueble/103097059/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/c9/01/1178198578.jpg,Calle Mayor,False,-3.5385551,Torrelaguna,nan,chalet,False
1,Madrid,95.0,True,False,{'title': 'Flat in Doctor Manuel Hidalgo Huerta'},True,3,False,True,False,26,ALRE-05929,es,False,89000.0,95855513,40.8251961,False,nan,sale,"Ideal floor to INVEST or to LIVE. We present you this 95 m2 house, on the 1st floor overlooking the community garden, three bedrooms, kitchen and a full bathroom. The urbanization is located in a very quiet area, with good communication, very close to the center. It is completely exterior and has good access, the farm is in good condition, with a very good presentation. Do not miss the opportunity, Tomorrow may be late. WE DO NOT CHARGE THE BUYER. Visit him. We will wait for you! The data indicated are informative, without contractual value. Taxes are not included.",False,{'typology': 'flat'},good,937.0,https://www.idealista.com/inmueble/95855513/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/05/ce/930046298.jpg,Doctor Manuel Hidalgo Huerta,False,-3.5392879,Torrelaguna,1,flat,False
