bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,neighborhood,topPlus,highlight
1,Madrid,63.0,True,False,"{'subtitle': 'Colonia, Torrelodones', 'title': 'Flat'}",False,3,True,True,False,31,1061-NAG-001-1,es,False,103623899,179990.0,40.5753164,False,nan,sale,nan,"Apartment in Estación-Colonia, with 63 m² built, 3 bedrooms, 1 bathroom, semi-renovated, exterior, floor 3, 1 terrace(s), 6 m² terrace, equipped kitchen, 1964, 3 floors of the building individual heating, gas fuel natural, individual hot water, natural gas water energy, balcony. MAGNIFICENT APARTMENT NEXT TO THE TORRELODONES COMMUNITY STATION! The house, recently updated, is a third exterior floor without an elevator, but very bright. It has 3 bedrooms, 1 bathroom, living room with terrace and kitchen furnished and equipped with a brand new hood, oven, glass-ceramic hob and boiler. Maximum financing possibility. Do not hesitate to contact us. If you want more information, do not hesitate to contact us.",False,{'typology': 'flat'},renew,2857.0,https://www.idealista.com/inmueble/103623899/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/99/c9/1195277149.jpg,Colonia,False,-3.9560131,Colonia,Torrelodones,3,flat,nan,False,{'groupDescription': 'Featured'}
4,Madrid,366.0,False,False,"{'subtitle': 'Casco Antiguo, Torrelodones', 'title': 'Semi-detached house'}",True,5,False,nan,False,72,023/23,es,nan,102523376,740000.0,40.5755212,False,nan,sale,nan,"INMOTORRE SELLS SPECTACULAR SEMI-DETACHED HOUSE IN ONE OF THE BEST AREAS OF TORRELODONES PUEBLO. Semi-detached house of 366m according to Cadastre in Torrelodones Pueblo in a very quiet area with little traffic but at the same time very well connected, bus stop very close and possibility of walking to the center of town in a few minutes. The distribution is as follows: - Street level: we enter through a large patio to the hall from which we have access to the kitchen with an office area and with access to the same patio, toilet and living room with fireplace and direct access to the large porch and the private garden. It is worth highlighting the work that was done in the kitchen to expand it, resulting in a very spacious kitchen. - First floor: three bedrooms and two full bathrooms, one of them en suite. One of the bedrooms has a terrace and spectacular views of Madrid and the Four Towers. - Very bright open-plan attic of 34m. - Basement: large summer living room with direct access to the garden, two en-suite bedrooms, each with its own bathroom and laundry. It is worth highlighting the luminosity of the entire house. The common areas may be the best in Torrelodones, with a paddle tennis court, tennis court, children's area and several swimming pools with green areas. The house is in good condition.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2022.0,https://www.idealista.com/inmueble/102523376/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/c4/20/1158437804.jpg,Casco Antiguo,False,-3.9222568,Casco Antiguo,Torrelodones,nan,chalet,nan,False,{'groupDescription': 'Featured'}
4,Madrid,277.0,True,False,"{'subtitle': 'Colonia, Torrelodones', 'title': 'Detached house in Calle Javier García de Leániz'}",True,6,False,nan,True,38,CA192751,es,nan,103629243,897000.0,40.5741012,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR CONSULTING INMOBILIARIO invites you to discover your new home in Torrelodones, a jewel of new construction with a privileged location and excellent communication! This dream home in the quiet neighborhood of Torrelodones offers you the best in quality of life. With a layout designed for your comfort, the access floor has a large kitchen ready to customize to your liking, a cozy dining room and 3 bedrooms with built-in wardrobes that provide space and organization. In addition, it has 2 full bathrooms for your convenience. The jewel of the house is the bedroom suite on the entrance floor, with an impressive window that allows natural light to enter, creating a bright and cozy atmosphere. The en-suite bathroom has a shower and bathtub, offering you a space for relaxation and comfort. The ground floor is a versatile space with an additional bedroom with built-in wardrobe, a full bathroom, boiler room and a large living room. The 45 m2 living room is highlighted by an imposing window that connects the interior with the beautiful outdoor environment. The 621m2 plot is the perfect canvas for your outdoor dreams. Imagine enjoying the sun in your own garden or even adding a pool for those warm summer days. This new construction home is a unique opportunity to create the home of your dreams in an unbeatable location. Don't miss the opportunity to live in the house you have always wanted! Contact us for more information and to schedule a visit. We are waiting for you in your new home in Torrelodones!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3238.0,https://www.idealista.com/inmueble/103629243/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/5c/65/1197098277.jpg,Calle Javier García de Leániz,True,-3.9522005,Colonia,Torrelodones,nan,chalet,nan,False,nan
3,Madrid,319.0,True,False,"{'subtitle': 'Colonia, Torrelodones', 'title': 'Terraced house'}",True,4,False,nan,False,32,VMO2310006,es,nan,102892442,1100000.0,40.5724933,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"SEMI-DETACHED VILLA WITH GARDEN, SWIMMING POOL AND TERRACE FOR SALE IN TORRELODONES. Aproperties presents, exclusively, this semi-detached single-family house with two floors above ground, of modern construction, with a predominance of concrete architecture. 319 m² constructed, on a plot of 828 m². Consists of four bedrooms and three bathrooms. On the main floor, there is a very spacious independent living room with double height, with 5 large windows, storage room under staircase, dining room with exit to garden. Very luminous open concept kitchen, with integrated furniture, cooking island and a service bedroom with bathroom, which can be used as a laundry room. Annex on the main floor there is a porch to park two cars. On the upper floor, three bedrooms (the master bedroom with en suite bathroom), another bathroom and a multipurpose room. There are two terraces on this floor. A beautiful garden with lots of privacy, surrounded by vegetation and autochthonous trees. Swimming pool and orchard. The house is located in a residential area close to all the services, and with large areas of nature for walking. Natural gas underfloor heating. Can you imagine living here?",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,3448.0,https://www.idealista.com/inmueble/102892442/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/12/cd/1192113506.jpg,Colonia,True,-3.9513101,Colonia,Torrelodones,nan,chalet,nan,False,nan
3,Madrid,447.0,True,False,"{'subtitle': 'Salud y Alegría - El Lago, Torrelodones', 'title': 'Detached house in Calle Guadix'}",False,5,False,nan,False,52,3248-20313,es,nan,95368117,737000.0,40.5709077,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","We put at your disposal this fantastic independent Villa in the best area of Los Peñascales. 447m2 according to cadastre and 421m2 in deeds, on a 1000m2 plot. In perfect state of conservation. Bordering the upper basin of the apple grove and the Villarejo stream. Without neighbors and with pleasant views. It is distributed as follows: Main floor: Entrance hall, large living room with access to the terrace, large island kitchen with office, three double bedrooms with dressing rooms, the main one en suite, with an attached bathroom and a second full bathroom. Ground floor: Living room, multipurpose room (office / games), bedroom, bathroom and cellar, as well as an ironing room, pantry and storage room. Access to the garage for two cars with a fourth workshop and a boiler room. 1000m2 plot with saline water pool and own well. Built in 2000, the property is ready to move into. Excellent construction with top quality materials: cherry doors, smooth and stucco walls, double glazed windows with thermal break, alarm system, electric access and garage doors, top quality stoneware floors and natural gas boiler. Urbanization with essential services such as schools and a shopping center. 5 min from the center of Torrelodones. Buses near Torrelodones and Moncloa interchange. Cercanías in Torrelodones and Las Matas. Quick access to A6.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1649.0,https://www.idealista.com/inmueble/95368117/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/d6/bb/1163292965.jpg,Calle Guadix,True,-3.9094287,Los Peñascales,Torrelodones,nan,chalet,Salud y Alegría - El Lago,False,nan
2,Madrid,251.0,True,False,"{'subtitle': 'Los Ángeles - Jarandilla, Torrelodones', 'title': 'Detached house'}",True,5,True,nan,True,28,1293,es,nan,100174265,625000.0,40.5804823,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Villa in perfect condition of 251 m2 built in the town of Torrelodones. Spacious and bright, this magnificent chalet is divided into 3 floors. On the ground floor we find the entrance hall, main living room with fireplace, kitchen with access to the plot, office or bedroom and guest toilet. On the first floor there are 4 very good size bedrooms and 2 full bathrooms. The master bedroom en suite with bathroom and dressing room, terrace and fireplace. All bedrooms with built-in wardrobes. In the basement there is the garage and a storage room. Possibility of expanding the house with the lower deck. The chalet is completed by a beautiful plot with a swimming pool and barbecue area. A few meters from the Health Center, Pharmacy, Social Services... ), very close to the urban area. Several schools in the area. Well connected with nearby buses.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2490.0,https://www.idealista.com/inmueble/100174265/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/49/19/1071956046.jpg,Los Ángeles - Jarandilla,False,-3.9292702,Los Ángeles - Jarandilla,Torrelodones,nan,chalet,nan,False,nan
4,Madrid,277.0,True,False,"{'subtitle': 'Colonia, Torrelodones', 'title': 'Detached house'}",True,6,True,nan,True,34,15,es,nan,103612822,897000.0,40.574166,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Engel&Völkers offers you this unique new construction property, characterized by the simplicity of its design and quality in the materials used.It has a cooling and underfloor heating system with aerothermal energy, aluminum exterior carpentry with thermal bridge break and motorized blinds.It is built respecting the orography of the land and offering a concept of a house with open spaces that provide light and spaciousness. The house is understood to be in two areas, separated by a mezzanine.We access it through a hall that leads to the main floor that connects all the spaces.Here we find a large open kitchen, designed to create two clearly differentiated areas, the kitchen and the office; with exterior washing area.Going up a flight of stairs we access the rest area, with four bedrooms and three bathrooms, the main one with an en-suite bathroom and views of the garden. On the lower floor we have one more bedroom and a bathroom; and another room perfect as an office.Finally, and at garden level, we are greeted by a large living room with fireplace and access to the terrace and garden.Adjacent to the main floor is the parking lot with a motorized door and space for two vehicles; It also has a solarium area that offers endless possibilities. It is worth highlighting the unbeatable location of this property, just a few steps from the Renfe commuter station and bus stop, as well as several supermarkets, shops, cultural center, schools, churches and pharmacies within reach, without having to take your vehicle.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3238.0,https://www.idealista.com/inmueble/103612822/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/2d/57/1195228764.jpg,Colonia,False,-3.9526527,Colonia,Torrelodones,nan,chalet,nan,False,nan
4,Madrid,782.0,True,False,"{'subtitle': 'Las Marías, Torrelodones', 'title': 'Detached house'}",True,6,True,nan,True,55,2,es,nan,102311585,1800000.0,40.5737832,False,nan,sale,nan,"Engel&Völkers Torrelodones presents an exceptional independent villa in one of the most prestigious urbanizations in Torrelodones and the most sought after in the Colonia de Torrelodones for its privacy and tranquility, as well as for its proximity to the urban center and the train station. Solid traditional construction, with high quality standards and aesthetic details, in perfect condition. It is an exclusive property on a 4,128m2 plot, which gives it exceptional spaciousness and privacy, turning the land into endless possibilities. It has a well-kept garden with all kinds of trees and plants, a large swimming pool and an unusual private tennis court, basketball court and water well. With a very good distribution, it consists of four very comfortable floors, since the steps have a minimum height. The main entrance leads to the hall, which connects a living room with two rooms with the separate dining room and the kitchen, living room and kitchen with access to the porch and garden. On this same floor there is a guest toilet and a bedroom with a bathroom. Going up to the first floor we find two large bedrooms that share a bathroom and the master bedroom with an en-suite bathroom and a charming terrace. Going up a mezzanine again there is a multipurpose room and another bedroom with bathroom. We would already be talking about six bedrooms and four full bathrooms plus the guest toilet. And we end with the ground floor, with access from the garage and from the pool, where we find a large multipurpose room, a special wine cellar, a gym with a sauna and a bathroom. It also has a large basement independent of the house. We highlight of this property its character, its privacy, its spaciousness, its location, and also the possibility of segregating the plot.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2302.0,https://www.idealista.com/inmueble/102311585/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/79/6f/1155891902.jpg,Las Marías,False,-3.9441112,Las Marías,Torrelodones,nan,chalet,nan,False,nan
5,Madrid,1200.0,True,False,"{'subtitle': 'El Gasco, Torrelodones', 'title': 'Estate'}",True,8,True,nan,False,39,8891,es,nan,81323502,3500000.0,40.5647846,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"This extensive and unique property, known as ""Casa Nueva del Enebrillo"", is located in the middle of the National Park of the Middle Course of the Guadarrama River, a location of high landscape and environmental value, as its natural resources, flora, fauna and particular Serrano climate make it a true natural paradise. This privileged location, as well as its dimensions, its landscape, or the architectural ensemble of its buildings, of great historical interest, make it an exceptional place for recreation, rest or work. It is located to the north of the Community of Madrid, in the mountain municipality of Torrelodones -one of the most characterful towns in the Community- and its location close to the urban center and its train station give it the additional advantage of having it at your fingertips good communications and comfortable services of all kinds, while providing complete privacy. The new house of Enebrillo: At first sight it looks more like a farmhouse in La Mancha than a house in the Sierra, it is not granite or has slate roofs, but its walls are whitewashed and its roofs are Arab tile, although with several classical mountain details, such as the masonry fences, the granite balls, the stairs and the dry garden and, in the past, the doors that led to the garden or the roads were painted in a bright green of the countryside, Very from the area. The property, of 128,820 m2, is partially located in the Natural Park, since part of its land is outside it, classified as ""Unsecured Urbanizable Land"", which implies an urban potential for those who wish to develop it. Its proximity to the two most ancient and quality urbanizations of the municipality El Gasco and Las Marías, place it in the most sought after area with a potential development of very high level. Originally named ""New House of Enebrillo"", it is currently segregated into three farms of identical surface named: Casa Nueva del Enebrillo, with a historic house of the early twentieth century. Los Ángeles del Enebrillo, with a house from the 70s. El Mirador, without a house with 42,940, 10 m2 The three estates total a total of: 128,820, 32 m2. The three farms are affected by two natural protection areas that result in their urban classification according to the current Land Law in: 55,256. 08 m2 of Non Sectorized Developable Land. 73,564. 24 m2 of Non-Urbanizable Protection Land.",False,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",renew,2917.0,https://www.idealista.com/inmueble/81323502/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/d2/8c/574598286.jpg,El Gasco,False,-3.9418711,El Gasco,Torrelodones,nan,countryHouse,nan,False,nan
4,Madrid,307.0,True,False,"{'subtitle': 'Salud y Alegría - El Lago, Torrelodones', 'title': 'Detached house'}",True,6,True,nan,True,54,1,es,nan,103153975,795000.0,40.5717305,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Villa for sale in the Los Peñascales urbanization with unique views of Monte de El Pardo and the Madrid skyline. The house is in one of the best areas of Los Peñascales in Torrelodones. In an elevated position that offers unbeatable views and privacy on a main and quiet road with a bus stop 100 meters away. It is located just 5 minutes from the center of Torrelodones, 10 minutes from Las Rozas and 30 minutes from Madrid, very close to all services (schools, medical centers, access to the La Coruña highway and public transport stations that connect with Madrid). It is an INDEPENDENT home OF MODERN DESIGN, which has 1500 m2 of garden on flat land, and 320 m2 of constructed area. The home is built on two floors. Its access is through a spacious hall through which you access the living room with a wood-burning fireplace, continuing with a bright dining room with an impressive window overlooking the porch and the pool. The dining room communicates with the kitchen through a pass-through. Next to the kitchen, we find the utility room that has a full bathroom. On this same floor there is a spacious and bright living room. Access to the second floor is via a unique handcrafted staircase made of solid wood (mahogany). On the second floor there are four bedrooms, the main one with a recently renovated en-suite bathroom, and a very large terrace with views. The other three rooms share a bathroom. It has another spacious room currently used as an office. The garden has all types of plants and trees, with a barbecue and rustic gazebo, automatic irrigation and lights with a beautiful swimming pool renovated five years ago completely with a shower and outdoor toilet, as well as two buildings for the garage for parking two cars. large as well as a storage room ideal for storing pool and garden elements and an underground cellar. Unbeatable opportunity to enjoy family and friends in an environment of privacy and nature.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,2590.0,https://www.idealista.com/inmueble/103153975/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/b5/51/1180457111.jpg,subdistrict Salud y Alegría - El Lago,False,-3.9053909,Los Peñascales,Torrelodones,nan,chalet,Salud y Alegría - El Lago,False,nan
