bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
4,Madrid,357.0,True,False,"{'subtitle': 'Mojadillas - Parque de las Infantas - El Paraiso, Valdemorillo', 'title': 'Detached house in Lepanto'}",True,7,False,nan,False,50,CA193660,es,nan,486000.0,103740714,40.5527268,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR CONSULTING REAL ESTATE invites you to discover your new home in Montemorillo (Valdemorillo)! An ideal property for both a primary residence and a second home.Independent house with 2500 meters of plot and 357 meters built on three floors. We invite you to explore this magnificent property that offers an incomparable lifestyle in the prestigious urbanization of Montemorillo.With a generous plot of 2,500 square meters and an impressive built area of 357 square meters spread over three floors, this detached house is the perfect retreat for those seeking spaciousness, comfort and privacy. Upon entering the house, you will be greeted by an access floor that has two full bedrooms with a built-in wardrobe, a cozy living room with a fireplace that opens to a charming terrace, a full bathroom for greater convenience, a master bedroom suite to enjoy. your own private space, and a fully equipped independent kitchen with a pantry and direct access to the garden, where you can grow your own fresh herbs and vegetables. The attic is a versatile space that offers a very large living room with multiple layout options to adapt to your needs and preferences, as well as a spacious living room that lends itself to moments of relaxation and entertainment. The basement is an additional gem of this property, with a large living room with a fireplace for gatherings with family or friends, a full bathroom for greater comfort, four additional bedrooms that can function as guest rooms or work spaces, a boiler room to keep the home warm in the colder months, another room for recreational activities, a cellar to store your favorite wines and a room with a large wood-burning oven that will allow you to explore your culinary skills and enjoy delicious homemade dishes. In addition, the property includes a second house of 52 square meters built on the plot, which has a cozy living room with fireplace, a functional kitchen, two additional bedrooms and a full bathroom, perfect for hosting family, friends or using as a living space. work or study according to your needs. Located in the sought-after urbanization of Montemorillo, this home offers stunning views and excellent communication with the main roads, providing a quiet and natural environment to enjoy outdoor living, while at the same time allowing you easy access to services, shops, restaurants and cultural activities in the surroundings. Don't miss the opportunity to acquire this unique property that offers an exceptional lifestyle in Montemorillo.Contact us today for more information or to arrange a viewing and discover how this house can become your next dream home! At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1361.0,https://www.idealista.com/inmueble/103740714/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/68/85/1200750960.jpg,Lepanto,True,-4.0978832,Mojadillas - Parque de las Infantas - El Paraiso,Valdemorillo,nan,chalet,False
3,Madrid,252.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house in Avenida Del Escorial no number'}",True,5,False,nan,False,48,JM/JA 183277,es,nan,495000.0,102692894,40.4626126,True,nan,sale,nan,"Gilmar de Majadahonda offers you this exclusive detached villa in the prestigious urbanization Cerro Alarcón de Valdemorillo: Space and Elegance in Perfect Harmony Discover this impressive residence located in the exclusive urbanization Cerro de Alarcón de Valdemorillo, a jewel that combines the comfort of modern life with the tranquility of a privileged natural environment. With 252 square meters of living space and a generous plot of 756 meters, this property offers a unique space where every detail has been carefully designed. Perfect distribution for the family On the first floor, spaciousness becomes the protagonist. A bright living room, which opens onto a charming porch, invites you to enjoy relaxing moments in the company of nature. The kitchen, spacious and functional, includes an office area that becomes the heart of the house. In addition, two comfortable bedrooms share a bathroom, ensuring maximum comfort for the whole family. Privacy and Comfort on the First Floor The second floor houses the jewel in the crown: a master bedroom that reigns with elegance and comfort. Equipped with a walk-in closet and a private bathroom, it provides an oasis of tranquility and privacy to which must be added a magnificent terrace with breathtaking sunset views. It also has an office, perfect for teleworking or moments of concentration. An Additional Space with Endless Possibilities The first floor surprises with a large garage, a versatile space that can be adapted to your needs. Two additional bedrooms and a bathroom complete this level, offering options for guests, play area or even a private gym. Outdoor Oasis The 756 square meter plot is a canvas for the imagination. A saline chlorination pool becomes the center of fun and relaxation, while the chill out area invites you to enjoy unforgettable evenings in the company of friends and family. Privileged Location Located in Valdemorillo, this detached villa is located in one of the most desirable areas of the community. Surrounded by nature, it offers the tranquility you are looking for without sacrificing the proximity to services, schools and stores. Do not miss the opportunity to make this exclusive villa yours, where every space has been designed to provide quality of life and comfort in equal parts. Contact us today and discover your new home in Valdemorillo! In Gilmar we work to offer our customers the best properties for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic properties, land for construction... We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee the best possible service.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1964.0,https://www.idealista.com/inmueble/102692894/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/02/6d/1166008127.jpg,Avenida DEL ESCORIAL no number,True,-4.0714709,Cerro Alarcón,Valdemorillo,nan,chalet,False
3,Madrid,362.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house in Avenida Urbanización Cerro de Alarcón no number'}",True,5,False,nan,False,46,DG177196,es,nan,398000.0,98659498,40.465653,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GILMAR sells a large construction villa in a private urbanization. Ideal for those looking for a quiet residential area surrounded by nature, but with access to all services and good communications. WE OBTAIN THE MAXIMUM FINANCING WITH THE BEST CONDITIONS WITHOUT COST FOR THE BUYER - WITH GILMAR BUY WITHOUT AGENCY COMMISSION, DIRECTLY WITH THE PROPERTY - The property has a plot of almost 1500 m², this house of 375 m² built is distributed in: Ground floor: formed by the main floor and a lower floor between: Main floor: living room with fireplace (with heat distribution through a grill to other rooms), independent kitchen. Ground floor: three bedrooms and a complete bathroom. First floor: 3 bedrooms and a bathroom. GARDEN 150 m² garden with pool. - Barbecue area and porch. The chalet is located in a private urbanization with 24/h security, with buses to Madrid - Moncloa and restaurants. 15 minutes from San Lorenzo de El Escorial and 25 minutes from Madrid. If you are interested in this home, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. -.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1099.0,https://www.idealista.com/inmueble/98659498/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/ab/65/1020360364.jpg,Avenida Urbanización Cerro de Alarcón no number,True,-4.0874265,Cerro Alarcón,Valdemorillo,nan,chalet,False
3,Madrid,269.0,True,False,"{'subtitle': 'Mojadillas - Parque de las Infantas - El Paraiso, Valdemorillo', 'title': 'Detached house in Calle Infanta Carlota'}",True,5,False,nan,False,42,CA191459,es,nan,659000.0,103158776,40.5342621,False,nan,sale,nan,"Gilmar Consulting Real Estate puts at your disposal this magnificent villa with a 1,249 m2 plot in the prestigious Parque de las Infantas Urbanization, located in the peaceful Northwest area of Madrid, near the Valmayor reservoir. Discover serenity and Balinese charm on this exceptional first floor.The spacious and cozy living room, highlighted by a fireplace, creates a warm and relaxed atmosphere.The separate kitchen, with access to the garden, fuses comfort with design, providing a unique space for outdoor culinary experiences.A large bedroom with a built-in wardrobe and separate bathroom.In addition, it consists of an adaptable work room that adds versatility to this unique home. The first floor offers you 4 large rooms, each one designed to provide comfort and light.Enjoy 2 bathrooms, one of them en suite with the master bedroom, which adds a touch of luxury to your daily routine.Whether for family relaxation or versatile spaces, this first floor invites you to live with style and comfort. Discover outdoor perfection in this unique chalet.The extensive plot surrounds you in an oasis of serenity with a lush Balinese-designed garden.Soak in the jacuzzi, cool off in the pool and enjoy grilling under the stars on the barbecue.The carefully designed chillout area invites you to relax in a quiet and elegant environment.This chalet is not only a home, it is a living experience in every corner of its splendid exterior. Enjoy the privilege of residing in the exclusive Parque de las Infantas urbanization in Valdemorillo.Here, 24-hour security and a social club elevate your lifestyle.Enjoy stunning views of the Sierra de Guadarrama from the comfort of your home.In addition, the excellent connection with Madrid through public transport guarantees a peaceful life in Valdemorillo without giving up accessibility to the capital.Welcome to serenity, luxury and connectivity! At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 40 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector.We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Valdemorillo, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, penthouse, mountain views.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2450.0,https://www.idealista.com/inmueble/103158776/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/c5/0c/1180596616.jpg,Calle Infanta Carlota,True,-4.0843924,Mojadillas - Parque de las Infantas - El Paraiso,Valdemorillo,nan,chalet,False
2,Madrid,150.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house'}",True,3,False,nan,False,40,JA/JM 187477,es,nan,355000.0,102712630,40.4713158,False,nan,sale,nan,"Gilmar de Majadahonda sells Detached Villa in Valdemorillo of 150 m² on a plot of 752 m² spread over 2 floors. It has 3 bedrooms, 2 bathrooms Welcome to the perfect retreat surrounded by nature in the exclusive urbanization Cerro de Alarcón, Valdemorillo. This charming villa stands on a comfortable and flat plot of 750 square meters, offering an oasis of serenity and privacy. With three bedrooms, including a master bedroom on the second floor with en suite bathroom, this villa provides a cozy and functional space for the whole family. The spaciousness and brightness of the living room invite relaxation and conviviality, creating a perfect environment to share special moments. Enjoy nature in any weather from the spacious glassed-in porch, which adds a rustic and cozy touch to the property. The kitchen is designed for comfort and functionality, offering a lovely space to prepare and enjoy delicious meals. In addition to the main living area, the villa has a versatile space currently used for storage, as well as a large workshop, ideal for those with creative passions or additional storage needs. The urbanization Cerro de Alarcón offers an idyllic setting, where greenery and tranquility combine in perfect harmony. Enjoy nature at its best from the comfort of your home. This villa represents a unique opportunity for those looking for a quiet life connected with nature, without sacrificing the comfort and functionality of a modern home. Do not miss the opportunity to make this place your next home.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2367.0,https://www.idealista.com/inmueble/102712630/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/80/37/1166821399.jpg,Cerro Alarcón,True,-4.0716343,Cerro Alarcón,Valdemorillo,nan,chalet,False
3,Madrid,244.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house'}",True,4,False,nan,False,46,VIVSEVALCAL001,es,nan,475000.0,102013455,40.4674696,False,nan,sale,nan,"WE GET UP TO 100% FINANCING. Rental Real Estate offers this magnificent independent house of 244m2 built according to cadastre, 4 bedrooms, two bathrooms and a toilet. The house is in perfect condition to move into and it is located in the Cerro de Alarcón de Valdemorillo urbanization. Located in phase one of the urbanization consists of; a main set of house with garden on a plot of 811m2. The property is distributed in two floors: Upon accessing the main floor we find a hall, a courtesy toilet and a spacious living-dining room with a kitchenette distributed on two levels with access to a large porch. We also have a living room with a fireplace and an access door to the garage. On the upper floor we have four large bedrooms and a complete bathroom with a shower tray with access to a terrace. The master bedroom has a complete bathroom with Jacuzzi and a large window with access to a terrace with magnificent views. The floors of the house on the main floor are stoneware and on the upper floor of wooden flooring. The windows are made of white aluminum tilt-and-turn. At the front of the house we have a roof to store two vehicles. At the back we find a large porch, a covered barbecue and a large pool. The location of the house is ideal since it is near the entrance of the urbanization and just 100 meters from the bus stop. The Cerro Alarcón urbanization is located between the municipalities of Valdemorillo and Navalagamella and by extension is one of the largest in the Community of Madrid. Its natural environment is of great environmental value. The urbanization has a control and maintenance service for common areas 24 hours a day. The 641 bus line has several stops inside the urbanization. It connects with the Metro and buses at the Moncloa Transport Interchange. The Cerro Alarcón reservoir is integrated into the urbanization, which the developer built in the 1970s as an added value for recreational use for water sports. CHECK OUR WEBSITE WE HAVE MORE HOUSES THAT ARE NOT IN THE PORTALS. Contact phone: [IW].",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1947.0,https://www.idealista.com/inmueble/102013455/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/66/3e/1141282580.jpg,Cerro Alarcón,True,-4.0822991,Cerro Alarcón,Valdemorillo,nan,chalet,False
3,Madrid,250.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house in Calle Puerto de Tornavacas'}",True,5,True,nan,False,58,32-2022,es,nan,495000.0,98897428,40.4643737,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"NEW EXPANSION offers this magnificent villa located in the Cerro Alarcón urbanization, surrounded by a natural environment and with impressive views and without giving up the comforts of the city, since it has a bus stop at the door from which we can go to Madrid center. In addition to other services available in the urbanization itself for leisure; such as restaurants, sports areas and parks, we can enjoy all the other services in the municipality of Valdemorillo itself. The home in question was designed and built by the current owners, giving a touch of comfort and design as well as construction quality to the home. It is distributed over three floors: -Ground floor you access from the garden (without slope) to a large covered porch where we can see the entire panoramic view of the garden and pool, from which we can access the house to the hall through the entrance door in addition to being able to do so through a large window to the living room, which is quite comfortable for the summer season. On this floor we have two rooms that share a bathroom and a kitchen with an office from which you can go out to the back of the garden through stairs. -First floor for the main room with two closet areas and a bathroom. -Semi-basement floor in which there is a large garage, two rooms with windows, which provides a lot of light, and a bathroom; This floor also has a large storage room. The garden of the house is completely finished with natural grass; in addition to planted trees and bushes, highlighting a large centenary olive tree and also a salt chlorinator pool. The house has a photovoltaic installation, which makes electricity consumption very sustainable, which is not a bad thing at the moment. We recommend visiting the house as we believe it offers everything you need to enjoy outdoor life due to its good and comfortable garden, not to mention the charm of its interior. Don't miss the opportunity and call us, we will be happy to assist you.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1980.0,https://www.idealista.com/inmueble/98897428/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/63/67/1026952224.jpg,Calle Puerto de Tornavacas,False,-4.071111,Cerro Alarcón,Valdemorillo,nan,chalet,False
4,Madrid,396.0,True,False,"{'subtitle': 'Pino Alto - Navarredonda, Valdemorillo', 'title': 'Detached house'}",True,5,True,nan,True,64,CHA0015,es,nan,890000.0,103694355,40.4963782,False,nan,sale,nan,"Welcome to your oasis of tranquility in the northwest of Madrid! This magnificent property, located in a charming urbanization, offers you a serene life connected to nature. Main Features: • Location: Located in a prestigious urbanization in the northwest of the Community of Madrid. • Natural Environment: Enjoy the peace and serenity offered by this enclave surrounded by nature, ideal for those looking to escape the hustle and bustle of the city. • Bedrooms: Five spacious bedrooms that provide comfort and privacy for the entire family. • Bathrooms: Four elegant and well-equipped bathrooms to meet daily needs. • Impressive Exterior: The property is located on an extensive plot of more than 1,300m2, housing a refreshing pool that invites you to relax and enjoy the sunny weather. Additional Details: This house is perfect for those who value quality of life and want to live in an environment where tranquility and nature become part of their daily life. The house is distributed over 3 comfortable floors, and has been carefully designed to offer the perfect balance between comfort and elegance. Don't miss your chance to call this place your home. Contact us to schedule a visit and discover everything this property has to offer! [IW].",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2247.0,https://www.idealista.com/inmueble/103694355/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/b3/d2/1197334158.jpg,Pino Alto - Navarredonda,False,-4.0440134,Pino Alto - Navarredonda,Valdemorillo,nan,chalet,False
4,Madrid,490.0,True,False,"{'subtitle': 'Cerro Alarcón, Valdemorillo', 'title': 'Detached house in Calle Vial Camino'}",False,4,True,nan,False,50,3248-23158,es,nan,1200000.0,102939176,40.4845309,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Located in Valdemorillo, 41 km.from the Moncloa Interchange (34 minutes by car on the M-503).It has its entrance on the M-510 highway, less than 3 km away.of the urban area, through an automated door with remote control and intercom.The entrance has a security camera.The road access to the door of the house is via a concrete track, being completely accessible. The plot, of a rustic nature, has a total area of 53,000 m2, of which 2,500 m2 belong to the CYII by expropriation.Within it there is an area fenced around its entire perimeter with metal mesh of about 10,000 m2 for a garden, covered pool and buildings.The rest is considered lowland (holm oaks, chaparros, junipers, etc.), also fenced with barbed wire. It has a rainwater collection system using a 6 m artesian well.in diameter and 10 m.deep that collects the waters of a rain stream.Using a pump, the water is transported to cisterns of about 500m3.The entire system is automated. The property has electricity and running water from the CYII.Good mobile network coverage and possibility of installing fiber optics for high-speed internet. HOUSING AND ANNEXES: The garden area and buildings are accessed through another automated door with remote control, along the entire concrete path from the entrance of the road to the door of the house. MAIN HOUSE: 490 m2 distributed over three floors (urban registration area of 350 m2 built + pool and storage).Colmenareño granite walls of 1 m.thick.Completely renovated in 2005 with the highest quality and finishes in exterior and interior carpentry, flooring, thermal insulation of interior walls, installations, kitchen and bathrooms.It does not require any renovation work. GROUND FLOOR: 80 m2 with a bathroom and play area with separate entrance.More boiler area and electrical installations (20 m2).Heating and hot water through a mixed system of diesel boiler and solar panels that is distributed with underfloor heating throughout the house.The operation is fully automated. MAIN FLOOR: 300 m3 distributed in three living rooms with different heights, three bedrooms (two of them suites), kitchen with large dining area, two full bathrooms and pantry.Open perimeter porch of about 150 m2 with views of the mountain.French fireplace and air conditioning.Perimetered with large windows in all rooms facing all directions, with automatic awnings and pergola. UPPER FLOOR: 90 m2 and access through an internal staircase with a large window, completely open plan, except for the bathroom with a hydromassage column.It is entirely used as the master bedroom, inside it there is a 2 x 2 meter jacuzzi, sauna, cast iron fireplace and large dressing room, with air conditioning.The floor is made of iroco wood and the sloping ceiling is covered with beech wood.It has an open terrace with a pergola of about 20 m2, with two entrances. SECONDARY BUILDINGS: All are listed in the Cadastre.About 100 meters from the main house there is a “rough” building with an approximate area of 100 m2 divided into two bedrooms and a living room.There are also three other smaller buildings, with access to water and electricity for various uses, as well as a fenced area of about 70 m2 intended as a dog pick-up area. GARDEN AND POOL: Everything is in perfect condition and has automatic irrigation through sprinklers and drip irrigation, with the paths paved with printed concrete and tiles.Covered garage for three cars.Fenced area for a 300 m2 garden with drip irrigation.The pool is irregularly shaped, 12.5 x 5 m.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2449.0,https://www.idealista.com/inmueble/102939176/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/80/fc/1172451274.jpg,Calle Vial Camino,False,-4.1014251,Cerro Alarcón,Valdemorillo,nan,chalet,False
4,Madrid,317.0,True,False,"{'subtitle': 'Pino Alto - Navarredonda, Valdemorillo', 'title': 'Detached house'}",True,5,True,nan,False,36,VIVSEVALPAL003,es,nan,695000.0,102833079,40.4930151,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","WE GET UP TO 100% FINANCING.WE DO NOT CHARGE THE BUYER. LOCATION SELLS INDEPENDENT VILLA OF 319 M2 ON A PLOT OF 1,222 M2 ACCORDING TO CADASTRE, WITH 5 BEDROOMS, 4 BATHROOMS, WAREHOUSE AND SWIMMING POOL. We have the privilege of offering you this spectacular independent villa located in the Jarabeltran Urbanization in the municipality of Valdemorillo, with spectacular views and in a unique environment to enjoy nature. On the street level, we access the house on foot after crossing the garden and large main porch that takes us to the entrance door of the house, giving way to its bright and spacious hall-hall.To the left we find an incredible living room with fireplace and to the right a hallway with Axeso to 3 large bedrooms with built-in wardrobes and a full bathroom, in the back we find a large kitchen with an office area and direct access to the porch and with a door side auxiliary to unload the purchase comfortably. We access the first floor through a staircase that leads to a very bright open room, on the right a large office and on the left the master bedroom distributed in a large dressing room, a large bathroom with a hydromassage bathtub, a shower tray and two sinks, it also has another instance where the toilet and bidet are.From the dressing room we access a large perimeter storage room with large storage capacity. On the ground floor from the pool, we have an exclusive wine cellar with kitchen, large family table, fireplace and bar, on this same floor a boiler room space. The plot has a large covered parking space with capacity for four vehicles, green areas, a swimming pool and a barbecue area. The house has quality materials, aluminum exterior carpentry with thermal bridge, double glazing, tilt-and-turn windows and mosquito nets. The floors are stoneware, the doors are made of solid wood, smooth and gotelé walls, internet connection and television in all rooms, alarm, automatic door for car access. Heating and domestic water is provided by a diesel boiler with a 1000 liter tank and the possibility of easily installing solar panels. The urbanization has a security checkpoint for access and public transport with bus lines 669, 642 and 641 with stops very close by. DO NOT HESITATE TO VISIT IT. WE HAVE MORE PROPERTIES THAT ARE NOT IN THE PORTALS. CHECK OUR WEBSITE LOCATIVE Avda.Villanueva de la Cañada, 35, LOCAL 1 28693 QUIJORNA MADRID Tel.[IW].",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2192.0,https://www.idealista.com/inmueble/102833079/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/55/71/1168825722.jpg,Pino Alto - Navarredonda,False,-4.0332859,Pino Alto - Navarredonda,Valdemorillo,nan,chalet,False
