bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
4,Madrid,400.0,True,False,"{'title': 'Detached house in grecia, 6'}",True,5,False,nan,False,39,CG193457,es,nan,505000.0,103754136,40.6998473,True,nan,sale,nan,"GILMAR sells detached villa in the best area of Valdetorres del Jarama in impeccable condition. The house of 400 m2 is distributed over 3 floors and is located on a plot of 500 m2. The property stands out for its south orientation, which guarantees an abundant entry of natural light throughout the day. On the main floor, from the entrance hall, there is access to a spacious living room with fireplace, kitchen with dining area, 2 bedrooms both with fitted closets and a bathroom. The second floor has 3 bedrooms. The master bedroom with dressing room and bathroom en suite. There is also another bathroom. The basement has an open plan room with fireplace and two separate environments, perfect for creating a space for meetings with friends or games room. It also has a bathroom, utility room and a closed garage for two cars. The villa stands out for its interior wood carpentry and exterior carpentry Climalit. Valdetorres del Jarama is a municipality located north of Madrid and gives you the opportunity to live in a very appreciated environment in a privileged natural area but with all the comforts and services of living in a town of 5,000 inhabitants: School, supermarket, health center, pharmacy, restaurants, church, workshop, 2 nurseries, hairdresser, local police, firefighters, sports areas, municipal swimming pool, paddle and tennis courts, children's play areas, clean point service, garbage collection, etc.  Only 20 minutes from Madrid by the A-1 and with inter-city bus lines that arrive at Plaza Castilla on a regular schedule every 25 minutes.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1263.0,https://www.idealista.com/inmueble/103754136/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/ae/8c/1202638776.jpg,"grecia, 6",True,-3.5105129,Valdetorres de Jarama,nan,chalet,False,nan
5,Madrid,384.0,True,False,{'title': 'Detached house in Calle Granados'},True,8,False,nan,False,52,2311,es,nan,470000.0,99285267,40.6800798,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Detached house consisting of two houses for sale in Valdetorres de Jarama Where is this house located? This detached house made up of two houses for sale is located in Valdetorres de Jarama, a municipality that belongs to the Community of Madrid. How many square meters does the house have and on how many floors are they distributed? This detached house made up of two houses has a constructed area of 384m2 and is distributed over two floors, both houses. How many rooms does it have and where are each located? In the first chalet we find, on the first floor, the living room, a dining room, the kitchen, two bathrooms, three bedrooms and a pantry. And on the second floor a raw attic of 54m2. In the second chalet we find the kitchen, the living room, two bedrooms, a bathroom and a bedroom with an en-suite bathroom. On the second floor we find a living room, two bedrooms, a bathroom and a storage room. Both houses share a 14m2 covered porch. What kind of qualities does this house have? This detached house made up of two houses has smooth paint, wooden doors, PVC tilt-and-turn windows and aluminum climalit, mosquito nets, stoneware and wooden floors, oil heating, built-in wardrobes, etc. Does it have green areas? Yeah.It has a large plot of 2,515m2, conditioned, with a covered American garage and swimming pool. How far is the house from the capital? It is located specifically 38 minutes by car from the center of the capital. With what type of public transport can I move? Valdetorres de Jarama is very well connected with line 197, which has long hours. What type of service does this municipality have? The municipality has numerous services such as schools, nurseries, health center, pharmacies, restaurants, veterinarian, own town hall, post office, supermarkets, etc. We are a team of professionals! •With more than 15 years of experience in the sector, which will accompany you throughout the process of buying your home: • Accompany you to see the properties that fit your wishes. • Advise you legally, fiscally and financially to verify the charges that the property may have, the costs of expenses and taxes and how to finance it. • We manage your credit or mortgage. • We draft the sales contracts and inform you of the necessary documentation. •Finally, once the property is purchased, we provide you with the local suppliers that are necessary for you so that you can leave your property as you dreamed of. DON'T LET THEM TELL YOU, CALL US TO REQUEST MORE INFORMATION!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1224.0,https://www.idealista.com/inmueble/99285267/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/3f/b8/1105903806.jpg,Calle Granados,True,-3.515026,Valdetorres de Jarama,nan,chalet,False,nan
3,Madrid,436.0,True,False,{'title': 'Detached house in Granados'},True,3,False,nan,False,170,4398,es,nan,685000.0,103550493,40.6803749,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","MAGNIFICENT FINCA WITH INDEPENDENT CHALET WITH REGA CODE AND HEATED POOL! Located in Valdetorres de Jarama, in the “El Mirador” Urbanization and which we describe below It consists of 436 m² built on two floors and distributed as follows. In the main room, a spacious and bright living room with fireplace and access to the large porch that offers wonderful and quiet views. In addition, there is a large window that shows us the spectacular covered pool that the home has. The kitchen, equipped with wall and base furniture and basic appliances and surrounded by windows. Three bedrooms, two of them with en-suite bathroom and dressing room. The third, with a built-in wardrobe. A bathroom with a shower tray and exterior window, which will serve the rest of the rooms. The basement, distributed in different rooms. Currently, living room, bedroom, kitchen, engine and boiler room and access to the garage. All of it offers us multiple possibilities to redistribute it in many ways, according to your tastes. Outside, an extensive plot of more than 4,000 m² that has stables, a grazing area and training. Small house lined with natural stone, with a rustic kitchen and wood oven located at the exit of the heated pool. Shed for storage of tools and storage room Orchard, aviary, well, and countless places to discover We cannot fail to mention that it has thermal solar panels, which provide hot water and underfloor heating, at an optimal cost. Even so, it is provided with a diesel boiler as a second option. The REGA code is the general registry of livestock farms that acts as a political instrument in matters of animal health. All animal species that must have this code are reflected in the R. D. 479/2004. Valdetorres de Jarama is a municipality located north of Madrid, close to the A-1 highway and close to the Jarama River. It has all kinds of services, school, sports center, shops, gas station, etc. , which will make this an ideal place to live. Transport communication is very good, with bus networks that will connect us with Alcobendas, San Sebastián de los Reyes and Madrid-Plaza Castilla, as well as with the nearby towns, Fuente el Saz de Jarama, Algete, Talamanca, etc. … It is surrounded by different urbanizations that belong to it: Silillos, El Mirador, La Cueva, La Escarabajosa, all of them have a great location and stand out for their tranquility and large plots, ideal for family life. A true wonder that we would like you to visit!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1571.0,https://www.idealista.com/inmueble/103550493/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/32/49/1193914925.jpg,Granados,True,-3.5252677,Valdetorres de Jarama,nan,chalet,False,nan
3,Madrid,366.0,True,False,{'title': 'Detached house'},False,5,True,nan,False,80,CS567,es,nan,455000.0,101204173,40.6906295,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"chalet with 4 floors, 3rd office with terrace with aluminum pergola with sofa area, 2nd ironing room with terrace, two basic bedrooms with fitted wardrobes and the main one with bathroom with bathtub and shower, dressing room and terrace, and an individual bathroom, 1st and main floor with a toilet, American kitchen with large dining room and exit to the outside integrated with double height living room and access to the gajare, gajare with space for two cars, -1st games room with bar counter and an office room, Outside area with barbecue and gazebo, and three entrances, two gates and main entrance.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1243.0,https://www.idealista.com/inmueble/101204173/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/83/d5/1128891583.jpg,Valdetorres de Jarama,False,-3.5161103,Valdetorres de Jarama,nan,chalet,False,nan
2,Madrid,130.0,True,False,"{'title': 'Terraced house in san roque, 26'}",True,3,False,nan,False,49,nan,es,nan,219900.0,103854843,40.6977177,True,nan,sale,nan,"SITUATION The home is located in the town of Valdetorres de Jarama, in an area characterized by its proximity to schools, parks, health centers, pharmacies, banks and shops. Municipality with good communication by public transport with direct bus line to Madrid and night line. It has good road communication with the A1 Highway, the R2 Highway and the M-50 Highway. FEATURES: MAIN FLOOR: As for the chalet, it was built in 1996, with 2 floors and in a very good state of conservation. This home is located in a residential area and with a graphic area of 84 m2 and a constructed area of 130 m2 distributed as follows: From the entrance to the house we access the stairs leading up to it. We enter and find the hall, in front we have a large living room with two rooms. Returning again to the hall, on the right side we have a hallway where in front we find the very spacious master bedroom with a built-in wardrobe, before entering the bedroom with a full bathroom with shower. Going out again to the hallway-hall, we have the kitchen from where we access the stairs to the upper floor. UPPER FLOOR: We access the second floor via the stairs that we mentioned above from the kitchen on the main floor and we have an apartment with all the amenities except kitchen. As soon as you enter the upper floor we have on the left side a large pantry where the gas boiler is located, on the right a suite with bathroom, on the left side of this magnificent suite, we find a SUITE with dressing room, bathroom with shower and usable as a living room during the day, an upper floor as its name indicates. THINGS TO REMEMBER:. The house has natural gas heating, armored doors, Canal de Isabel II water supplies. Stoneware, double glazed windows, windows, bars, 3 bedrooms and 2 of them SUITE, etc. For more information contact by email or phone.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1692.0,https://www.idealista.com/inmueble/103854843/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/83/c3/1202599889.jpg,"san roque, 26",False,-3.5148372,Valdetorres de Jarama,nan,chalet,False,nan
2,Madrid,259.0,True,False,{'title': 'Detached house'},True,5,True,nan,False,33,W-02Q2DO,es,nan,368000.0,99040069,40.6943274,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Wonderful chalet in Valdetorres de Jarama Engel & Völkers presents this comfortable detached house with a large plot. With direct access to the property from the street with vehicle.  We access the house through a charming glazed entrance hall. We find a spacious living room with fireplace, on the right two bedrooms, at the back a bathroom, fully equipped kitchen with direct exit door to garage, meeting area and staircase to the second floor. On the second floor we find a cozy living room which in turn serves as an entrance hall and gives access to three bedrooms, a bathroom and access to the large and comfortable covered terrace of 90m2. The garage with its 90m2 is suitable both for storing vehicles and for holding meetings.  On the land there are olive trees, almond trees and vines. Unbeatable location, in a very quiet and clean environment. with all services at your fingertips, schools, kindergartens, restaurants, pharmacies, own town hall, health center, gas station, post office, supermarkets and others. Very well connected, just 38 minutes from Madrid center and with good access by road and bus line 197 with extensive schedules.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1421.0,https://www.idealista.com/inmueble/99040069/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/e3/0a/1195022439.jpg,Valdetorres de Jarama,False,-3.5084392,Valdetorres de Jarama,nan,chalet,False,nan
3,Madrid,115.0,False,False,{'title': 'Terraced house in Virgen Del Campo'},False,3,False,nan,False,23,GE191862,es,nan,195000.0,103187833,40.6960691,False,nan,sale,nan,"Gilmar Consulting Inmobiliario Santo Domingo sells semi-detached house composed of three floors above ground. It is distributed in first floor hall, living room, kitchen, bathroom, stairs to second floor, distributor, two bedrooms, and bathroom hall, attic master bedroom with dressing room and bathroom and porch. It has an uncovered patio at the back of the house for private use. Located in the town of Valdetorres de Jarama, near the health center. Municipality that has all the basic services within reach, with commercial offer (large surfaces and necessary neighborhood stores) and educational, variety of catering services and green areas valued in which to perform outdoor activities. It is located 32 kilometers from Alcalá and 39 kilometers from Madrid. Housing for those who want to live in a quiet area very well communicated as for those looking to invest for lease with a very good profitability. All this, in addition, with excellent communications by public transport (bus) and roads. In Gilmar we have been working to offer our clients the best properties for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots, rural properties, land for construction.  We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and tax profitability.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1696.0,https://www.idealista.com/inmueble/103187833/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/dd/87/1181200628.jpg,VIRGEN DEL CAMPO,False,-3.5184047,Valdetorres de Jarama,nan,chalet,False,nan
1,Madrid,245.0,True,False,{'title': 'Detached house in valdetorres del jarama'},True,4,False,nan,False,81,nan,es,nan,269990.0,103288600,40.6971947,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"TECNOCASA SELLS: FANTASTIC INDEPENDENT VILLA WITH POOL IN VALDETORRES DEL JARAMA We offer this beautiful independent villa for sale in Valdetorres del Jarama. With a 540m2 plot, this property offers ample space to enjoy the outdoors, with a magnificent construction built on a single floor, garage and swimming pool. The house is distributed on a single floor, being very comfortable and practical, since it has practically no architectural barrier to access it. Inside, it has a bright kitchen, a very spacious living-dining room, 4 bedrooms and a very good-sized garage. In addition, there are 2 rooms with potential to adapt according to your needs. On the large plot, you can enjoy a large space that surrounds the pool, which gives way to the area that could be the barbecue, ideal for its brick construction, equipped with a bathroom, and a fantastic covered space that you can give thousand uses. This property offers infinite possibilities since it is a comfortable and functional home. Don't miss this opportunity, financing available through KIRON, with the possibility of obtaining up to 100% of the mortgage. Visit our office or call us to arrange a no-obligation visit.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1102.0,https://www.idealista.com/inmueble/103288600/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/45/eb/1184604526.jpg,valdetorres del jarama,True,-3.5126858,Valdetorres de Jarama,nan,chalet,False,nan
1,Madrid,68.0,True,False,{'title': 'Duplex in Calle torrelaguna'},False,2,False,True,False,15,4403,es,False,115000.0,103487263,40.6935634,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INVESTMENT OPPORTUNITY PROPERTY FROM FORECLOSURE WITHOUT POSSESSION! Impossibility of internal visit. The photographs may not correspond to the current state of the property. The price of the property has been set considering that the property is acquired by the buyer in an occupied state, so said price would not apply if at the time of formalization of the public deed the property was free of occupants. 68 m2 duplex distributed over two floors. 2 bedrooms, bathroom, living room and kitchen Inseparable annex garage space in the same building. Call us and consult the special conditions of sale of this property.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",renew,1691.0,https://www.idealista.com/inmueble/103487263/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/54/a5/1191045267.jpg,Calle torrelaguna,False,-3.5101748,Valdetorres de Jarama,1,duplex,False,nan
2,Madrid,73.0,False,False,{'title': 'Duplex in Cañada de San Sebastián'},False,2,False,True,False,35,0816,es,False,152000.0,102912253,40.6950341,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Beautiful 2-bedroom duplex with communal pool and garage space. This home has the following distribution: On the ground floor we find a distributor hall with armored door. Fully furnished kitchen, equipped with basic appliances and access to a closed clothesline. Toilet on this floor. Bright 20m² living room from which we access the upper floor. The 2 double bedrooms have a frieze and thermal insulation, double windows and fitted, lined and dressed wardrobes. Beautiful common areas with swimming pool and parking space in underground community parking. Qualities: Natural gas heating throughout the house, oak doors, stoneware floors, aluminum windows with Climalit (double in bedrooms), mosquito nets, pre-installation of air conditioning. Located in a very quiet area but next to the post office, pharmacy, sports center and local shops. Come visit it or call us for more information. WE DO NOT CHARGE FEES TO THE BUYING PARTY.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2082.0,https://www.idealista.com/inmueble/102912253/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/3f/74/1171543092.jpg,Cañada de San Sebastián,False,-3.5181296,Valdetorres de Jarama,1,duplex,False,nan
