bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus
3,Madrid,246.0,True,False,{'title': 'Terraced house in Rafael de la Fuente Santos'},True,4,True,nan,False,51,23,es,nan,199990.0,103169275,40.2749277,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"INMOBILIRIA CARRIOLA SELLS EXCLUSIVELY AND WITHOUT AGENCY COMMISSION. The roof has a free surface of 40m2 available to install solar panels and receives sunlight 3,698 hours a year. If you wish to carry out the installation, we will put you in contact with a specialized company. Very nice villa, centrally located and located close to all the services of the town, very spacious and ideal as a first or second residence. Built on three floors: semi-basement, ground floor and first floor. In the semi-basement we find a large kitchen, living room, toilet and garage with access to the patio. The ground floor is distributed in a large entrance hall, living-dining room (bedroom) with terrace, full bathroom and large kitchen with pantry and laundry room with access to the patio. The second attic floor is distributed in: hallway, three large bedrooms and full bathroom. All rooms have a small terrace. Top quality, oil heating, air conditioners, double glazed windows, ceramic floors, etc.. . THE ROOF HAS A SURFACE OF 40m2 available to install solar panels and receives sunlight 3,698 hours a year. OWN FINANCIAL DEPARTMENT. WE ADVISE YOU TO GET THE BEST MORTGAGE. WWW. REAL ESTATECARRIOLA. COM.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,813.0,https://www.idealista.com/inmueble/103169275/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/ca/30/1180523117.jpg,Rafael de la Fuente Santos,False,-4.3020026,Villa del Prado,nan,chalet,False
4,Madrid,165.0,True,False,{'title': 'Terraced house'},False,3,True,nan,False,39,Cruz,es,nan,240000.0,101698326,40.2716297,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Fabulous semi-detached house for sale in the center of Villa del Prado! This incredible 2-story property has 165 meters built and a plot of 177 meters. On the main floor, you will find a large hall, a separate furnished kitchen, a large separate living room with fireplace and access to the backyard, as well as a practical toilet. It also has a garage for one car with automatic doors. On the first floor, there are 3 double bedrooms, each with a complete bathroom en suite, and a glazed terrace used as an ironing room. The backyard is paved and has a large porch. The house offers excellent qualities, with stoneware floors, air conditioning throughout the house, double glazed windows, bars and mosquito nets, individual natural gas heating and solar panels. In addition, its location within the urban area is unbeatable, close to schools, a library and a health center. Don't miss the opportunity to acquire this wonderful fully furnished home!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1455.0,https://www.idealista.com/inmueble/101698326/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/a6/d0/1130820487.jpg,Villa del Prado,False,-4.3014703,Villa del Prado,nan,chalet,False
2,Madrid,199.0,True,False,{'title': 'Semi-detached house'},False,3,True,nan,False,37,Pazvilla,es,nan,230000.0,103287817,40.2767853,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Semi-detached house on a 365m2 plot in Villa del Prado. It consists of 199 meters built. Main floor with front porch, large hall with access to the separate living room, separate furnished kitchen with direct access to the plot, dining room, 2 bedrooms and 1 full bathroom. Semi-basement with cellar, 1 bedroom, 1 full bathroom, a large garage, laundry room and boiler. Paved plot, with built-in barbecue and storage room. The house has oil heating, built-in wardrobes, stoneware floors, double glazed windows, A/C, open door and automatic doors.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1156.0,https://www.idealista.com/inmueble/103287817/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/0d/1a/1184576421.jpg,Villa del Prado,False,-4.3060702,Villa del Prado,nan,chalet,False
4,Madrid,452.0,False,False,{'title': 'Detached house in Paloma'},False,5,False,nan,False,35,PALOMA,es,nan,364000.0,100451960,40.2781407,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"""***property for sale from day to *** sale during upward bidding period. It will be sold at the highest bid. ""***""*** ""GARSIERRA. INDEPENDENT CHALET. Built: 452 m. Plot: 1,146 m. 30 m room. with fireplace and access to private garden, fitted kitchen with office, 5 bedrooms (the main one downstairs), 4 bathrooms, garage, 2nd living room of 60 meters. Private pool. Financing. residential area. near the bus. The area has all kinds of services and shops. WE DO NOT CHARGE COMMISSION. "". "". "". "". "". "". "".",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,805.0,https://www.idealista.com/inmueble/100451960/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/55/a5/1086920354.jpg,PALOMA,False,-4.3031327,Villa del Prado,nan,chalet,False
2,Madrid,333.0,False,False,{'title': 'Detached house in Avenida juan carlos'},True,5,False,nan,False,44,MS-VP1,es,nan,289000.0,103873963,40.280459,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Magnificent individual villa for sale in a fantastic location. (next to the gas station, a few minutes walk from the town center with a multitude of services and the bus stop) At the entrance of Villa Del Prado we find a large plot of more than 1,200 m², where the house is located, which has a constructed area of 333 m² on 2 floors. The land is flat with fruit trees and palm trees, 2 areas differentiated by the garage entrance, where the pool is located with ample space, and another area, where you can continue enjoying and coming up with ideas to enjoy in this magnificent land. The house, distributed over two floors, has a garage, storage room and large cellar on the ground floor. On the first floor with a large entrance terrace we have five bedrooms with built-in wardrobes, a living-dining room with lots of natural light, an independent kitchen, with access to a second terrace and 2 bathrooms. It needs reform. Many possibilities. Better to see. Financing, tailored to your needs if you need it Mortgages with the best conditions! //No agency commission//.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,868.0,https://www.idealista.com/inmueble/103873963/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/84/d6/1202854793.jpg,Avenida juan carlos,False,-4.3081932,Villa del Prado,nan,chalet,False
2,Madrid,230.0,True,False,{'title': 'Detached house in urbanizacion encinar del alberche'},False,4,False,nan,False,45,nan,es,nan,240000.0,103566708,40.2839575,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"PISO AZUL REAL ESTATE SELLS BEAUTIFUL INDEPENDENT VILLA WITHIN A PRIVATE URBANIZATION IN VILLA DEL PRADO, 24 HOUR SURVEILLANCE, the house has 227 m2 built, distributed over two floors, and 192 m2 of useful area. On the main floor we find the living room - dining room with fireplace, with an area of 30 m2, hallway-distributor with wardrobe, fitted kitchen, 1 master bedroom en suite, three bedrooms with built-in wardrobes and a bathroom. It has a large terrace with beautiful views, storage room and barbecue area - covered oven. Main bathroom, floors and electrical system recently renovated. Aluminum profile windows with double glazing and mosquito nets in rooms. Several water and electricity points on the plot On the ground floor we find a large garage with a 1000 liter diesel tank, a boiler room and next to the garage a cellar. The pool area is distributed in a treatment room and a toilet - changing room. El Encinar del Alberche is located 65 km from Madrid, in the town of Villa del Prado. It has its own security, supermarket, sports areas (swimming pool, soccer field, basketball, tennis... ), restaurants and surrounded by nature. It is very well connected to Madrid, it has a bus line that runs every 20 minutes to Príncipe Pío station. In the Villa del Prado area we find all the services, both educational and health. CALL AND COME VISIT IT WITHOUT COMMITMENT, PISO AZUL INMOBILIARIA.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1043.0,https://www.idealista.com/inmueble/103566708/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/58/0f/1193547704.jpg,urbanizacion encinar del alberche,False,-4.3539479,Villa del Prado,nan,chalet,False
2,Madrid,213.0,True,False,{'title': 'Detached house'},False,4,False,nan,False,54,05325,es,nan,205000.0,103491233,40.2710744,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"In this operation Elephant does not charge fees to the buyer. If you are a lover of nature you have to come and see this magnificent property located in the El Encinar del Alberche Urbanization, Villa del Prado, located just one hour from Madrid.It is ideal for those seeking privacy and comfort. THIS HOUSE IS SPECIAL BECAUSE: Located in an elevated position, this home allows you to enjoy exceptional views and appreciate the natural paradise that surrounds it.Its 1,116m² plot offers you privacy and, if you wish, the opportunity to invite family and friends to a barbecue and spend a whole day outdoors in good company, while the children play and run around the garden. DISTRIBUTION The house, built in 2001, is in perfect condition and has been lovingly cared for over the years.Its distribution allows for comfortable living on a single floor, providing comfort and accessibility for all ages. Upon entering, you are welcomed by a cozy hall that takes you directly to the kitchen, with access to one of the porches of the house, where you can enjoy the warm morning sun accompanied by a cup of coffee.In this same area is the living room with fireplace and direct access to the terrace.This space is perfect to decorate to your liking, with a nice table and a rest area, to enjoy the impressive views of the pine forest.Without a doubt, the ideal corner to admire the sunset in the company of your partner and a glass of wine. The rest area has four spacious rooms.The main one has its bathroom and the rest share the second bathroom.All of them with a built-in wardrobe. Thanks to its orientation, it is a house full of light and surrounded by nature, which will immediately make you feel in your new home. The lower floor has the same surface area as the main one, built at the level of the plot, it has another multipurpose room with two large windows, the garage, the boiler room and a bathroom with the floor, electrical installation and finished pipes.All that remains is to finish plastering and painting the walls and ceiling. It is worth highlighting the size of the plot with enough meters to make a swimming pool, a play area and its direct exit to the pine forest to go for a walk with the family or take a route for bicycle lovers. Don't miss the opportunity to enjoy this wonderful property in El Encinar del Alberche, an urbanization with guarded access and 24-hour security service.Contact us.We are waiting for you with open arms to start a new life in this natural paradise! You will fall in love with it! EQUIPMENT AND QUALITIES: The house is freshly painted, porcelain floors, individual oil heating.Interior carpentry in wood and good white PVC enclosures with double insulated glass.All exterior and with mosquito nets on all windows. COMMUNICATIONS: Located in a residential area about 40 kilometers from the capital, it has good communications via the M-507 highway, which connects in a few minutes with the national N-403. It has three bus lines that pass every 20 minutes to Príncipe Pío SHOPS, LEISURE AND SERVICES: The urbanization has a fantastic social club that offers a wide range of services, such as a restaurant, supermarket, swimming pool with a large meadow, 3 tennis courts, 2 paddle tennis courts, 2 table tennis tables, a basketball court, another 7-a-side soccer field and a minigolf.It also has a school bus.In the Villa del Prado area we find all the services such as leisure, restaurants, educational centers and health centers.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,962.0,https://www.idealista.com/inmueble/103491233/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/6b/14/1196311854.jpg,Villa del Prado,False,-4.3537703,Villa del Prado,nan,chalet,False
2,Madrid,334.0,True,False,{'title': 'Detached house in Carretera Escalona m 540'},False,5,False,nan,False,12,5VILLADELPRADO52884194CARRETERAESCALONA,es,nan,112000.0,100558758,40.2511472,False,nan,sale,"house located on the outskirts of Villa del Prado, Madrid. The property is distributed in five rooms, living room, kitchen and two bathrooms. In terms of accessibility, the property has multiple connections and has easy access to M-507.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,335.0,https://www.idealista.com/inmueble/100558758/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/c8/7f/1091717245.jpg,Carretera ESCALONA M 540,False,-4.298502,Villa del Prado,nan,chalet,False
1,Madrid,250.0,False,False,{'title': 'Detached house in Avenida urbanizacion encinar del alberche'},False,4,False,nan,False,57,nan,es,nan,180000.0,103196527,40.2805802,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"blue apartment for sale in encinar del Alberche urbanization Detached villa, with all services, paved streets, lighting, running water, security, sports areas, swimming pools, tennis courts, padel, indoor soccer. Chalet on a 1000m2 plot distributed in 4 bedrooms, 1 full bathroom, hall, living-dining room on two levels, French fireplace and built-in cassette, kitchen furnished with all appliances, interior woodwork and exterior aluminum carpentry. It has individual heating with a diesel boiler, hot water with a butane gas heater, air conditioning, a garage and porches at the 2 entrances of the house, and an alarm. The plot has natural stone steps for people and vehicles, a large garden with automatic irrigation, a 12,000 liter water tank, and an irrigation pump. It has a stone barbecue and brickwork, with a woodshed and a 20 m2 storage room and garage. The enclosure of the plot is made of brick on a stone wall, with metal walls in façade and metal and arizonic mesh in rear areas. Better to see, for more information do not hesitate to contact us. BLUE REAL ESTATE APARTMENT.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,720.0,https://www.idealista.com/inmueble/103196527/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/60/bc/1181484005.jpg,Avenida urbanizacion encinar del alberche,False,-4.355523,Villa del Prado,nan,chalet,False
4,Madrid,452.0,False,False,{'title': 'Detached house in Calle Paloma'},False,5,False,nan,False,53,NAV4393,es,nan,364000.0,100368309,40.2725958,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"This villa is at Calle Paloma, 28630, Villa del Prado, Madrid. It is a villa, built in 1990, that has 244 m2 and has 5 rooms and 4 bathrooms. It has luminous, exterior, yard, green area, floor tiles, heating oil, toilet, garage included, piscina, good condition,. , wardrobe, mountain views and storage room.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,805.0,https://www.idealista.com/inmueble/100368309/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/64/95/1089778802.jpg,Calle Paloma,False,-4.2968686,Villa del Prado,nan,chalet,False
