bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
8,Madrid,759.0,True,False,"{'subtitle': 'Raya del Palancar - Guadamonte, Villanueva de la Cañada', 'title': 'Detached house'}",True,6,False,nan,False,50,W-02TELN,es,nan,2650000.0,102679120,40.4175529,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'luxuryType', 'text': 'Luxury'}, {'name': 'villaType', 'text': 'Villa'}]","Spectacular designer villa in Guadamonte Engel&Völkers presents this magnificent property of 759 m2 built on a plot of 5,241 m2, with avant-garde and sustainable design. Built in concrete, steel, glass and designed in a concept of life integrated into the environment.  On a single floor and with two rooms on a second floor. It has three entrances that differentiate each of the areas.  The main entrance leads to a large living room with views of the pool and barbecue area on one side and to two Japanese interior patios, where three oak trees respected in the construction grow. Following the route we find an office, guest bathroom and family room.  From this common area we cross the corridor between interior patios and enter an entrance hall (with its own access from the outside) that divides the rooms from the private area. In the private area, five large bedrooms (three of them furnished), complete bathrooms and a large number of closets distributed throughout the rooms to facilitate storage.  Additionally, each apartment offers complete privacy.  On the other side of the main living room we access the large kitchen fully furnished and equipped with appliances from the most prestigious brands, storage area, lunch area and central island. It also has a private entrance, a service and equipment area such as laundry and ironing, a cleaning room and a courtesy bathroom, as well as a service room.  On the upper floor there is a multipurpose space (gym) with a full bathroom.  The house has a covered garage with capacity for two cars and two motorcycles, with an electrical connection enabled for charging electric vehicles, a delimited access road for vehicles and a pedestrian path bordering the main construction throughout its perimeter.  Private pool with changing area, toilet and shower, bordered by grass and tool room.  Outdoor barbecue area with pre-installation for smoke outlet and annex room for storage and kitchen.  Free spaces on the plot in careful design, with native plants with low water levels and decorative lighting. Landscaping project designed and executed.  Permanent physical security service and property protected by alarm connected to a security center. 26 kilometers from the capital, is the exclusive Guadamonte urbanization, in the municipality of Villanueva de la Cañada. The Guadamonte urbanization has its only entrance from the M-513 that connects Brunete with the M-50, a very safe natural and strategic enclave, with a sentry box and control barrier at access to the urbanization and 24-hour surveillance. Excellent infrastructure and communications (M-600, M-521, M-503 and M-513) with close access to the M-50, M-40, A-5 and A-6. Various bus lines link all the surrounding urban centers, with each other and with the capital (Also night service) Villanueva de la Cañada has all the services that may be required. In addition, it has a wide educational offer, public, subsidized and private (Arcadia School, Kolbe International School, Zola Educational Center, SEK Educational Institution (SEK El Castillo International School) and a foreign center, the Moliere French Lyceum). 5 minutes from the Mirabal and Sant Michael schools in the neighboring municipality. The municipality hosts the campuses of private universities, Alfonso X el Sabio, Camilo José Cela. Which makes it a university town. Close to the municipality we also find three private universities: European University of Madrid, San Pablo CEU and Francisco de Vitoria. Nearby is the Puerta de Hierro public hospital and the private Montepríncipe and Quirón hospitals. Soon the hospital group Hospiten will join this offer. In short, living in a quiet and safe environment, integrated into nature but having all the services nearby.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3491.0,https://www.idealista.com/inmueble/102679120/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/81/5c/8f/1171885726.jpg,Raya del Palancar - Guadamonte,True,-3.959357,Raya del Palancar - Guadamonte,Villanueva de la Cañada,nan,chalet,False,{'groupDescription': 'Featured'}
6,Madrid,760.0,True,False,"{'subtitle': 'Villafranca del Castillo, Villanueva de la Cañada', 'title': 'Detached house'}",True,5,False,nan,True,55,VMO2306006,es,nan,1200000.0,101754606,40.4764433,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","DETACHED VILLA LOCATED IN VILLAFRANCA DEL CASTILLO Villa of 760 m2 located in Villafranca del Castillo situated on a plot of 1600 m² finished in high quality and maximum comfort. The main floor has a large hall that communicates with a living room of 150 m2 with beautiful views, the dining room that communicates with the kitchen with central island equipped with the latest technologies, and high-end appliances.   It has two bedrooms with en suite bathroom, a spectacular office and a guest toilet. On the second floor, a third bedroom en suite with terrace and dressing room. On the first floor: a maid's room with bathroom, gym, multipurpose room, super spacious laundry, pantry and cellar and another bathroom with access to the garden. Garage with capacity for four cars. The garden with magnificent views revolves around the pool. The urbanization has sports clubs and shopping areas. Exclusive urbanization, very well connected with intercity buses, commuter line, access to the M-50, M-516 and the A-6. Very close to the urban center of Majadahonda. Can you imagine living here?",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1579.0,https://www.idealista.com/inmueble/101754606/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/f2/df/1134450046.jpg,Villafranca del Castillo,True,-3.9440562,Villafranca del Castillo,Villanueva de la Cañada,nan,chalet,False,nan
4,Madrid,289.0,True,False,"{'subtitle': 'Villafranca del Castillo, Villanueva de la Cañada', 'title': 'Detached house in Castillo de Ponferrada'}",True,5,False,nan,True,47,nan,es,nan,849900.0,103517351,40.468497,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES VILLANUEVA DEL PARDILLO SELLS impressive individual villa. The house has a construction of 289m2, on a plot of 1,696m2. The distribution of the house is as follows: First floor: Spacious and bright entrance hall. Master bedroom with en-suite bathroom and air conditioning, large living-dining room and reading area with fireplace, air conditioning and direct access to the terrace. Second floor has two large bedrooms with built-in wardrobes with beautiful views, great light and a full bathroom that serves the entire floor. Basement has a multipurpose space, cellar, boiler area and two secondary rooms with their respective full bathrooms. Covered exterior garage with capacity for 3 cars. The home is located in Villafranca del Castillo, it is one of the most beautiful luxury developments in Madrid due to its large green areas and single-family homes. It has a park in the center of the urbanization that is more than 2km long to take pleasant walks and enjoy nature. It has two schools, Zola and the SEK El Castillo International School and the well-known Camilo José Cela University. We also find the Alfonso X el Sabio University, not far away is also the Francisco de Vitoria University. It also has a shopping center nearby with all services: pharmacy, supermarket, veterinarian, restaurants. Parish and Cultural Center, Social Security Health Center and private medical center. This urbanization is just 10 minutes by car from Majadahonda and Las Rozas and the Gran Plaza 2 shopping center. 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2941.0,https://www.idealista.com/inmueble/103517351/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/30/f2/1192014216.jpg,Castillo de Ponferrada,True,-3.9605643,Villafranca del Castillo,Villanueva de la Cañada,nan,chalet,False,nan
7,Madrid,570.0,True,False,"{'subtitle': 'Villafranca del Castillo, Villanueva de la Cañada', 'title': 'Detached house in castillo de mota'}",True,6,False,nan,False,42,MOTA9,es,nan,1249000.0,103319612,40.4695384,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","HOGARES VILLANUEVA DEL PARDILLO EXCLUSIVELY MARKETS this beautiful and exclusive independent villa of 570m2, on a comfortable plot of 1,552m2 in one of the best areas of the private urbanization Villafranca del Castillo, less than 200m from La Pradera de Villafranca del Castillo, stops buses, SEK international school and Camilo José Cela university. The house has three very comfortable, spacious and very bright floors. PVC glazing with Climalit glass and thermal break, large heated pool and garden in perfect condition with automated maintenance. We found smooth ceilings and walls throughout the property, as well as ceramic, marble and flooring floors in perfect condition. It has two large-capacity garages, one of them interior, and another exterior roofed on site, with the option of complete enclosure with socket and charging installation for electric vehicles. On the street floor we will find access to the house from a spacious distributor hall with direct access to all areas of said floor. It has a large living room, with capacity for meetings of more than twelve people, a kitchen with perfect natural lighting due to its large windows, a guest toilet for guests and guests as well as a total of 3 bedrooms and 3 full bathrooms among the Of which it is worth highlighting the master suite with direct access to the garden. On the first floor we find a secondary living room next to a multipurpose space, which will connect both floors of the house, providing light, ventilation and unity between the rooms. Next it connects us to the bedroom area, with a total of two secondary bedrooms with Split air conditioning, an office/bedroom space and a complete bathroom that serves the entire floor. Outdoor terrace overlooking the rear garden where the pool is located for the owner's enjoyment. On the ground floor we will find a utility room with its respective full bathroom, a cinema room or large living room, a multipurpose area with a laundry space with direct access to exterior rooms and the interior garage with capacity for two vehicles. DO NOT HESITATE TO CONSULT US WITH ANY QUESTIONS.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2191.0,https://www.idealista.com/inmueble/103319612/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/0c/f8/1185656009.jpg,castillo de mota,True,-3.9386701,Villafranca del Castillo,Villanueva de la Cañada,nan,chalet,False,nan
4,Madrid,341.0,True,False,"{'subtitle': 'Villanueva de la Cañada, Villanueva de la Cañada', 'title': 'Semi-detached house in Aragon'}",True,5,False,nan,False,45,NM189805,es,nan,740000.0,102709694,40.4335449,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"At Gilmar you buy without fees! Gilmar Boadilla exclusively sells a beautiful semi-detached house located in a privileged location in Villanueva de la Cañada. The cozy atmosphere is felt as soon as you enter. The entrance floor welcomes us to a large hall with the prominence of a staircase through which all the rooms are connected. It gives us access to a main living room open to the garden, a modern kitchen-office, and an en-suite guest room complete this floor. On the upper floor, the magnificent master suite with dressing room, bathroom with Jacuzzi and a sunny balcony facing the garden stands out. Two bedrooms and a full bathroom complete this floor. Open-plan attic for multiple uses. On the lower floor, laundry, game room, full bathroom and garage with capacity for two cars. Outside, its porch is perfect for relaxing with sensational views of the private pool and garden that add a touch of color and freshness to this home. The house is finished with elements of the highest quality, with lacquered wooden doors, laminated flooring, Climalit glazing, air conditioning, solar panels, central vacuum and perimeter security. No community fees.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2170.0,https://www.idealista.com/inmueble/102709694/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/5d/9f/1164776809.jpg,ARAGON,True,-3.9942482,Villanueva de la Cañada,Villanueva de la Cañada,nan,chalet,False,nan
6,Madrid,650.0,True,False,"{'subtitle': 'Villafranca del Castillo, Villanueva de la Cañada', 'title': 'Detached house in villafranca del castillo'}",True,7,False,nan,False,60,AR183061,es,nan,1580000.0,102629706,40.4678628,False,nan,sale,nan,"Gilmar Las Rozas, sells a unique Detached Villa in Villafranca del Castillo. Located near the entrance of the urbanization, very good qualities, well distributed, well oriented, very bright, well maintained. Flat, consolidated plot, with fantastic views and good privacy from the rest of the neighbors. Villafranca is a gated community with 24/h security very close to Las Rozas and Majadahonda, it has an equestrian center, a university and two private schools. The commercial area has a pharmacy, veterinary clinic, several restaurants, etc...",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2431.0,https://www.idealista.com/inmueble/102629706/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/21/9b/1166585801.jpg,villafranca del castillo,True,-3.9422587,Villafranca del Castillo,Villanueva de la Cañada,nan,chalet,False,nan
3,Madrid,243.0,True,False,"{'subtitle': 'Villanueva de la Cañada, Villanueva de la Cañada', 'title': 'Semi-detached house in navarra'}",True,4,False,nan,False,38,nan,es,nan,529900.0,102369052,40.441957,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"*CAPITAL HOME SELLS FANTASTIC SEMI-DETACHED HOUSE IN ONE OF THE BEST AREAS OF VILLANUEVA DE LA CAÑADA* Incredible semi-detached house with an unbeatable location. Close to all shops, schools, supermarkets and bus stops in Villanueva de la Cañada. Housing built in 1999, consists of 243 m², distributed as follows: On the main floor we find a spacious and bright kitchen with an office with a multitude of possibilities, a courtesy toilet, a very cozy living-dining room with a fireplace, air conditioning with direct access to the porch and a garden of more than 100 m² with a barbecue and views of one of the one of the quietest and most pleasant parks in the area. The second floor has four spacious and very bright rooms, all of them with fitted wardrobes. The main room has air conditioning. In addition to two full bathrooms, one of them en suite renovated. On the lower floor, we find a large garage with space for two cars and a workshop. Totally diaphanous with many possibilities. DO NOT MISS THIS GREAT OPPORTUNITY, CALL US TO ARRANGE A VISIT. OWN FINANCIAL DEPARTMENT!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2181.0,https://www.idealista.com/inmueble/102369052/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/23/58/1153411502.jpg,navarra,True,-4.002802,Villanueva de la Cañada,Villanueva de la Cañada,nan,chalet,False,{'groupDescription': 'Highlight'}
4,Madrid,344.0,True,False,"{'subtitle': 'Villafranca del Castillo, Villanueva de la Cañada', 'title': 'Detached house in villafranca del castillo'}",True,6,False,nan,False,28,LM184258,es,nan,939000.0,101589804,40.4690501,False,nan,sale,nan,"WE DO NOT CHARGE FEES TO THE BUYER - CORNER PLOT NEXT TO THE PRAIRIE GILMAR sells Detached Villa in Villafranca del Castillo of 344 m2 on a 1,900 m2 plot spread over 2 floors. It has 6 bedrooms, 4 bathrooms, 1 living room, 1 kitchen, south facing, 1 parking space. DISTRIBUTION: GROUND FLOOR: there are 2 cozy bedrooms, an ironing room or office and 1 very spacious luxury bathroom, a hydromassage shower and, as an extra, a wonderful sauna. From the hall there is access to a garage where it can be converted into a large living room. With the long corridor you reach the garden area. FIRST FLOOR: It is characterized by a huge glass window that runs through the entire living room, from where you can access the main entrance. An 18m2 enclosure that acts as a gazebo room. With access to a large 30m2 viewing terrace with electric awnings. Living room - dining room with fireplace, renovated kitchen with access to the outside. Three bedrooms on this floor, one of them, the main one en suite. One more bathroom. CHARACTERISTICS: Interior carpentry: varnished wood Exterior carpentry: climalit Heating: individual propane gas Pool Tennis-Padel There are only load-bearing walls on the perimeter, so everything could be thrown away and the distribution restructured if necessary. This property has an extensive plot of 1,900m2 with an exclusive private garden area that completely surrounds it, with a saline water POOL, with barbecue area, wood-burning pereruela oven and its natural stone gazebo. Fantastic and exclusive PADEL court perfectly preserved. Conditioned and covered parking area for three cars. The most advantageous thing about this house is the wonderful location, large plot with a lot of privacy, sun all day, smooth walls, charge accumulator radiators, and the load-bearing walls are all external and a forged roof where another height can be created.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2730.0,https://www.idealista.com/inmueble/101589804/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/81/50/1127677860.jpg,villafranca del castillo,True,-3.9443521,Villafranca del Castillo,Villanueva de la Cañada,nan,chalet,False,nan
3,Madrid,250.0,True,False,"{'subtitle': 'Villanueva de la Cañada, Villanueva de la Cañada', 'title': 'Semi-detached house in sancho panza'}",True,5,False,nan,False,43,nan,es,nan,590000.0,103253010,40.4491666,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'bright', 'text': 'Bright'}]","""CAPITAL HOME BRUNETE SELLS SPECTACULAR SEMI-DETACHED VILLA WITH POOL IN PRIVILEGED AREA"" Housing built in 1995, it consists of 250m² built on a 503m² plot that is distributed as follows: On the main floor, we find a large, very bright living-dining room with fireplace, guest toilet with window, kitchen with a very spacious and bright office, with direct access to the extensive plot, where we find a large paved front porch, a large side area Also perfect paving for parking several vehicles, covered outdoor gazebo, natural grass area and private pool, both of which are large. On the first floor we find three bedrooms, two of them single, spacious and bright, both with built-in wardrobes and one of them with a terrace. A complete bathroom with a shower tray and window to serve these two rooms. The large master bedroom has a built-in wardrobe, a full en-suite bathroom with a shower and a window, also with access to a balcony. Finally, on the ground floor we find two more rooms, one of them very spacious with a window to the outside plot and the other with a large built-in wardrobe. We also find, without a doubt, one of the most striking rooms in the house, a large living room perfect for meetings with family and/or friends, it is very spacious and also has a window for greater light. The house is located in one of the most privileged areas of the entire municipality, with a perfect orientation and very close to all types of services, schools, shops, supermarkets and bus stops in Villanueva de la Cañada. DON'T MISS THIS GREAT OPPORTUNITY, CALL US TO ARRANGE A VISIT. OWN FINANCIAL DEPARTMENT!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2360.0,https://www.idealista.com/inmueble/103253010/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/a0/6d/1183393597.jpg,sancho panza,True,-3.9969599,Villanueva de la Cañada,Villanueva de la Cañada,nan,chalet,False,{'groupDescription': 'Highlight'}
4,Madrid,580.0,True,False,"{'subtitle': 'Raya del Palancar - Guadamonte, Villanueva de la Cañada', 'title': 'Detached house'}",True,9,False,nan,False,107,VIVEXVICRAY001,es,nan,890000.0,101553552,40.4163295,False,nan,sale,nan,"GREAT OPPORTUNITY, LOCATIVO SELLS THIS MAGINIFCO VILLA WITHOUT FEES TO THE BUYER. WE EXCLUSIVELY SELL THIS SPECTACULAR INDEPENDENT VILLA TO RENOVATE IN THE GUADAMONTE URBANIZATION, WITH 1136 METERS OF CONSTRUCTION IN CADASTRE ON A PLOT OF 5207 METERS WITH SWIMMING POOL, A HOUSE OF 580 METERS WITH 9 BEDROOMS, AN OFFICE AND 5 BATHROOMS. ANOTHER HOUSE OF 97 METERS, A WAREHOUSE OF 100 METERS, TENNIS COURT, GARAGE AND PARKING AREA FOR ANOTHER 8 CARS. The home is located in one of the best areas in the northwest of Madrid, located in the municipality of Villanueva de La Cañada, in the Guadamonte urbanization with 24-hour security with a barrier and surrounded by nature where you can disconnect and enjoy a unique environment. A unique opportunity with multiple possibilities to unleash your dreams. Its large plot of 5,207 meters allows you to enjoy its extensive garden, its large 96-meter pool, porch and barbecue area, its 263-meter tennis court and covered parking area.In addition, it has a 580-meter house with the possibility of building up to 1,136 meters in case you want to expand. On the other hand, it has a small house of 97 meters with different possibilities, guest house... On the main floor, we access from a hall-hall that allows us access to an office, a toilet, a separate living room of about 100 meters with a shared fireplace, the dining room of about 30 meters connected to the kitchen, garden storage area and garage. The kitchen has an office area, laundry area, pantry, boiler room, service area with bedroom, bathroom and separate entrance. On the first floor, we have a large hall-distributor to access eight large bedrooms with access to a terrace that surrounds the house, with built-in wardrobes and three bathrooms.In the master bedroom we have a dressing room, an en-suite bathroom with a hydromassage bathtub and a terrace. On the second floor, we can enjoy a large multipurpose room with a terrace and 4 closed viewpoints with storage. In the basement, we have a cellar with a fireplace. The interior and exterior carpentry is made of wood, the floors in the entrance, kitchen, halls and stairs are made of red marble, the living room and dining room are made of very good quality ivory cream marble, the bedrooms are made of parquet, the bathrooms are also marble except the bedroom and service bathroom which are made of stoneware. CONTACT FOR A VISIT OR INQUIRIES, WE WILL BE HAPPY TO ASSIST YOU. CHECK OUR WEBSITE WE HAVE MORE HOMES THAT ARE NOT IN THE PORTALS POZUELO LOCATIVE C/ ATHENS 2 POZUELO DE ALARCÓN TLF.[IW].",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",renew,1534.0,https://www.idealista.com/inmueble/101553552/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a9/7a/5c/1191441564.jpg,Raya del Palancar - Guadamonte,True,-3.9665918,Raya del Palancar - Guadamonte,Villanueva de la Cañada,nan,chalet,False,nan
