bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
4,Madrid,320.0,False,False,"{'subtitle': 'Los Llanos - Valle Pardo, Villanueva del Pardillo', 'title': 'Semi-detached house in camilo Jose Cela'}",False,4,False,nan,False,67,7557,es,nan,670000.0,100156822,40.4945035,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Semi-detached house of 290m2 extended to 320m2 with 4 bedrooms on 4 floors, upper floor attic of 40m2 with full bathroom with bathtub, 1st floor 3 bedrooms of 13m2, the secondary one, another 16m2 with full bathroom with shower, master bedroom of 18m2 with bathroom with shower, street level with toilet, kitchen open to the 11m2 living room plus 35m2 living room, basement with 14m2 bedroom, 11m2 laundry room, garage for two small cars or one large car, paved front garden, side ramp that goes down to the garage, 100m2 rear garden, 40m2 paved and 60m2 with artificial grass, gated community with children's area, paddle tennis and community pool, completely renovated house, to be delivered in July 2024.",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2094.0,https://www.idealista.com/inmueble/100156822/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ea/d3/24/1073413563.jpg,camilo Jose Cela,False,-3.9612551,Los Llanos - Valle Pardo,Villanueva del Pardillo,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,200.0,True,False,"{'subtitle': 'Los Llanos - Valle Pardo, Villanueva del Pardillo', 'title': 'Terraced house in Los Llanos - Valle Pardo no number'}",True,5,False,nan,False,42,DG188121,es,nan,449900.0,102108314,40.4937829,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Welcome to Gilmar! - Do not miss the opportunity! -with Gilmar buy without agency fees, directly with the property- We get the maximum financing with the best conditions at no cost to the buyer - Semi-detached house in Villanueva del Pardillo! With 5 bedrooms, 3 bathrooms and east facing, this property offers you a unique opportunity to live in an area with high demand. Its extraordinary location combines a quiet residential environment with access to a vibrant commercial area, a wide gastronomic offer, parks and services. This villa is located in a first class residential environment, with all the necessary services, and is conveniently located just 25 minutes from the center of Madrid and 25 minutes from the wonderful Sierra de Madrid. It is the ideal place to develop your life project. The distribution of the house is as follows: in the basement, you will find a room with window and a large garage with capacity for 2 large cars. On the first floor, a distributor will guide you to the cozy living-dining room, with access to a terrace and a backyard. In addition, on this main floor, you will find a guest toilet and a kitchen with office, equipped with a great window that allows natural light and ventilation of the environment. On the second floor, you will find 3 bedrooms, including the master bedroom with en suite bathroom, and an additional bathroom that serves the other 2 bedrooms. This townhouse has individual natural gas heating and air conditioning, providing a comfortable environment throughout the year. Don't miss this opportunity to live in this charming townhouse in Villanueva del Pardillo, an area that combines the best of residential living with the convenience of having all services nearby, contact us today for more information!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2250.0,https://www.idealista.com/inmueble/102108314/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/52/85/1145515759.jpg,Los Llanos - Valle Pardo no number,True,-3.9670105,Los Llanos - Valle Pardo,Villanueva del Pardillo,nan,chalet,False,nan
3,Madrid,250.0,True,False,"{'subtitle': 'Los Llanos - Valle Pardo, Villanueva del Pardillo', 'title': 'Terraced house in Calle Mario Vargas Llosa no number'}",True,4,False,nan,False,43,JA 172610,es,nan,660000.0,103183899,40.4990391,True,nan,sale,nan,"Gilmar sells townhouse in Villanueva del Pardillo of 260 m2 distributed in plant. It has 4 bedrooms, 2 bathrooms, 1 toilet. Welcome to the home of your dreams in Villanueva del Pardillo! This corner townhouse is a unique gem that offers you the perfect combination of comfort, space and privileged location. With a plot of 350 square meters and a living area of 260 square meters, this residence is an oasis of light and comfort. Bright and welcoming spaces On the main floor, you are welcomed by a spacious hall that leads to a generous living-dining room that connects harmoniously with the plot, providing an environment full of natural light. The practical and functional eat-in kitchen and a guest toilet complement this level, perfect for enjoying unforgettable moments with family and friends. Haven of rest On the second floor, discover an 18-square-meter master bedroom suite, an intimate space designed to relax and unwind. Plus, three additional bedrooms and another full bathroom provide comfort and privacy for the whole family. Versatility and spectacular views The attic, an open-plan space, presents itself as an opportunity to create your ideal entertainment area or additional bedroom, with a terrace offering panoramic views that will take your breath away. Functionality and convenience The semi-basement houses a two-car garage and ample custom closets, a perfect solution for storage, along with a laundry area that facilitates household chores. Outdoor oasis The garden brings you a world of entertainment with an 8x4 heated pool, saline chlorination for your comfort, a charming gazebo and a barbecue, inviting you to enjoy outdoor living in total privacy. Privileged location Located in the coveted municipality of Villanueva del Pardillo, you will enjoy the tranquility of a residential environment along with the proximity to services, schools and quick access to main roads. This townhouse is much more than a home, it's a lifestyle! Don't miss the opportunity to make this place your home, contact us to visit it and discover all its wonders in person! We get the maximum financing with the best conditions at no cost to the buyer - with Gilmar you buy without agency commission, directly with the property. If you are interested in this property do not hesitate to contact us, we will be happy to assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. Contact us for further technical and commercial information. If you are interested in buying or selling a property anywhere in Spain, do not hesitate to contact GILMAR where we will advise you on the commercial, technical and legal possibilities of your property. In Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rustic properties, land for construction... We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability. houses in Majadahonda, houses in Monteclaro, houses in El Plantio, houses in Torrelodones, houses in Rozas, houses in Valdemorillo, houses in Villanueva del Pardillo, houses in Las Matas, houses in Monterrozas, houses in Montecillo, houses in la Marazuela, houses in Punta Galea, houses in Parque Empresarial, houses in urbanization, el Golf, houses in Molino de la Hoz, houses in la Sierra, houses northwest, buy property, buy apartment, buy house, buy house, buy villa...",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2640.0,https://www.idealista.com/inmueble/103183899/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/69/0b/1183456821.jpg,Calle MARIO VARGAS LLOSA no number,True,-3.9524154,Los Llanos - Valle Pardo,Villanueva del Pardillo,nan,chalet,False,nan
4,Madrid,280.0,True,False,"{'subtitle': 'Las Vegas - Santa María, Villanueva del Pardillo', 'title': 'Detached house'}",True,4,False,nan,False,53,JM 191631,es,nan,719000.0,103093001,40.4888871,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Gilmar de Majadahonda welcomes you to the exclusive world of the prestigious Natura urbanization, where elegance and comfort merge to offer a unique lifestyle. We present this charming detached villa, a real estate gem marketed by Gilmar Consulting Inmobiliario, which encapsulates the essence of sophisticated living in a privileged location. This exceptional three-story property offers a design designed to satisfy the most demanding needs. On the first floor, there is a spacious living room with a cozy fireplace, which opens onto a lush private garden. This garden houses a shed that serves as a storage room, providing additional space for storage or outdoor recreational activities. The generously sized separate kitchen is a paradise for food lovers, and next to it, a bright glazed outdoor living room with barbecue invites you to enjoy unforgettable moments with family and friends. It also has a garage with capacity for two cars and a toilet for convenience. On the second floor, you will discover three elegant bedrooms and two bathrooms, the master bedroom being a suite that offers privacy and luxury. The interiors are carefully designed to provide a cozy and serene atmosphere, creating the perfect retreat after a busy day. The icing on the cake is in the attic, where a large living room and an additional bathroom provide a versatile space that can be adapted to a variety of needs, from additional entertainment space to a private study. This property is presented in immaculate condition, reflecting the care and attention it has received over time. Quality of life is elevated to a new level in this exceptional residence, where every corner tells a story of luxury and comfort. Immerse yourself in the experience of living in the exclusive Natura urbanization, with its impressive common areas that include sports facilities and a swimming pool that add a touch of relaxation and well-being to your daily life. Don't miss the opportunity to acquire this detached villa that redefines the meaning of elegance and tranquility in the heart of a privileged natural environment. Contact Gilmar Consulting Inmobiliario today and take the step towards the life you deserve!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2568.0,https://www.idealista.com/inmueble/103093001/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/4a/de/1179525083.jpg,Las Vegas - Santa María,True,-3.9510908,Las Vegas - Santa María,Villanueva del Pardillo,nan,chalet,False,nan
3,Madrid,345.0,True,False,"{'subtitle': 'Las Vegas - Santa María, Villanueva del Pardillo', 'title': 'Detached house'}",True,4,False,nan,False,32,JM 187360,es,nan,1180000.0,101822382,40.4871514,False,nan,sale,nan,"Welcome to the description of this stunning two-storey detached villa in the Urbanization Santa Maria in Villanueva del Pardillo! This stunning villa offers an exceptional lifestyle with a wonderful garden of 1.600m2. Imagine enjoying the natural beauty that surrounds you, with fruit trees, a beautiful and well-kept orchard. In addition, you can relax by a small lake with natural stone waterfall and enjoy a refreshing saline chlorination pool while enjoying a barbecue in the barbecue area. The house itself is distributed on two floors. On the main floor we have a spacious living room, which communicates with a magnificent glazed porch, from where you can admire the panoramic views of the garden. The kitchen is spacious and has an office to enjoy delicious family meals. On this same floor you will find the master bedroom with en suite bathroom and a large dressing room. It also has two additional bedrooms that share a spacious living room and a full bathroom. On the lower floor there is a large multipurpose room and a spacious bedroom with en suite bathroom, as well as a large garage. The garden has been carefully designed with automatic irrigation throughout, ensuring efficient maintenance. You will also find strategically placed light sockets throughout the garden, providing enchanting illumination during the evenings. The house has minimal consumption thanks to the solar panels, as well as water consumption, as it has the possibility of using the community water at a reduced price. In Gilmar we have been working to offer our clients the best properties for 37 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rural properties, land for construction.. . We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal efficiency and the best financial and fiscal profitability.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,3420.0,https://www.idealista.com/inmueble/101822382/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/13/82/1137130741.jpg,Las Vegas - Santa María,True,-3.9466894,Las Vegas - Santa María,Villanueva del Pardillo,nan,chalet,False,nan
3,Madrid,240.0,True,False,"{'subtitle': 'Ibiza - San Pedro, Villanueva del Pardillo', 'title': 'Terraced house in Calle de Santiago, 6'}",False,5,True,nan,False,38,nan,es,nan,439000.0,103681294,40.4878136,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES VILLANUEVA DEL PARDILLO SELLS EXCLUSIVE semi-detached house in one of the best areas of the municipality, close to all types of services, schools, green areas, playgrounds, bus stops, etc. The chalet is distributed as follows: GROUND FLOOR: Garage with space for one vehicle. Summer living room and rear garden with space for dining room and access to the community pool. FIRST FLOOR: Large kitchen with space for dining room and laundry area. Summer living room with balcony facing the interior of the community. Completely renovated guest toilet. SECOND FLOOR: Master bedroom with full en-suite bathroom, two secondary bedrooms with built-in wardrobes and a renovated full bathroom in the hallway to serve them. THIRD FLOOR: Attic divided into two rooms, one smaller, perfect for an office and the other with large storage space. The house has the installation of solar panels with high charging capacity. DON'T MISS THE OPPORTUNITY, AND COME SEE THE HOUSING WITHOUT COMMITMENT. 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1829.0,https://www.idealista.com/inmueble/103681294/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/6f/72/1196938502.jpg,"Calle de Santiago, 6",False,-3.960183,Ibiza - San Pedro,Villanueva del Pardillo,nan,chalet,False,nan
1,Madrid,63.0,True,False,"{'subtitle': 'Los Llanos - Valle Pardo, Villanueva del Pardillo', 'title': 'Flat in Camino real'}",False,1,True,True,False,24,nan,es,True,192000.0,103698856,40.4998267,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES VILLANUEVA DEL PARDILLO SELLS a one-bedroom apartment (not a professional office) in unbeatable conditions in one of the best areas of the municipality, close to all types of services, green areas, playgrounds, bus stops, etc. The house consists of 1 large master bedroom with a built-in wardrobe, a complete bathroom with a bathtub, a bright living room with split air conditioning and a kitchen with access to the balcony. The urbanization includes a garage, elevator and community pool with garden areas. DON'T MISS THE OPPORTUNITY AND COME SEE IT 100% FINANCING.",False,{'typology': 'flat'},good,3048.0,https://www.idealista.com/inmueble/103698856/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/96/fa/1197472349.jpg,Camino real,False,-3.9654207,Los Llanos - Valle Pardo,Villanueva del Pardillo,bj,flat,False,nan
3,Madrid,195.0,True,False,"{'subtitle': 'Centro, Villanueva del Pardillo', 'title': 'Terraced house in Miriam Cogolludo'}",False,3,True,nan,False,34,nan,es,nan,449900.0,103413652,40.4900679,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES VILLANUEVA DEL PARDILLO SELLS magnificent semi-detached house in one of the best areas of the municipality, close to all types of services, green areas, playgrounds, bus stops, etc. The chalet is distributed over 3 comfortable floors: MAIN FLOOR: Good size entrance hall with guest closet, a guest toilet, good size kitchen. Very spacious living room - dining room with access to the rear garden. It has a direct entrance to the private garage. Rear garden with direct access to the green areas and the swimming pool of the urbanization. It has a built-in fireplace/barbecue with the draft completely operational and functional. FIRST FLOOR: Very good size master bedroom with full en-suite bathroom and built-in wardrobes. Spacious secondary bedroom (originally two secondary bedrooms). Secondary bedroom enabled as an office. Full bathroom that serves the secondary bedrooms. SECOND FLOOR: Completely open-plan loft area, equipped with a winter living room, office and/or office, gym, and guest bedroom. DON'T MISS THE OPPORTUNITY, AND COME SEE THE HOUSING WITHOUT COMMITMENT. 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2307.0,https://www.idealista.com/inmueble/103413652/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/3b/d4/1188763108.jpg,Miriam Cogolludo,False,-3.9613484,Centro,Villanueva del Pardillo,nan,chalet,False,nan
3,Madrid,163.0,True,False,"{'subtitle': 'Los Llanos - Valle Pardo, Villanueva del Pardillo', 'title': 'Duplex in Valle de Cueto'}",False,4,True,False,False,33,nan,es,True,449000.0,102753593,40.4943689,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES VILLANUEVA DEL PARDILLO SELLS an exclusive spectacular 4-bedroom duplex home. Floor 0: -Large entrance hall where we find a guest toilet. -Living-dining room, with the two spaces clearly differentiated, and with access to a beautiful terrace. -Large kitchen with office area and laundry on the outside terrace. -Very spacious master bedroom on the ground floor with built-in wardrobe and en-suite bathroom with bathtub. Very bright. -Storage room under stairs. Floor 1: -We find 3 secondary bedrooms with built-in wardrobes, of which one has access to a terrace with views towards the interior of the urbanization. -Full bathroom that serves the secondary bedrooms. *It consists of two parking spaces (one of which is included in the price) and a private storage room. The house is located in one of the best urbanizations in Villanueva del Pardillo, with a community pool, gardens and play areas for the little ones in the home. DON'T MISS THE OPPORTUNITY AND COME SEE THE HOUSING WITHOUT COMMITMENT. 100% FINANCING!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,2755.0,https://www.idealista.com/inmueble/102753593/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/00/32/1166166392.jpg,Valle de Cueto,False,-3.9693174,Los Llanos - Valle Pardo,Villanueva del Pardillo,2,duplex,False,nan
2,Madrid,101.0,True,False,"{'subtitle': 'Centro, Villanueva del Pardillo', 'title': 'Duplex in Calle Martires'}",False,3,True,True,False,30,MARTIRES7,es,False,285000.0,101787669,40.489142,False,nan,sale,nan,"URGENT SALE! HOGARES VILLANUEVA DEL PARDILLO SELLS a magnificent duplex with 3 bedrooms (with the possibility of adding another bedroom on the second floor) and 2 bathrooms. Located in one of the best locations in the municipality, with good light thanks to its east orientation and with many distribution possibilities. The house has adapted access for people with reduced mobility. Closure with Climalite double glazing in all rooms, as well as smooth walls and completely renovated bathrooms. The house is distributed in two comfortable floors: On the first floor we find the very bright living-dining room with an American-style kitchen creating a unique large room with a complete bathroom en suite and built-in wardrobes that provide spacious storage areas. On the upper floor we find three large bedrooms and two full bathrooms, one of them en suite and the other to serve the secondary rooms. DON'T MISS THE OPPORTUNITY AND COME SEE THIS EXCLUSIVE PRODUCT IN VILLANUEVA DEL PARDILLO! F I N A N C I A T I O N 1 0 0 %!",False,"{'typology': 'flat', 'subTypology': 'duplex'}",renew,2822.0,https://www.idealista.com/inmueble/101787669/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/64/3d/1133796849.jpg,Calle Martires,True,-3.9645769,Centro,Villanueva del Pardillo,bj,duplex,False,nan
