bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
3,Madrid,174.0,True,False,"{'subtitle': 'Centro, Villaviciosa de Odón', 'title': 'Terraced house in zarzal'}",True,3,False,nan,False,71,chayora,es,nan,469999.0,103727559,40.3557465,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INMODON SELLS CHALET IN URBAN TOWN. Incredible opportunity! For sale this charming two-story semi-detached house, with an area of 174 m2. On the first floor, you will find a cozy entrance porch and a spacious hall, a toilet with a window, a kitchen with an office and a bright living room with fireplace. From here you can access the garden and the porch with barbecue area, perfect for enjoying pleasant moments outdoors. On the upper floor, there are 3 bedrooms, highlighting the master bedroom with dressing room and en-suite bathroom. In addition, it has 2 additional bedrooms with closets and another bathroom. The basement, completely open and paved, has a toilet and an automatic garage door. The house also has air conditioning in the living room and in one bedroom, underfloor heating, wooden floors and renovated bathrooms, kitchen and exterior carpentry. Its excellent location, close to shopping areas, the center, bus stops and schools, makes it a perfect option to live. Don't miss the opportunity to visit it in person! Information about Villaviciosa de Odón: Villaviciosa de Odón is a municipality that has approximately 28,100 inhabitants, it continues to preserve the charm of a small town, it has large green areas to enjoy the outdoors, a forest, cultural heritage such as the Castle, the Los Tres Canos fountain or the well-known Manuel de Godoy Palace. It has a university: European University of Madrid. It is a town for lovers of tranquility. Villaviciosa de Odón is located in the northwest area of Madrid, less than 20 km from Madrid, with good connection through the M-40 or M-50.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2701.0,https://www.idealista.com/inmueble/103727559/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/e2/e9/1198304143.jpg,zarzal,False,-3.9037225,Centro,Villaviciosa de Odón,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,237.0,True,False,"{'subtitle': 'Centro, Villaviciosa de Odón', 'title': 'Semi-detached house in Cueva de la Mora'}",True,4,True,nan,True,37,cueva de la mora,es,nan,465900.0,102941558,40.3560747,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real Estate Agency in Villaviciosa de Odón. HOGARES VILLAVICIOSA DE ODÓN sells an EXCLUSIVE spectacular semi-detached house completely renovated. It is located in the heart of Villaviciosa de Odón, with unbeatable access to the M 506 highway, close to schools, bus stops, shopping, leisure and sports areas. The house is distributed over three floors: - Main floor: consists of entrance hall, full bathroom, fully equipped and furnished kitchen with direct access to the garden, bright living-dining room and direct access to the garage. - The second floor is distributed in three bedrooms, one of them with an en-suite bathroom with a separate dressing room and terrace, and another bathroom that serves the other rooms. - Large and bright attic. Completely open space for any use. YOU BETTER COME SEE IT! 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,1966.0,https://www.idealista.com/inmueble/102941558/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/12/af/1172559302.jpg,Cueva de la Mora,True,-3.9118793,Centro,Villaviciosa de Odón,nan,chalet,False,nan
1,Madrid,70.0,True,False,"{'subtitle': 'Centro, Villaviciosa de Odón', 'title': 'Flat in Carlos Ii'}",True,3,False,True,True,27,BAJO,es,False,209900.0,102643752,40.3586351,False,nan,sale,nan,"Real estate agency in Villaviciosa de Odón. HOGARES VILLAVICIOSA DE ODÓN sells EXCLUSIVELY spectacular BAJO in the center of the municipality. It is located in the heart of Villaviciosa de Odón, with unbeatable access to the M 506 highway, close to schools, bus stops, shopping, leisure and sports areas. The house has 70m2, distributed in three bedrooms, a bathroom with a shower and window, a large kitchen with direct access to the 20m2 terrace. ! BETTER COME SEE IT! 100% FINANCING!",False,{'typology': 'flat'},good,2999.0,https://www.idealista.com/inmueble/102643752/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/45/09/1162366861.jpg,Carlos II,True,-3.9102248,Centro,Villaviciosa de Odón,bj,flat,False,nan
2,Madrid,90.0,True,False,"{'subtitle': 'El Bosque, Villaviciosa de Odón', 'title': 'Flat in Tera'}",True,2,True,True,True,27,TERA,es,True,339900.0,103419627,40.3871734,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"INMOBILIARIA HOGARES VILLAVICIOSA DE ODÓN exclusively sells SPECTACULAR ground floor with a 60m2 garden, close to all services, shops and schools. The house is distributed as follows: Large living room with direct access to a large 60 m2 garden, fully equipped American kitchen. Two large bedrooms and two full bathrooms, one of them en suite. Community with swimming pool, garden areas, gym, and 24-hour security. The urbanization is located in one of the best areas of the ""el Bosque"" Urbanization 100% FINANCING BY CONSULTING CONDITIONS. DON'T HESITATE TO REQUEST YOUR APPOINTMENT.",False,{'typology': 'flat'},good,3777.0,https://www.idealista.com/inmueble/103419627/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2f/6e/ee/1188967013.jpg,TERA,True,-3.9325762,El Bosque,Villaviciosa de Odón,bj,flat,False,nan
5,Madrid,650.0,True,False,"{'subtitle': 'Castillo - Campodón, Villaviciosa de Odón', 'title': 'Detached house in Avenida ventura rodriguez'}",True,5,True,nan,True,68,C50985,es,nan,985000.0,102680602,40.355883,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Spectacular independent villa in Urb. El Castillo with high energy efficiency thanks to the aerothermal boiler and a solar collector. Beautiful garden plot with heated pool and own well for irrigation. The house has 5 bedrooms and 5 bathrooms distributed over 4 floors as follows: Street plan In this area of the house we find an impressive 84m² living room in 3 rooms and 2 levels, with a fireplace and access to the large 25m² kitchen with granite countertops. On the other hand, we have a bedroom and a full bathroom with a shower. In addition, we find a large back porch with a wooden roof and awnings. First floor The large hall leads to the 4 main bedrooms of the house. 2 of them share a large full bathroom. The remaining 2 have an en-suite bathroom, as well as access to 2 large terraces with views of the garden. Attic Large open space of 92m² with 2 Velux windows and custom furniture. Semi-ground plant On this level of the house we find on one side a large garage for 2 cars, as well as a boiler room, laundry room and 1 bathroom with shower. On the other hand, we have a large living room-cellar with a bar, wood oven and barbecue. This floor is completed by a large 20m² cellar and a spacious storage room. The house is located in the El Castillo Urbanization, very close to the center of Villaviciosa de Odón. NOTE: these characteristics are merely informative. They have no contractual value.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1515.0,https://www.idealista.com/inmueble/102680602/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/89/63/1163613803.jpg,Avenida ventura rodriguez,True,-3.8948996,Castillo - Campodón,Villaviciosa de Odón,nan,chalet,False,nan
5,Madrid,358.0,True,False,"{'subtitle': 'Castillo - Campodón, Villaviciosa de Odón', 'title': 'Detached house in Trilo'}",True,5,False,nan,True,68,C50958,es,nan,745000.0,96728970,40.3694102,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"[{'name': 'villaType', 'text': 'Villa'}]","Independent villa of 358 m² built on a plot of 1.107 m² that has: LIVING PLACE Bedrooms: 5. Bathrooms: 5. Garage: for 3 cars. Heating and hot water: diesel, with boiler changed two years ago. Air conditioning: in living room, office and two bedrooms. Floors: granite on the ground floor and stairs, parquet in the gym, and stoneware in the rest of the house. Exterior carpentry: aluminium. The large shutters are automatic. Interior carpentry: oak doors. PLOT Landscaped with lawn and varied trees. Pool: yes, 8.5x5 and tiled. The distribution is as follows: Low level Large entrance porch through which you access the house. Hall. Living room with fireplace and exit to terrace. Office: with exit to terrace. Kitchen: furnished with exit to terrace. Pantry. Laundry area with access to the garden. Clothes line. Bathroom to service this floor. First floor Master bedroom with access to terrace with great views, 5 closets and bathroom. Bedroom suite: with wardrobe and bathroom. 2 bedrooms with wardrobe. Bathroom to service these bedrooms. Semi-ground plant Distributor. Gym with bathroom and sauna incorporated. Cellar. 2 storage rooms. Boiler room. Garage for three cars with two automatic doors. Villaviciosa de Odón, both the urban area and its urbanizations of Campodón, El Bosque and El Castillo, have all the services very close for day to day: Outpatient clinics: 2 in the urban area. Hospitals: public and private. Centers: shopping and leisure, sports and golf courses. Schools: public, concerted and private. Universities: public and private. Not for that reason it has lost its town charm and its tranquility. Said house is very close to the exit of the urbanization that connects with the M506 that links with the M501, M50, M40 and A5. Check room dimensions NOTE: These features are for informational purposes only. They have no contractual value.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2081.0,https://www.idealista.com/inmueble/96728970/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/c3/30/989006986.jpg,Trilo,True,-3.8812148,Castillo - Campodón,Villaviciosa de Odón,nan,chalet,False,nan
4,Madrid,285.0,True,False,"{'subtitle': 'Centro, Villaviciosa de Odón', 'title': 'Semi-detached house in gregorio medel'}",True,4,False,nan,False,47,CENTRO,es,nan,664900.0,103202109,40.3643984,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real Estate Agency in Villaviciosa de Odón. HOGARES VILLAVICIOSA DE ODÓN sells EXCLUSIVELY spectacular SEMI-DETACHED VILLA in perfect condition with more than 285m2 built, four bedrooms, two of them on the ground floor and four full bathrooms It is located in the heart of Villaviciosa de Odón, with unbeatable access to the M 506 highway, close to schools, bus stops, shopping, leisure and sports areas. The house is distributed over three floors: - Main floor: spacious and bright entrance hall, 2 bedrooms on the first floor, the first has an en-suite bathroom with shower, air conditioning and dressing room. The second is equipped with air conditioning, en-suite bathroom with shower and built-in wardrobe. Fully equipped and furnished kitchen. Bright living-dining room that leads to a spectacular gazebo with a folding glass enclosure. - The first floor is distributed in two bedrooms with air conditioning, a complete bathroom with a shower and a window that serves these rooms. Also on this floor we find a spectacular solarium. - Semi-basement: Spectacular 60m2 cellar with light entry in 2 orientations, barbecue grill, bathroom, laundry and ironing room and a garage with space for two large vehicles. -Garden: Spectacular plot with private pool and barbecue area. YOU BETTER COME SEE IT! 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",good,2333.0,https://www.idealista.com/inmueble/103202109/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ea/9a/fa/1181665448.jpg,gregorio medel,True,-3.9156724,Centro,Villaviciosa de Odón,nan,chalet,False,nan
3,Madrid,230.0,True,False,"{'subtitle': 'Castillo - Campodón, Villaviciosa de Odón', 'title': 'Terraced house in Avenida de Madrid'}",True,4,False,nan,False,32,ADCMP,es,nan,559900.0,101669129,40.3549208,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real estate agency in Villaviciosa de Odón. HOGARES VILLAVICIOSA DE ODÓN sells an EXCLUSIVE spectacular TOWNHOUSE with a room on the ground floor. It is located in the Campodón Urbanization, one of the most prestigious residential areas of Madrid. Unbeatable access to the M 506 highway, close to schools, bus stops, shopping, leisure and sports areas. The house is distributed over 3 floors: - The main floor consists of an entrance hall, a guest toilet, a bedroom on the ground floor, a fully equipped and furnished kitchen, a spacious and bright living-dining room, with direct access to the garden. - The second floor is distributed in three bedrooms, one of them with an en-suite bathroom and another bathroom with a shower that serves the other rooms. All bedrooms are equipped with built-in wardrobes - Basement: it is distributed in a large garage and a washing and ironing room. - Urbanization with swimming pool and garden areas. YOU BETTER COME SEE IT! 100% FINANCING!",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2434.0,https://www.idealista.com/inmueble/101669129/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6e/21/f0/1129814824.jpg,Avenida de Madrid,True,-3.8857786,Castillo - Campodón,Villaviciosa de Odón,nan,chalet,False,nan
6,Madrid,491.0,True,False,"{'subtitle': 'El Bosque, Villaviciosa de Odón', 'title': 'Detached house in Calle guadalhorce'}",True,6,False,nan,False,88,C501094,es,nan,998000.0,102334411,40.389943,False,nan,sale,nan,"Excellent independent villa of 491m² in Cadastro, with a plot of 1,641 m². Completely renovated house with very good qualities, with very spacious rooms, very well maintained, ready to move into. The plot is landscaped with grass and varied trees (firs, pines, magnolia, palm trees, etc. ). Automatic irrigation with programmer. There is an auxiliary building with a stone facade, consisting of a living room with a kitchenette and a bathroom and hot/cold air conditioning. It has a covered area serving as a garage for four cars. 11x6 pool with Roman steps. Around the pool a large area is paved with anti-slip rustic stoneware. Carriage passage paved in concrete. The distribution is as follows: Ground floor: entrance hall with wardrobe, living room with fireplace, with access to the plot and connected to the dining room, a living room, the kitchen is renovated and has access to the plot, a bedroom with a built-in wardrobe, a toilet for provide service to this plant. First floor: hall with built-in wardrobe, master bedroom with 2 dressing rooms and built-in bathroom, 3 bedrooms with built-in wardrobe and two bathrooms to serve these bedrooms. Semi-basement floor: hall, two living rooms, one of them with a cassette fireplace and a built-in bar, a cellar, a kitchen, a bedroom with a built-in wardrobe, a bathroom to serve this floor and a boiler room. Urbanization located in the middle of nature, away from noise, and with all the necessary services for a comfortable life, it has twenty-four-hour security. Close to the connection with the M501 that links with the M506, M50, M40 and A5. It is located five minutes from Sector B of Boadilla del Monte. The “El Bosque” urbanization is located in the municipality of Villaviciosa de Odón, which, together with the “Campodón” and “El Castillo” urbanizations, are considered one of the best and most prestigious urbanizations in the area. Located in a green environment ideal for families with children. Villaviciosa de Odón and therefore the El Bosque urbanization has all the day-to-day services very close: hospitals (Alcorcón, Alcorcón Sur, Móstoles), shopping centers (Tres Aguas, Parque Oeste, Xanadú), sports and leisure centers, golf course, public and private schools, universities (public and private). See dimensions of the rooms NOTE: these characteristics are merely informative. They have no contractual value.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2033.0,https://www.idealista.com/inmueble/102334411/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/87/b2/1152538710.jpg,Calle guadalhorce,True,-3.937231,El Bosque,Villaviciosa de Odón,nan,chalet,False,nan
4,Madrid,302.0,True,False,"{'subtitle': 'El Bosque, Villaviciosa de Odón', 'title': 'Detached house in Calle Cerbol'}",True,5,False,nan,False,63,C501104,es,nan,900000.0,102947300,40.3886707,False,nan,sale,nan,"Beautiful independent villa built on an incredible 2,394m² plot with varied trees, a large barbecue area with a gazebo and incredible views. The plot is accessed through a beautiful Portuguese cobblestone path, crossing the lush garden and a beautiful fountain, until reaching the covered parking area for 4 cars. We access the house through a beautiful 23m² glazed terrace with air conditioning, perfect for enjoying summer days. Once inside, the hall gives us access on one side to a large independent living room of 50m² with fireplace and air conditioning. On the other hand we find the furnished kitchen with access to the garden. In addition, on the street floor we have a comfortable 19m² bedroom with an en-suite bathroom with shower and window. Once on the first floor, we find the 4 remaining bedrooms. The main one, measuring 18m², has a bathroom as well as a dressing area with 2 large closets. The other 3 bedrooms of 22m², 12m² and 11m² share a spacious bathroom with shower and two sinks. Finally, on the semi-basement floor we have 2 large rooms of 36m² and 38m². Both have 2 windows, and one of them has a fireplace and bar counter. On the other hand, we find a large cellar and a laundry and ironing room. A full bathroom with shower and window serves this floor. One of the main attractions of this property is its proximity to green areas, which gives the home a lot of privacy, as well as spectacular views. On the same plot we find a large tile pool. Located in the El Bosque Urbanization, just 2 minutes from the commercial area where we can find all types of shops, restaurants, supermarkets, pharmacies, etc. , as well as schools and public transport to get to the center of Madrid. NOTE: these characteristics are merely informative. They have no contractual value.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2980.0,https://www.idealista.com/inmueble/102947300/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b3/c4/00/1172797078.jpg,Calle CERBOL,True,-3.9213438,El Bosque,Villaviciosa de Odón,nan,chalet,False,nan
