Serie;id;Nombre;2024;
Municipios;0014;Acebeda (La);92,77;
Municipios;0029;Ajalvir;80,24;
Municipios;0035;Alameda del Valle;98,96;
Municipios;0040;Álamo (El);92,48;
Municipios;0053;Alcalá de Henares;71,96;
Municipios;0066;Alcobendas;80,33;
Municipios;0072;Alcorcón;68,98;
Municipios;0088;Aldea del Fresno;81,28;
Municipios;0091;Algete;105,53;
Municipios;0105;Alpedrete;97,82;
Municipios;0112;Ambite;89,31;
Municipios;0127;Anchuelo;89,06;
Municipios;0133;Aranjuez;80,61;
Municipios;0148;Arganda del Rey;81,60;
Municipios;0151;Arroyomolinos;106,87;
Municipios;0164;Atazar (El);85,44;
Municipios;0170;Batres;125,08;
Municipios;0186;Becerril de la Sierra;101,12;
Municipios;0199;Belmonte de Tajo;102,57;
Municipios;0210;Berrueco (El);97,79;
Municipios;0203;Berzosa del Lozoya;96,20;
Municipios;0225;Boadilla del Monte;117,89;
Municipios;0231;Boalo (El);99,88;
Municipios;0246;Braojos;98,59;
Municipios;0259;Brea de Tajo;95,30;
Municipios;0262;Brunete;96,84;
Municipios;0278;Buitrago del Lozoya;94,44;
Municipios;0284;Bustarviejo;96,88;
Municipios;0297;Cabanillas de la Sierra;107,03;
Municipios;0301;Cabrera (La);98,43;
Municipios;0318;Cadalso de los Vidrios;88,44;
Municipios;0323;Camarma de Esteruelas;104,79;
Municipios;0339;Campo Real;89,26;
Municipios;0344;Canencia;97,29;
Municipios;0357;Carabaña;86,28;
Municipios;0360;Casarrubuelos;103,74;
Municipios;0376;Cenicientos;92,65;
Municipios;0382;Cercedilla;94,96;
Municipios;0395;Cervera de Buitrago;79,39;
Municipios;0513;Chapinería;97,88;
Municipios;0528;Chinchón;92,84;
Municipios;0409;Ciempozuelos;80,71;
Municipios;0416;Cobeña;110,20;
Municipios;0468;Collado Mediano;106,06;
Municipios;0474;Collado Villalba;76,76;
Municipios;0455;Colmenar Viejo;91,27;
Municipios;0437;Colmenar de Oreja;103,74;
Municipios;0421;Colmenar del Arroyo;97,86;
Municipios;0442;Colmenarejo;96,98;
Municipios;0480;Corpa;94,28;
Municipios;0493;Coslada;72,31;
Municipios;0506;Cubas de la Sagra;122,42;
Municipios;0534;Daganzo de Arriba;100,99;
Municipios;0549;Escorial (El);93,25;
Municipios;0552;Estremera;96,79;
Municipios;0565;Fresnedillas de la Oliva;94,33;
Municipios;0571;Fresno de Torote;99,91;
Municipios;0587;Fuenlabrada;68,10;
Municipios;0590;Fuente el Saz de Jarama;93,15;
Municipios;0604;Fuentidueña de Tajo;102,93;
Municipios;0611;Galapagar;99,16;
Municipios;0626;Garganta de los Montes;100,78;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;92,22;
Municipios;0647;Gascones;101,22;
Municipios;0650;Getafe;73,32;
Municipios;0663;Griñón;115,13;
Municipios;0679;Guadalix de la Sierra;94,48;
Municipios;0685;Guadarrama;89,23;
Municipios;0698;Hiruela (La);94,64;
Municipios;0702;Horcajo de la Sierra-Aoslos;83,64;
Municipios;0719;Horcajuelo de la Sierra;102,57;
Municipios;0724;Hoyo de Manzanares;106,57;
Municipios;0730;Humanes de Madrid;78,38;
Municipios;0745;Leganés;67,64;
Municipios;0758;Loeches;103,49;
Municipios;0761;Lozoya;96,72;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;96,69;
Municipios;0783;Madarcos;91,96;
Municipios;0800;Majadahonda;98,42;
Municipios;0822;Manzanares el Real;91,73;
Municipios;0838;Meco;102,51;
Municipios;0843;Mejorada del Campo;82,20;
Municipios;0856;Miraflores de la Sierra;97,87;
Municipios;0869;Molar (El);84,99;
Municipios;0875;Molinos (Los);110,95;
Municipios;0881;Montejo de la Sierra;89,30;
Municipios;0894;Moraleja de Enmedio;108,87;
Municipios;0908;Moralzarzal;101,88;
Municipios;0915;Morata de Tajuña;95,06;
Municipios;0920;Móstoles;72,79;
Municipios;0936;Navacerrada;96,70;
Municipios;0941;Navalafuente;91,25;
Municipios;0954;Navalagamella;90,05;
Municipios;0967;Navalcarnero;90,56;
Municipios;0973;Navarredonda y San Mamés;89,84;
Municipios;0992;Navas del Rey;92,91;
Municipios;1006;Nuevo Baztán;117,41;
Municipios;1013;Olmeda de las Fuentes;118,13;
Municipios;1028;Orusco de Tajuña;94,58;
Municipios;1049;Paracuellos de Jarama;103,94;
Municipios;1065;Parla;72,09;
Municipios;1071;Patones;103,08;
Municipios;1087;Pedrezuela;90,00;
Municipios;1090;Pelayos de la Presa;86,54;
Municipios;1104;Perales de Tajuña;88,57;
Municipios;1111;Pezuela de las Torres;103,15;
Municipios;1126;Pinilla del Valle;101,96;
Municipios;1132;Pinto;74,63;
Municipios;1147;Piñuécar-Gandullas;99,67;
Municipios;1150;Pozuelo de Alarcón;116,65;
Municipios;1163;Pozuelo del Rey;95,63;
Municipios;1179;Prádena del Rincón;98,27;
Municipios;1185;Puebla de la Sierra;75,71;
Municipios;9020;Puentes Viejas;95,48;
Municipios;1198;Quijorna;102,97;
Municipios;1202;Rascafría;98,43;
Municipios;1219;Redueña;101,47;
Municipios;1224;Ribatejada;97,15;
Municipios;1230;Rivas-Vaciamadrid;94,83;
Municipios;1245;Robledillo de la Jara;94,47;
Municipios;1258;Robledo de Chavela;100,42;
Municipios;1261;Robregordo;104,84;
Municipios;1277;Rozas de Madrid (Las);102,57;
Municipios;1283;Rozas de Puerto Real;88,09;
Municipios;1296;San Agustín del Guadalix;98,79;
Municipios;1300;San Fernando de Henares;70,23;
Municipios;1317;San Lorenzo de El Escorial;89,00;
Municipios;1338;San Martín de Valdeiglesias;84,46;
Municipios;1322;San Martín de la Vega;94,46;
Municipios;1343;San Sebastián de los Reyes;77,76;
Municipios;1356;Santa María de la Alameda;85,50;
Municipios;1369;Santorcaz;100,34;
Municipios;1375;Santos de la Humosa (Los);97,42;
Municipios;1381;Serna del Monte (La);91,71;
Municipios;1408;Serranillos del Valle;118,43;
Municipios;1415;Sevilla la Nueva;91,24;
Municipios;1436;Somosierra;109,89;
Municipios;1441;Soto del Real;107,14;
Municipios;1454;Talamanca de Jarama;92,61;
Municipios;1467;Tielmes;83,20;
Municipios;1473;Titulcia;99,09;
Municipios;1489;Torrejón de Ardoz;72,91;
Municipios;1505;Torrejón de Velasco;107,28;
Municipios;1492;Torrejón de la Calzada;107,87;
Municipios;1512;Torrelaguna;91,31;
Municipios;1527;Torrelodones;127,39;
Municipios;1533;Torremocha de Jarama;95,43;
Municipios;1548;Torres de la Alameda;100,35;
Municipios;9036;Tres Cantos;90,04;
Municipios;1551;Valdaracete;97,17;
Municipios;1564;Valdeavero;93,84;
Municipios;1570;Valdelaguna;93,37;
Municipios;1586;Valdemanco;107,16;
Municipios;1599;Valdemaqueda;93,16;
Municipios;1603;Valdemorillo;109,24;
Municipios;1610;Valdemoro;85,50;
Municipios;1625;Valdeolmos-Alalpardo;103,14;
Municipios;1631;Valdepiélagos;104,04;
Municipios;1646;Valdetorres de Jarama;99,02;
Municipios;1659;Valdilecha;88,01;
Municipios;1662;Valverde de Alcalá;107,07;
Municipios;1678;Velilla de San Antonio;93,54;
Municipios;1684;Vellón (El);90,25;
Municipios;1697;Venturada;125,17;
Municipios;1718;Villa del Prado;94,49;
Municipios;1701;Villaconejos;107,01;
Municipios;1723;Villalbilla;108,59;
Municipios;1739;Villamanrique de Tajo;91,99;
Municipios;1744;Villamanta;93,62;
Municipios;1757;Villamantilla;99,70;
Municipios;1782;Villanueva de Perales;91,78;
Municipios;1760;Villanueva de la Cañada;118,94;
Municipios;1776;Villanueva del Pardillo;101,18;
Municipios;1795;Villar del Olmo;115,31;
Municipios;1809;Villarejo de Salvanés;97,20;
Municipios;1816;Villaviciosa de Odón;113,90;
Municipios;1821;Villavieja del Lozoya;86,88;
Municipios;1837;Zarzalejo;86,39;
