Serie;id;Nombre;2024;
Municipios;0014;Acebeda (La);178,00;
Municipios;0029;Ajalvir;1.867,00;
Municipios;0035;Alameda del Valle;440,00;
Municipios;0040;Álamo (El);4.204,00;
Municipios;0053;Alcalá de Henares;79.588,00;
Municipios;0066;Alcobendas;42.744,00;
Municipios;0072;Alcorcón;70.601,00;
Municipios;0088;Aldea del Fresno;2.155,00;
Municipios;0091;Algete;7.638,00;
Municipios;0105;Alpedrete;7.101,00;
Municipios;0112;Ambite;800,00;
Municipios;0127;Anchuelo;659,00;
Municipios;0133;Aranjuez;25.682,00;
Municipios;0148;Arganda del Rey;21.573,00;
Municipios;0151;Arroyomolinos;11.647,00;
Municipios;0164;Atazar (El);86,00;
Municipios;0170;Batres;910,00;
Municipios;0186;Becerril de la Sierra;3.997,00;
Municipios;0199;Belmonte de Tajo;1.047,00;
Municipios;0210;Berrueco (El);762,00;
Municipios;0203;Berzosa del Lozoya;171,00;
Municipios;0225;Boadilla del Monte;19.874,00;
Municipios;0231;Boalo (El);4.544,00;
Municipios;0246;Braojos;238,00;
Municipios;0259;Brea de Tajo;598,00;
Municipios;0262;Brunete;4.199,00;
Municipios;0278;Buitrago del Lozoya;1.108,00;
Municipios;0284;Bustarviejo;2.349,00;
Municipios;0297;Cabanillas de la Sierra;632,00;
Municipios;0301;Cabrera (La);1.746,00;
Municipios;0318;Cadalso de los Vidrios;2.974,00;
Municipios;0323;Camarma de Esteruelas;3.045,00;
Municipios;0339;Campo Real;3.011,00;
Municipios;0344;Canencia;601,00;
Municipios;0357;Carabaña;1.711,00;
Municipios;0360;Casarrubuelos;1.451,00;
Municipios;0376;Cenicientos;2.038,00;
Municipios;0382;Cercedilla;5.105,00;
Municipios;0395;Cervera de Buitrago;204,00;
Municipios;0513;Chapinería;1.313,00;
Municipios;0528;Chinchón;3.941,00;
Municipios;0409;Ciempozuelos;9.605,00;
Municipios;0416;Cobeña;2.643,00;
Municipios;0468;Collado Mediano;4.102,00;
Municipios;0474;Collado Villalba;27.922,00;
Municipios;0455;Colmenar Viejo;20.461,00;
Municipios;0437;Colmenar de Oreja;4.975,00;
Municipios;0421;Colmenar del Arroyo;1.121,00;
Municipios;0442;Colmenarejo;3.817,00;
Municipios;0480;Corpa;413,00;
Municipios;0493;Coslada;31.337,00;
Municipios;0506;Cubas de la Sagra;2.318,00;
Municipios;0534;Daganzo de Arriba;3.757,00;
Municipios;0549;Escorial (El);9.294,00;
Municipios;0552;Estremera;1.196,00;
Municipios;0565;Fresnedillas de la Oliva;938,00;
Municipios;0571;Fresno de Torote;1.216,00;
Municipios;0587;Fuenlabrada;70.944,00;
Municipios;0590;Fuente el Saz de Jarama;2.968,00;
Municipios;0604;Fuentidueña de Tajo;1.581,00;
Municipios;0611;Galapagar;15.295,00;
Municipios;0626;Garganta de los Montes;535,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;819,00;
Municipios;0647;Gascones;190,00;
Municipios;0650;Getafe;79.835,00;
Municipios;0663;Griñón;3.900,00;
Municipios;0679;Guadalix de la Sierra;3.568,00;
Municipios;0685;Guadarrama;9.883,00;
Municipios;0698;Hiruela (La);115,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;380,00;
Municipios;0719;Horcajuelo de la Sierra;165,00;
Municipios;0724;Hoyo de Manzanares;4.354,00;
Municipios;0730;Humanes de Madrid;7.317,00;
Municipios;0745;Leganés;77.962,00;
Municipios;0758;Loeches;3.721,00;
Municipios;0761;Lozoya;746,00;
