Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,renta_bruta,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,farmacias_100,bus_100,estacionbus_100,estaciontren_100,grupo,servicioCoches_100
Acebeda (La),100.0,85.24,25.17,2.88,0.0,35.23,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,85.17,91.27,48.78,1.0,47.43
Ajalvir,76.91,100.0,58.67,68.29,27.73,38.09,66.4,43.1,37.83,47.4,49.35,31.51,61.43,31.85,60.51,52.15,42.12,35.33,63.59,60.9,46.55,2.0,52.99
Alameda del Valle,49.82,51.31,39.51,43.46,46.74,38.71,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,84.15,49.86,49.51,48.78,1.0,47.4
Alamo (El),46.32,46.15,45.71,46.53,62.9,43.04,46.52,44.92,42.88,100.0,49.35,49.19,55.18,50.65,53.0,54.64,42.12,32.87,43.56,46.11,46.55,2.0,47.62
Alcalá de Henares,56.56,46.68,28.43,32.8,74.49,96.61,66.58,45.04,39.97,41.69,45.36,66.08,41.82,48.69,28.49,46.14,75.98,73.65,19.12,39.63,54.13,3.0,46.15
Alcobendas,90.84,100.0,72.52,44.53,61.12,89.69,36.22,39.4,20.81,59.36,100.0,62.73,34.74,52.13,0.28,44.82,59.53,58.63,74.77,50.77,59.12,3.0,68.23
Alcorcón,38.59,41.45,46.14,12.61,72.26,80.89,59.53,33.76,50.22,55.63,40.04,38.86,31.82,42.7,10.8,37.71,57.32,100.0,27.69,27.89,61.23,3.0,45.38
Aldea del Fresno,54.64,45.83,23.44,39.84,15.14,34.77,33.55,43.1,83.04,47.4,49.35,31.51,67.17,31.85,99.4,76.19,42.12,48.7,61.7,61.43,46.55,2.0,47.84
Algete,52.72,57.99,66.3,44.14,72.21,71.13,39.96,62.07,42.94,47.4,49.35,61.95,49.31,75.22,44.39,45.59,50.07,55.06,48.91,40.96,46.55,2.0,48.14
Alpedrete,47.58,46.11,57.12,50.77,67.1,59.4,42.08,49.11,42.03,47.4,49.35,62.47,35.29,57.62,38.04,53.68,42.12,33.21,49.69,37.43,73.25,2.0,47.96
Ambite,49.16,39.82,29.58,47.45,55.16,43.13,49.04,48.99,75.56,48.64,50.0,48.58,81.82,48.63,64.44,46.64,48.75,56.47,45.3,50.43,48.78,1.0,47.38
Anchuelo,49.29,39.08,58.37,62.25,57.11,53.89,49.04,48.99,43.44,48.64,50.0,48.58,50.86,48.63,55.22,46.64,48.75,47.14,39.56,36.89,48.78,1.0,47.44
Aranjuez,68.23,38.24,16.12,43.2,34.17,4.68,19.52,32.35,46.05,41.69,40.04,43.73,59.46,49.44,80.0,61.9,41.94,29.61,26.15,64.94,58.33,3.0,45.26
Arganda del Rey,50.19,55.7,12.89,62.69,36.93,2.16,50.3,37.99,38.95,41.69,40.04,40.67,40.91,47.8,33.65,45.23,43.79,42.63,71.59,75.61,9.63,3.0,46.4
Arroyomolinos,52.53,51.8,69.32,100.0,78.7,98.56,36.23,45.29,32.06,47.4,49.35,50.6,22.66,52.06,23.2,42.51,42.12,50.66,40.39,51.58,46.55,2.0,47.88
Atazar (El),50.52,82.27,0.0,22.53,28.24,35.59,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,53.48,47.86,48.78,1.0,47.61
Batres,49.12,37.11,59.54,60.44,57.88,68.44,49.04,48.99,45.7,48.64,50.0,48.58,60.96,48.63,61.81,46.64,48.75,44.73,40.94,43.9,48.78,1.0,47.5
