Nombre,contratos_100
Acebeda (La),100.0
Ajalvir,76.91
Alameda del Valle,49.82
Alamo (El),46.32
Alcalá de Henares,56.56
Alcobendas,90.84
Alcorcón,38.59
Aldea del Fresno,54.64
Algete,52.72
Alpedrete,47.58
Ambite,49.16
Anchuelo,49.29
Aranjuez,68.23
Arganda del Rey,50.19
Arroyomolinos,52.53
Atazar (El),50.52
Batres,49.12
Becerril de la Sierra,45.98
Belmonte de Tajo,49.24
Berrueco (El),49.4
Berzosa del Lozoya,51.83
Boadilla del Monte,43.95
Boalo (El),45.46
Braojos,49.67
Brea de Tajo,49.45
Brunete,45.61
Buitrago del Lozoya,49.32
Bustarviejo,49.13
Cabanillas de la Sierra,49.21
Cabrera (La),47.37
Cadalso de los Vidrios,49.78
Camarma de Esteruelas,53.25
Campo Real,59.69
Canencia,49.77
Carabaña,49.1
Casarrubuelos,74.78
Cenicientos,49.11
Cercedilla,52.43
Cervera de Buitrago,49.81
Chapinería,49.12
Chinchón,56.59
Ciempozuelos,58.58
Cobeña,46.62
Collado Mediano,45.73
Collado Villalba,16.87
Colmenar Viejo,21.87
Colmenar de Oreja,45.42
Colmenar del Arroyo,49.3
Colmenarejo,43.08
Corpa,49.1
Coslada,62.21
Cubas de la Sagra,74.77
Daganzo de Arriba,65.02
Escorial (El),45.04
Estremera,49.38
Fresnedillas de la Oliva,49.04
Fresno de Torote,49.01
Fuenlabrada,28.23
Fuente el Saz de Jarama,46.48
Fuentidueña de Tajo,49.05
Galapagar,45.54
Garganta de los Montes,49.07
Gargantilla del Lozoya y Pinilla de Buitrago,49.13
Gascones,49.17
Getafe,80.67
Griñón,62.73
Guadalix de la Sierra,45.54
Guadarrama,50.51
Hiruela (La),49.42
Horcajo de la Sierra-Aoslos,49.26
Horcajuelo de la Sierra,49.41
Hoyo de Manzanares,40.89
Humanes de Madrid,59.69
Leganés,34.04
Loeches,56.47
Lozoya,49.63
Lozoyuela-Navas-Sieteiglesias,49.21
Madarcos,55.6
Majadahonda,44.32
Manzanares el Real,41.62
Meco,100.0
Mejorada del Campo,46.99
Miraflores de la Sierra,44.56
Molar (El),44.01
Molinos (Los),41.82
Montejo de la Sierra,49.26
Moraleja de Enmedio,50.38
Moralzarzal,43.59
Morata de Tajuña,43.21
Móstoles,9.73
Navacerrada,46.08
Navalafuente,49.05
Navalagamella,42.37
Navalcarnero,47.22
Navarredonda y San Mamés,50.12
Navas del Rey,43.79
Nuevo Baztán,43.03
Olmeda de las Fuentes,49.06
Orusco de Tajuña,49.04
Paracuellos de Jarama,45.65
Parla,7.68
Patones,49.16
Pedrezuela,42.43
Pelayos de la Presa,45.83
Perales de Tajuña,44.17
Pezuela de las Torres,49.11
Pinilla del Valle,49.15
Pinto,57.42
Piñuécar-Gandullas,49.04
Pozuelo de Alarcón,83.9
Pozuelo del Rey,49.04
Prádena del Rincón,49.13
Puebla de la Sierra,49.14
Puentes Viejas,49.01
Quijorna,40.48
Rascafría,49.14
Redueña,49.11
Ribatejada,49.12
Rivas-Vaciamadrid,27.79
Robledillo de la Jara,49.14
Robledo de Chavela,47.02
Robregordo,49.09
Rozas de Madrid (Las),54.22
Rozas de Puerto Real,49.13
San Agustín del Guadalix,52.85
San Fernando de Henares,70.18
San Lorenzo de El Escorial,48.92
San Martín de Valdeiglesias,47.88
San Martín de la Vega,48.86
San Sebastián de los Reyes,76.75
Santa María de la Alameda,49.03
Santorcaz,49.06
Santos de la Humosa (Los),49.02
Serna del Monte (La),49.13
Serranillos del Valle,44.43
Sevilla la Nueva,47.51
Somosierra,49.32
Soto del Real,42.11
Talamanca de Jarama,48.11
Tielmes,49.17
Titulcia,49.26
Torrejón de Ardoz,38.9
Torrejón de Velasco,43.06
Torrejón de la Calzada,47.99
Torrelaguna,45.14
Torrelodones,50.38
Torremocha de Jarama,49.06
Torres de la Alameda,48.2
Tres Cantos,100.0
Valdaracete,49.1
Valdeavero,49.05
Valdelaguna,49.02
Valdemanco,49.03
Valdemaqueda,49.07
Valdemorillo,42.16
Valdemoro,57.04
Valdeolmos-Alalpardo,49.35
Valdepiélagos,49.08
Valdetorres de Jarama,43.45
Valdilecha,47.55
Valverde de Alcalá,49.69
Velilla de San Antonio,61.06
Vellón (El),49.01
Venturada,49.23
Villa del Prado,47.29
Villaconejos,46.03
Villalbilla,44.14
Villamanrique de Tajo,49.42
Villamanta,49.05
Villamantilla,49.04
Villanueva de Perales,49.15
Villanueva de la Cañada,48.17
Villanueva del Pardillo,44.49
Villar del Olmo,49.03
Villarejo de Salvanés,50.17
Villaviciosa de Odón,52.51
Villavieja del Lozoya,49.07
Zarzalejo,49.05
