Nombre,renta_bruta
Acebeda (La),35.23
Ajalvir,38.09
Alameda del Valle,38.71
Alamo (El),43.04
Alcalá de Henares,96.61
Alcobendas,89.69
Alcorcón,80.89
Aldea del Fresno,34.77
Algete,71.13
Alpedrete,59.4
Ambite,43.13
Anchuelo,53.89
Aranjuez,4.68
Arganda del Rey,2.16
Arroyomolinos,98.56
Atazar (El),35.59
Batres,68.44
Becerril de la Sierra,42.11
Belmonte de Tajo,59.53
Berrueco (El),46.27
Berzosa del Lozoya,37.46
Boadilla del Monte,50.28
Boalo (El),46.6
Braojos,38.08
Brea de Tajo,40.81
Brunete,48.24
Buitrago del Lozoya,62.48
Bustarviejo,82.19
Cabanillas de la Sierra,50.97
Cabrera (La),35.16
Cadalso de los Vidrios,34.48
Camarma de Esteruelas,43.38
Campo Real,40.06
Canencia,41.41
Carabaña,63.81
Casarrubuelos,36.44
Cenicientos,57.93
Cercedilla,42.89
Cervera de Buitrago,37.12
Chapinería,72.33
Chinchón,38.04
Ciempozuelos,61.05
Cobeña,46.88
Collado Mediano,45.06
Collado Villalba,8.99
Colmenar Viejo,11.06
Colmenar de Oreja,41.18
Colmenar del Arroyo,65.86
Colmenarejo,46.82
Corpa,44.96
Coslada,18.79
Cubas de la Sagra,41.12
Daganzo de Arriba,50.38
Escorial (El),61.23
Estremera,50.73
Fresnedillas de la Oliva,57.74
Fresno de Torote,74.77
Fuenlabrada,71.22
Fuente el Saz de Jarama,41.27
Fuentidueña de Tajo,63.08
Galapagar,93.77
Garganta de los Montes,42.0
Gargantilla del Lozoya y Pinilla de Buitrago,41.62
Gascones,38.38
Getafe,94.51
Griñón,49.04
Guadalix de la Sierra,41.35
Guadarrama,58.92
Hiruela (La),35.51
Horcajo de la Sierra-Aoslos,38.3
Horcajuelo de la Sierra,35.79
Hoyo de Manzanares,49.49
Humanes de Madrid,54.97
Leganés,82.68
Loeches,44.31
Lozoya,45.3
Lozoyuela-Navas-Sieteiglesias,53.96
Madarcos,35.27
Majadahonda,48.56
Manzanares el Real,47.94
Meco,56.47
Mejorada del Campo,62.13
Miraflores de la Sierra,42.53
Molar (El),43.44
Molinos (Los),38.71
Montejo de la Sierra,39.06
Moraleja de Enmedio,39.09
Moralzarzal,57.89
Morata de Tajuña,40.62
Móstoles,88.34
Navacerrada,36.99
Navalafuente,60.26
Navalagamella,34.48
Navalcarnero,77.07
Navarredonda y San Mamés,37.38
Navas del Rey,34.82
Nuevo Baztán,41.77
Olmeda de las Fuentes,43.17
Orusco de Tajuña,51.65
Paracuellos de Jarama,89.17
Parla,29.91
Patones,43.04
Pedrezuela,41.34
Pelayos de la Presa,34.23
Perales de Tajuña,34.66
Pezuela de las Torres,48.55
Pinilla del Valle,37.84
Pinto,4.29
Piñuécar-Gandullas,36.99
Pozuelo de Alarcón,100.0
Pozuelo del Rey,52.09
Prádena del Rincón,36.82
Puebla de la Sierra,35.67
Puentes Viejas,46.77
Quijorna,36.49
Rascafría,63.51
Redueña,39.08
Ribatejada,48.79
Rivas-Vaciamadrid,48.6
Robledillo de la Jara,35.97
Robledo de Chavela,37.63
Robregordo,35.32
Rozas de Madrid (Las),77.23
Rozas de Puerto Real,42.08
San Agustín del Guadalix,59.58
San Fernando de Henares,88.41
San Lorenzo de El Escorial,63.45
San Martín de Valdeiglesias,41.81
San Martín de la Vega,55.99
San Sebastián de los Reyes,45.82
Santa María de la Alameda,55.5
Santorcaz,48.22
Santos de la Humosa (Los),74.29
Serna del Monte (La),35.49
Serranillos del Valle,37.87
Sevilla la Nueva,45.79
Somosierra,35.76
Soto del Real,49.71
Talamanca de Jarama,36.95
Tielmes,68.7
Titulcia,53.55
Torrejón de Ardoz,51.87
Torrejón de Velasco,37.76
Torrejón de la Calzada,46.5
Torrelaguna,37.61
Torrelodones,100.0
Torremocha de Jarama,52.05
Torres de la Alameda,41.1
Tres Cantos,22.52
Valdaracete,43.27
Valdeavero,59.53
Valdelaguna,48.7
Valdemanco,50.89
Valdemaqueda,44.58
Valdemorillo,56.3
Valdemoro,21.3
Valdeolmos-Alalpardo,39.22
Valdepiélagos,42.92
Valdetorres de Jarama,38.29
Valdilecha,34.41
Valverde de Alcalá,42.78
Velilla de San Antonio,52.42
Vellón (El),65.31
Venturada,100.0
Villa del Prado,39.49
Villaconejos,34.57
Villalbilla,65.18
Villamanrique de Tajo,44.02
Villamanta,70.72
Villamantilla,59.81
Villanueva de Perales,58.57
Villanueva de la Cañada,84.82
Villanueva del Pardillo,66.03
Villar del Olmo,73.8
Villarejo de Salvanés,40.42
Villaviciosa de Odón,99.63
Villavieja del Lozoya,40.15
Zarzalejo,58.73
