Nombre,pension_media
Acebeda (La),0.0
Ajalvir,29.35
Alameda del Valle,46.32
Alamo (El),62.07
Alcalá de Henares,74.77
Alcobendas,61.31
Alcorcón,72.56
Aldea del Fresno,15.44
Algete,71.23
Alpedrete,66.27
Ambite,56.48
Anchuelo,58.61
Aranjuez,34.23
Arganda del Rey,36.44
Arroyomolinos,77.7
Atazar (El),26.88
Batres,59.47
Becerril de la Sierra,45.57
Belmonte de Tajo,59.82
Berrueco (El),56.33
Berzosa del Lozoya,41.51
Boadilla del Monte,25.26
Boalo (El),52.45
Braojos,46.8
Brea de Tajo,55.78
Brunete,60.37
Buitrago del Lozoya,59.8
Bustarviejo,60.46
Cabanillas de la Sierra,56.89
Cabrera (La),1.1
Cadalso de los Vidrios,18.33
Camarma de Esteruelas,52.02
Campo Real,50.22
Canencia,53.53
Carabaña,60.19
Casarrubuelos,24.66
Cenicientos,60.19
Cercedilla,50.37
Cervera de Buitrago,35.64
Chapinería,60.34
Chinchón,47.52
Ciempozuelos,75.92
Cobeña,46.7
Collado Mediano,47.04
Collado Villalba,37.49
Colmenar Viejo,25.9
Colmenar de Oreja,59.61
Colmenar del Arroyo,59.7
Colmenarejo,55.84
Corpa,56.22
Coslada,45.7
Cubas de la Sagra,48.18
Daganzo de Arriba,59.96
Escorial (El),67.61
Estremera,59.31
Fresnedillas de la Oliva,59.46
Fresno de Torote,60.01
Fuenlabrada,75.4
Fuente el Saz de Jarama,51.07
Fuentidueña de Tajo,60.17
Galapagar,77.15
Garganta de los Montes,51.35
Gargantilla del Lozoya y Pinilla de Buitrago,50.79
Gascones,45.04
Getafe,73.79
Griñón,60.84
Guadalix de la Sierra,48.78
Guadarrama,69.31
Hiruela (La),10.96
Horcajo de la Sierra-Aoslos,42.33
Horcajuelo de la Sierra,21.34
Hoyo de Manzanares,51.2
Humanes de Madrid,73.3
Leganés,75.43
Loeches,57.51
Lozoya,55.23
Lozoyuela-Navas-Sieteiglesias,59.01
Madarcos,10.56
Majadahonda,28.41
Manzanares el Real,56.62
Meco,68.0
Mejorada del Campo,74.6
Miraflores de la Sierra,50.52
Molar (El),60.75
Molinos (Los),28.03
Montejo de la Sierra,53.07
Moraleja de Enmedio,41.57
Moralzarzal,65.2
Morata de Tajuña,55.86
Móstoles,76.75
Navacerrada,0.0
Navalafuente,59.41
Navalagamella,5.1
Navalcarnero,77.49
Navarredonda y San Mamés,37.61
Navas del Rey,17.33
Nuevo Baztán,47.19
Olmeda de las Fuentes,50.4
Orusco de Tajuña,59.43
Paracuellos de Jarama,73.77
Parla,69.14
Patones,54.07
Pedrezuela,41.82
Pelayos de la Presa,11.01
Perales de Tajuña,15.24
Pezuela de las Torres,57.7
Pinilla del Valle,37.37
Pinto,26.39
Piñuécar-Gandullas,39.26
Pozuelo de Alarcón,41.18
Pozuelo del Rey,58.65
Prádena del Rincón,35.89
Puebla de la Sierra,14.89
Puentes Viejas,57.04
Quijorna,19.24
Rascafría,59.31
Redueña,44.38
Ribatejada,56.61
Rivas-Vaciamadrid,51.33
Robledillo de la Jara,21.11
Robledo de Chavela,32.16
Robregordo,16.92
Rozas de Madrid (Las),45.29
Rozas de Puerto Real,55.49
San Agustín del Guadalix,63.7
San Fernando de Henares,77.99
San Lorenzo de El Escorial,70.21
San Martín de Valdeiglesias,60.31
San Martín de la Vega,73.53
San Sebastián de los Reyes,52.94
Santa María de la Alameda,58.95
Santorcaz,57.72
Santos de la Humosa (Los),60.26
Serna del Monte (La),24.27
Serranillos del Valle,29.5
Sevilla la Nueva,58.02
Somosierra,23.19
Soto del Real,52.62
Talamanca de Jarama,28.97
Tielmes,60.51
Titulcia,58.87
Torrejón de Ardoz,67.85
Torrejón de Velasco,35.25
Torrejón de la Calzada,59.68
Torrelaguna,32.38
Torrelodones,71.53
Torremocha de Jarama,57.32
Torres de la Alameda,51.83
Tres Cantos,0.0
Valdaracete,56.02
Valdeavero,59.34
Valdelaguna,58.5
Valdemanco,57.96
Valdemaqueda,57.0
Valdemorillo,64.13
Valdemoro,52.44
Valdeolmos-Alalpardo,18.77
Valdepiélagos,55.35
Valdetorres de Jarama,35.83
Valdilecha,14.49
Valverde de Alcalá,54.39
Velilla de San Antonio,65.48
Vellón (El),60.01
Venturada,59.65
Villa del Prado,53.76
Villaconejos,26.11
Villalbilla,68.36
Villamanrique de Tajo,57.23
Villamanta,60.47
Villamantilla,58.92
Villanueva de Perales,59.5
Villanueva de la Cañada,71.52
Villanueva del Pardillo,69.57
Villar del Olmo,59.76
Villarejo de Salvanés,55.68
Villaviciosa de Odón,74.58
Villavieja del Lozoya,50.0
Zarzalejo,59.68
