Nombre,paro_total
Acebeda (La),60.88
Ajalvir,63.6
Alameda del Valle,34.51
Alamo (El),43.4
Alcalá de Henares,25.64
Alcobendas,70.55
Alcorcón,45.58
Aldea del Fresno,29.62
Algete,64.32
Alpedrete,60.76
Ambite,37.29
Anchuelo,54.25
Aranjuez,17.63
Arganda del Rey,7.25
Arroyomolinos,69.0
Atazar (El),0.0
Batres,62.6
Becerril de la Sierra,44.69
Belmonte de Tajo,45.19
Berrueco (El),53.02
Berzosa del Lozoya,99.47
Boadilla del Monte,100.0
Boalo (El),55.79
Braojos,77.11
Brea de Tajo,40.52
Brunete,65.44
Buitrago del Lozoya,63.48
Bustarviejo,50.72
Cabanillas de la Sierra,76.94
Cabrera (La),37.82
Cadalso de los Vidrios,18.74
Camarma de Esteruelas,36.74
Campo Real,46.13
Canencia,51.16
Carabaña,49.53
Casarrubuelos,47.5
Cenicientos,16.27
Cercedilla,47.93
Cervera de Buitrago,23.03
Chapinería,55.22
Chinchón,25.28
Ciempozuelos,44.21
Cobeña,73.3
Collado Mediano,42.84
Collado Villalba,23.28
Colmenar Viejo,59.99
Colmenar de Oreja,32.6
Colmenar del Arroyo,45.75
Colmenarejo,49.02
Corpa,46.65
Coslada,45.43
Cubas de la Sagra,64.28
Daganzo de Arriba,57.6
Escorial (El),54.95
Estremera,42.07
Fresnedillas de la Oliva,33.76
Fresno de Torote,52.35
Fuenlabrada,22.53
Fuente el Saz de Jarama,50.72
Fuentidueña de Tajo,34.52
Galapagar,55.0
Garganta de los Montes,66.34
Gargantilla del Lozoya y Pinilla de Buitrago,35.19
Gascones,69.93
Getafe,38.46
Griñón,65.28
Guadalix de la Sierra,43.45
Guadarrama,59.88
Hiruela (La),57.59
Horcajo de la Sierra-Aoslos,45.75
Horcajuelo de la Sierra,66.45
Hoyo de Manzanares,66.02
Humanes de Madrid,36.73
Leganés,36.81
Loeches,48.96
Lozoya,53.74
Lozoyuela-Navas-Sieteiglesias,54.76
Madarcos,96.81
Majadahonda,88.41
Manzanares el Real,53.91
Meco,55.5
Mejorada del Campo,46.04
Miraflores de la Sierra,46.54
Molar (El),47.38
Molinos (Los),48.93
Montejo de la Sierra,80.68
Moraleja de Enmedio,58.56
Moralzarzal,64.35
Morata de Tajuña,35.17
Móstoles,36.33
Navacerrada,60.5
Navalafuente,28.37
Navalagamella,31.36
Navalcarnero,48.45
Navarredonda y San Mamés,52.99
Navas del Rey,27.88
Nuevo Baztán,37.07
Olmeda de las Fuentes,35.44
Orusco de Tajuña,32.42
Paracuellos de Jarama,74.18
Parla,11.78
Patones,74.11
Pedrezuela,51.19
Pelayos de la Presa,0.0
Perales de Tajuña,9.06
Pezuela de las Torres,64.9
Pinilla del Valle,83.5
Pinto,40.35
Piñuécar-Gandullas,66.71
Pozuelo de Alarcón,99.58
Pozuelo del Rey,45.11
Prádena del Rincón,63.11
Puebla de la Sierra,76.39
Puentes Viejas,75.11
Quijorna,63.62
Rascafría,63.87
Redueña,71.18
Ribatejada,29.78
Rivas-Vaciamadrid,60.02
Robledillo de la Jara,18.54
Robledo de Chavela,30.46
Robregordo,18.95
Rozas de Madrid (Las),89.23
Rozas de Puerto Real,49.53
San Agustín del Guadalix,63.57
San Fernando de Henares,48.22
San Lorenzo de El Escorial,64.36
San Martín de Valdeiglesias,22.63
San Martín de la Vega,34.39
San Sebastián de los Reyes,65.27
Santa María de la Alameda,23.19
Santorcaz,51.26
Santos de la Humosa (Los),56.84
Serna del Monte (La),57.59
Serranillos del Valle,59.21
Sevilla la Nueva,60.81
Somosierra,47.06
Soto del Real,66.37
Talamanca de Jarama,61.75
Tielmes,30.54
Titulcia,26.7
Torrejón de Ardoz,35.55
Torrejón de Velasco,57.0
Torrejón de la Calzada,60.74
Torrelaguna,48.24
Torrelodones,80.81
Torremocha de Jarama,68.09
Torres de la Alameda,33.92
Tres Cantos,88.05
Valdaracete,20.83
Valdeavero,41.67
Valdelaguna,37.26
Valdemanco,62.05
Valdemaqueda,10.33
Valdemorillo,57.28
Valdemoro,42.29
Valdeolmos-Alalpardo,73.41
Valdepiélagos,42.72
Valdetorres de Jarama,33.64
Valdilecha,38.85
Valverde de Alcalá,68.09
Velilla de San Antonio,52.12
Vellón (El),37.97
Venturada,77.97
Villa del Prado,39.84
Villaconejos,24.33
Villalbilla,72.03
Villamanrique de Tajo,19.31
Villamanta,44.81
Villamantilla,44.2
Villanueva de Perales,45.0
Villanueva de la Cañada,77.54
Villanueva del Pardillo,70.11
Villar del Olmo,52.94
Villarejo de Salvanés,27.56
Villaviciosa de Odón,79.5
Villavieja del Lozoya,65.57
Zarzalejo,34.45
