Nombre,bibliotecas_100_alumnos
Acebeda (La),48.93
Ajalvir,63.26
Alameda del Valle,48.93
Alamo (El),46.74
Alcalá de Henares,66.18
Alcobendas,35.95
Alcorcón,60.74
Aldea del Fresno,33.15
Algete,39.69
Alpedrete,41.65
Ambite,48.93
Anchuelo,48.93
Aranjuez,19.21
Arganda del Rey,47.68
Arroyomolinos,35.99
Atazar (El),48.93
Batres,48.93
Becerril de la Sierra,75.55
Belmonte de Tajo,48.93
Berrueco (El),48.93
Berzosa del Lozoya,48.93
Boadilla del Monte,34.01
Boalo (El),45.29
Braojos,48.93
Brea de Tajo,48.93
Brunete,47.3
Buitrago del Lozoya,49.44
Bustarviejo,53.35
Cabanillas de la Sierra,48.93
Cabrera (La),58.2
Cadalso de los Vidrios,89.75
Camarma de Esteruelas,47.62
Campo Real,60.64
Canencia,48.93
Carabaña,48.93
Casarrubuelos,33.15
Cenicientos,48.93
Cercedilla,54.5
Cervera de Buitrago,48.93
Chapinería,51.04
Chinchón,58.05
Ciempozuelos,38.49
Cobeña,47.51
Collado Mediano,76.24
Collado Villalba,53.32
Colmenar Viejo,100.0
Colmenar de Oreja,58.63
Colmenar del Arroyo,56.27
Colmenarejo,46.68
Corpa,48.93
Coslada,45.96
Cubas de la Sagra,49.63
Daganzo de Arriba,46.57
Escorial (El),42.25
Estremera,48.93
Fresnedillas de la Oliva,48.93
Fresno de Torote,48.93
Fuenlabrada,59.44
Fuente el Saz de Jarama,64.9
Fuentidueña de Tajo,54.27
Galapagar,38.03
Garganta de los Montes,48.93
Gargantilla del Lozoya y Pinilla de Buitrago,48.93
Gascones,48.93
Getafe,53.62
Griñón,41.08
Guadalix de la Sierra,61.89
Guadarrama,38.03
Hiruela (La),48.93
Horcajo de la Sierra-Aoslos,48.93
Horcajuelo de la Sierra,48.93
Hoyo de Manzanares,56.91
Humanes de Madrid,38.13
Leganés,59.67
Loeches,52.28
Lozoya,48.93
Lozoyuela-Navas-Sieteiglesias,48.93
Madarcos,48.93
Majadahonda,20.42
Manzanares el Real,63.61
Meco,42.95
Mejorada del Campo,39.53
Miraflores de la Sierra,69.03
Molar (El),46.41
Molinos (Los),95.98
Montejo de la Sierra,48.93
Moraleja de Enmedio,65.89
Moralzarzal,40.28
Morata de Tajuña,53.49
Móstoles,47.82
Navacerrada,97.84
Navalafuente,48.93
Navalagamella,33.15
Navalcarnero,36.57
Navarredonda y San Mamés,48.93
Navas del Rey,33.15
Nuevo Baztán,33.15
Olmeda de las Fuentes,48.93
Orusco de Tajuña,48.93
Paracuellos de Jarama,36.8
Parla,20.1
Patones,48.93
Pedrezuela,66.81
Pelayos de la Presa,33.15
Perales de Tajuña,33.15
Pezuela de las Torres,48.93
Pinilla del Valle,48.93
Pinto,52.45
Piñuécar-Gandullas,48.93
Pozuelo de Alarcón,54.52
Pozuelo del Rey,48.93
Prádena del Rincón,48.93
Puebla de la Sierra,48.93
Puentes Viejas,48.93
Quijorna,33.15
Rascafría,57.03
Redueña,48.93
Ribatejada,48.93
Rivas-Vaciamadrid,65.93
Robledillo de la Jara,48.93
Robledo de Chavela,79.3
Robregordo,48.93
Rozas de Madrid (Las),45.83
Rozas de Puerto Real,48.93
San Agustín del Guadalix,44.53
San Fernando de Henares,36.94
San Lorenzo de El Escorial,38.85
San Martín de Valdeiglesias,47.4
San Martín de la Vega,39.65
San Sebastián de los Reyes,54.63
Santa María de la Alameda,48.93
Santorcaz,48.93
Santos de la Humosa (Los),48.93
Serna del Monte (La),48.93
Serranillos del Valle,33.15
Sevilla la Nueva,45.24
Somosierra,48.93
Soto del Real,41.82
Talamanca de Jarama,72.49
Tielmes,52.77
Titulcia,48.93
Torrejón de Ardoz,48.05
Torrejón de Velasco,55.05
Torrejón de la Calzada,42.39
Torrelaguna,56.68
Torrelodones,40.76
Torremocha de Jarama,100.0
Torres de la Alameda,49.65
Tres Cantos,57.02
Valdaracete,48.93
Valdeavero,48.93
Valdelaguna,48.93
Valdemanco,48.93
Valdemaqueda,48.93
Valdemorillo,46.26
Valdemoro,47.45
Valdeolmos-Alalpardo,33.15
Valdepiélagos,48.93
Valdetorres de Jarama,33.15
Valdilecha,78.26
Valverde de Alcalá,48.93
Velilla de San Antonio,44.84
Vellón (El),48.93
Venturada,48.93
Villa del Prado,53.61
Villaconejos,100.0
Villalbilla,48.27
Villamanrique de Tajo,48.93
Villamanta,48.93
Villamantilla,48.93
Villanueva de Perales,48.93
Villanueva de la Cañada,35.62
Villanueva del Pardillo,38.93
Villar del Olmo,48.93
Villarejo de Salvanés,44.29
Villaviciosa de Odón,37.74
Villavieja del Lozoya,48.93
Zarzalejo,48.93
