Nombre,profesores_priv_100_alumnos_priv
Acebeda (La),48.47
Ajalvir,31.86
Alameda del Valle,48.47
Alamo (El),48.3
Alcalá de Henares,65.37
Alcobendas,85.02
Alcorcón,37.04
Aldea del Fresno,31.86
Algete,60.77
Alpedrete,60.06
Ambite,48.47
Anchuelo,48.47
Aranjuez,37.86
Arganda del Rey,20.86
Arroyomolinos,49.88
Atazar (El),48.47
Batres,48.47
Becerril de la Sierra,96.76
Belmonte de Tajo,48.47
Berrueco (El),48.47
Berzosa del Lozoya,48.47
Boadilla del Monte,62.21
Boalo (El),50.15
Braojos,48.47
Brea de Tajo,48.47
Brunete,52.63
Buitrago del Lozoya,74.51
Bustarviejo,48.47
Cabanillas de la Sierra,48.47
Cabrera (La),64.83
Cadalso de los Vidrios,31.86
Camarma de Esteruelas,62.33
Campo Real,69.72
Canencia,48.47
Carabaña,48.47
Casarrubuelos,71.94
Cenicientos,48.47
Cercedilla,49.98
Cervera de Buitrago,48.47
Chapinería,88.86
Chinchón,69.72
Ciempozuelos,63.91
Cobeña,46.96
Collado Mediano,31.86
Collado Villalba,58.47
Colmenar Viejo,43.39
Colmenar de Oreja,31.86
Colmenar del Arroyo,48.47
Colmenarejo,55.04
Corpa,48.47
Coslada,86.53
Cubas de la Sagra,31.86
Daganzo de Arriba,62.44
Escorial (El),49.85
Estremera,48.47
Fresnedillas de la Oliva,48.47
Fresno de Torote,48.47
Fuenlabrada,23.87
Fuente el Saz de Jarama,31.86
Fuentidueña de Tajo,48.47
Galapagar,52.96
Garganta de los Montes,48.47
Gargantilla del Lozoya y Pinilla de Buitrago,48.47
Gascones,48.47
Getafe,56.3
Griñón,48.34
Guadalix de la Sierra,57.1
Guadarrama,48.33
Hiruela (La),48.47
Horcajo de la Sierra-Aoslos,48.47
Horcajuelo de la Sierra,48.47
Hoyo de Manzanares,31.86
Humanes de Madrid,49.4
Leganés,86.73
Loeches,51.11
Lozoya,48.47
Lozoyuela-Navas-Sieteiglesias,48.47
Madarcos,48.47
Majadahonda,77.07
Manzanares el Real,59.83
Meco,53.65
Mejorada del Campo,63.04
Miraflores de la Sierra,60.81
Molar (El),80.04
Molinos (Los),53.84
Montejo de la Sierra,48.47
Moraleja de Enmedio,31.86
Moralzarzal,52.99
Morata de Tajuña,31.86
Móstoles,6.43
Navacerrada,31.86
Navalafuente,48.47
Navalagamella,31.86
Navalcarnero,46.99
Navarredonda y San Mamés,48.47
Navas del Rey,31.86
Nuevo Baztán,48.56
Olmeda de las Fuentes,48.47
Orusco de Tajuña,48.47
Paracuellos de Jarama,47.23
Parla,34.92
Patones,48.47
Pedrezuela,80.53
Pelayos de la Presa,31.86
Perales de Tajuña,31.86
Pezuela de las Torres,48.47
Pinilla del Valle,48.47
Pinto,10.33
Piñuécar-Gandullas,48.47
Pozuelo de Alarcón,100.0
Pozuelo del Rey,48.47
Prádena del Rincón,48.47
Puebla de la Sierra,48.47
Puentes Viejas,48.47
Quijorna,100.0
Rascafría,48.47
Redueña,48.47
Ribatejada,48.47
Rivas-Vaciamadrid,75.47
Robledillo de la Jara,48.47
Robledo de Chavela,31.86
Robregordo,48.47
Rozas de Madrid (Las),73.62
Rozas de Puerto Real,100.0
San Agustín del Guadalix,59.82
San Fernando de Henares,64.31
San Lorenzo de El Escorial,48.99
San Martín de Valdeiglesias,31.86
San Martín de la Vega,51.79
San Sebastián de los Reyes,17.38
Santa María de la Alameda,48.47
Santorcaz,48.47
Santos de la Humosa (Los),48.47
Serna del Monte (La),48.47
Serranillos del Valle,31.86
Sevilla la Nueva,51.46
Somosierra,48.47
Soto del Real,46.58
Talamanca de Jarama,100.0
Tielmes,48.47
Titulcia,48.47
Torrejón de Ardoz,22.63
Torrejón de Velasco,47.17
Torrejón de la Calzada,47.58
Torrelaguna,31.86
Torrelodones,48.82
Torremocha de Jarama,48.47
Torres de la Alameda,31.86
Tres Cantos,36.07
Valdaracete,48.47
Valdeavero,48.47
Valdelaguna,48.47
Valdemanco,48.47
Valdemaqueda,48.47
Valdemorillo,63.7
Valdemoro,32.44
Valdeolmos-Alalpardo,49.59
Valdepiélagos,48.47
Valdetorres de Jarama,31.86
Valdilecha,31.86
Valverde de Alcalá,48.47
Velilla de San Antonio,61.49
Vellón (El),48.47
Venturada,48.47
Villa del Prado,31.86
Villaconejos,31.86
Villalbilla,50.51
Villamanrique de Tajo,48.47
Villamanta,48.47
Villamantilla,48.47
Villanueva de Perales,48.47
Villanueva de la Cañada,48.15
Villanueva del Pardillo,51.08
Villar del Olmo,48.47
Villarejo de Salvanés,47.75
Villaviciosa de Odón,56.57
Villavieja del Lozoya,48.47
Zarzalejo,48.47
Madrid,0.0
