Nombre,centros_priv_100_alumnos_priv
Acebeda (La),48.99
Ajalvir,43.1
Alameda del Valle,48.99
Alamo (El),44.92
Alcalá de Henares,45.04
Alcobendas,39.4
Alcorcón,33.76
Aldea del Fresno,43.1
Algete,62.07
Alpedrete,49.11
Ambite,48.99
Anchuelo,48.99
Aranjuez,32.35
Arganda del Rey,37.99
Arroyomolinos,45.29
Atazar (El),48.99
Batres,48.99
Becerril de la Sierra,95.24
Belmonte de Tajo,48.99
Berrueco (El),48.99
Berzosa del Lozoya,48.99
Boadilla del Monte,35.17
Boalo (El),46.67
Braojos,48.99
Brea de Tajo,48.99
Brunete,46.29
Buitrago del Lozoya,50.77
Bustarviejo,48.99
Cabanillas de la Sierra,48.99
Cabrera (La),50.3
Cadalso de los Vidrios,43.1
Camarma de Esteruelas,47.17
Campo Real,79.91
Canencia,48.99
Carabaña,48.99
Casarrubuelos,67.2
Cenicientos,48.99
Cercedilla,46.86
Cervera de Buitrago,48.99
Chapinería,100.0
Chinchón,43.1
Ciempozuelos,48.55
Cobeña,43.98
Collado Mediano,43.1
Collado Villalba,91.54
Colmenar del Arroyo,48.99
Colmenar de Oreja,43.1
Colmenarejo,56.0
Colmenar Viejo,71.81
Corpa,48.99
Coslada,100.0
Cubas de la Sagra,43.1
Daganzo de Arriba,54.31
Escorial (El),43.6
Estremera,48.99
Fresnedillas de la Oliva,48.99
Fresno de Torote,48.99
Fuenlabrada,36.58
Fuente el Saz de Jarama,43.1
Fuentidueña de Tajo,48.99
Galapagar,46.55
Garganta de los Montes,48.99
Gargantilla del Lozoya y Pinilla de Buitrago,48.99
Gascones,48.99
Getafe,59.13
Griñón,44.29
Guadalix de la Sierra,79.91
Guadarrama,44.29
Hiruela (La),48.99
Horcajo de la Sierra-Aoslos,48.99
Horcajuelo de la Sierra,48.99
Hoyo de Manzanares,43.1
Humanes de Madrid,45.48
Leganés,57.72
Loeches,48.11
Lozoya,48.99
Lozoyuela-Navas-Sieteiglesias,48.99
Madarcos,48.99
Majadahonda,49.26
Manzanares el Real,46.36
Meco,46.17
Mejorada del Campo,68.64
Miraflores de la Sierra,48.8
Molar (El),75.21
Molinos (Los),49.61
Montejo de la Sierra,48.99
Moraleja de Enmedio,43.1
Moralzarzal,44.6
Morata de Tajuña,43.1
Móstoles,53.49
Navacerrada,43.1
Navalafuente,48.99
Navalagamella,43.1
Navalcarnero,44.54
Navarredonda y San Mamés,48.99
Navas del Rey,43.1
Nuevo Baztán,44.79
Olmeda de las Fuentes,48.99
Orusco de Tajuña,48.99
Paracuellos de Jarama,43.79
Parla,43.63
Patones,48.99
Pedrezuela,43.1
Pelayos de la Presa,43.1
Perales de Tajuña,43.1
Pezuela de las Torres,48.99
Pinilla del Valle,48.99
Pinto,22.49
Piñuécar-Gandullas,48.99
Pozuelo de Alarcón,35.17
Pozuelo del Rey,48.99
Prádena del Rincón,48.99
Puebla de la Sierra,48.99
Puentes Viejas,48.99
Quijorna,100.0
Rascafría,48.99
Redueña,48.99
Ribatejada,48.99
Rivas-Vaciamadrid,56.31
Robledillo de la Jara,48.99
Robledo de Chavela,43.1
Robregordo,48.99
Rozas de Madrid (Las),47.86
Rozas de Puerto Real,74.24
San Agustín del Guadalix,65.07
San Fernando de Henares,83.48
San Lorenzo de El Escorial,45.17
San Martín de la Vega,45.61
San Martín de Valdeiglesias,43.1
San Sebastián de los Reyes,46.45
Santa María de la Alameda,48.99
Santorcaz,48.99
Santos de la Humosa (Los),48.99
Serna del Monte (La),48.99
Serranillos del Valle,43.1
Sevilla la Nueva,44.1
Somosierra,48.99
Soto del Real,44.79
Talamanca de Jarama,87.79
Tielmes,48.99
Titulcia,48.99
Torrejón de Ardoz,56.31
Torrejón de la Calzada,43.85
Torrejón de Velasco,43.92
Torrelaguna,43.1
Torrelodones,44.35
Torremocha de Jarama,48.99
Torres de la Alameda,43.1
Tres Cantos,64.77
Valdaracete,48.99
Valdeavero,48.99
Valdelaguna,48.99
Valdemanco,48.99
Valdemaqueda,48.99
Valdemorillo,45.67
Valdemoro,33.76
Valdeolmos-Alalpardo,43.92
Valdepiélagos,48.99
Valdetorres de Jarama,43.1
Valdilecha,43.1
Valverde de Alcalá,48.99
Velilla de San Antonio,70.33
Vellón (El),48.99
Venturada,48.99
Villaconejos,43.1
Villa del Prado,43.1
Villalbilla,45.79
Villamanrique de Tajo,48.99
Villamanta,48.99
Villamantilla,48.99
Villanueva de la Cañada,43.98
Villanueva del Pardillo,44.35
Villanueva de Perales,48.99
Villar del Olmo,48.99
Villarejo de Salvanés,44.17
Villaviciosa de Odón,44.35
Villavieja del Lozoya,48.99
Zarzalejo,48.99
Madrid,0.0
