Nombre,idiomas_10_alumnos
Acebeda (La),50.0
Ajalvir,49.35
Alameda del Valle,50.0
Alamo (El),49.35
Alcalá de Henares,45.36
Alcobendas,100.0
Alcorcón,40.04
Aldea del Fresno,49.35
Algete,49.35
Alpedrete,49.35
Ambite,50.0
Anchuelo,50.0
Aranjuez,40.04
Arganda del Rey,40.04
Arroyomolinos,49.35
Atazar (El),50.0
Batres,50.0
Becerril de la Sierra,49.35
Belmonte de Tajo,50.0
Berzosa del Lozoya,50.0
Berrueco (El),50.0
Boadilla del Monte,49.9
Boalo (El),49.35
Braojos,50.0
Brea de Tajo,50.0
Brunete,49.35
Buitrago del Lozoya,50.0
Bustarviejo,50.0
Cabanillas de la Sierra,50.0
Cabrera (La),49.35
Cadalso de los Vidrios,49.35
Camarma de Esteruelas,49.35
Campo Real,49.35
Canencia,50.0
Carabaña,50.0
Casarrubuelos,49.35
Cenicientos,50.0
Cercedilla,49.35
Cervera de Buitrago,50.0
Ciempozuelos,49.35
Cobeña,49.35
Colmenar del Arroyo,50.0
Colmenar de Oreja,49.35
Colmenarejo,49.35
Colmenar Viejo,40.04
Collado Mediano,49.35
Collado Villalba,56.21
Corpa,50.0
Coslada,61.74
Cubas de la Sagra,49.35
Chapinería,50.0
Chinchón,49.35
Daganzo de Arriba,49.35
Escorial (El),49.35
Estremera,50.0
Fresnedillas de la Oliva,50.0
Fresno de Torote,50.0
Fuenlabrada,48.82
Fuente el Saz de Jarama,49.35
Fuentidueña de Tajo,50.0
Galapagar,49.35
Garganta de los Montes,50.0
Gargantilla del Lozoya y Pinilla de Buitrago,50.0
Gascones,50.0
Getafe,46.3
Griñón,49.35
Guadalix de la Sierra,49.35
Guadarrama,49.35
Hiruela (La),50.0
Horcajo de la Sierra-Aoslos,50.0
Horcajuelo de la Sierra,50.0
Hoyo de Manzanares,49.35
Humanes de Madrid,49.35
Leganés,40.04
Loeches,49.35
Lozoya,50.0
Madarcos,50.0
Majadahonda,40.04
Manzanares el Real,49.35
Meco,49.35
Mejorada del Campo,49.35
Miraflores de la Sierra,49.35
Molar (El),49.35
Molinos (Los),49.35
Montejo de la Sierra,50.0
Moraleja de Enmedio,49.35
Moralzarzal,49.35
Morata de Tajuña,49.35
Móstoles,40.04
Navacerrada,49.35
Navalafuente,50.0
Navalagamella,49.35
Navalcarnero,49.35
Navarredonda y San Mamés,50.0
Navas del Rey,49.35
Nuevo Baztán,49.35
Olmeda de las Fuentes,50.0
Orusco de Tajuña,50.0
Paracuellos de Jarama,49.35
Parla,40.04
Patones,50.0
Pedrezuela,49.35
Pelayos de la Presa,49.35
Perales de Tajuña,49.35
Pezuela de las Torres,50.0
Pinilla del Valle,50.0
Pinto,40.04
Piñuécar-Gandullas,50.0
Pozuelo de Alarcón,68.12
Pozuelo del Rey,50.0
Prádena del Rincón,50.0
Puebla de la Sierra,50.0
Quijorna,49.35
Rascafría,50.0
Redueña,50.0
Ribatejada,50.0
Rivas-Vaciamadrid,40.04
Robledillo de la Jara,50.0
Robledo de Chavela,49.35
Robregordo,50.0
Rozas de Madrid (Las),40.04
Rozas de Puerto Real,50.0
San Agustín del Guadalix,49.35
San Fernando de Henares,49.35
San Lorenzo de El Escorial,49.35
San Martín de la Vega,49.35
San Martín de Valdeiglesias,49.35
San Sebastián de los Reyes,49.9
Santa María de la Alameda,50.0
Santorcaz,50.0
Santos de la Humosa (Los),50.0
Serna del Monte (La),50.0
Serranillos del Valle,49.35
Sevilla la Nueva,49.35
Somosierra,50.0
Soto del Real,49.35
Talamanca de Jarama,49.35
Tielmes,50.0
Titulcia,50.0
Torrejón de Ardoz,95.0
Torrejón de la Calzada,49.35
Torrejón de Velasco,49.35
Torrelaguna,49.35
Torrelodones,49.35
Torremocha de Jarama,50.0
Torres de la Alameda,49.35
Valdaracete,50.0
Valdeavero,50.0
Valdelaguna,50.0
Valdemanco,50.0
Valdemaqueda,50.0
Valdemorillo,49.35
Valdemoro,40.04
Valdeolmos-Alalpardo,49.35
Valdepiélagos,50.0
Valdetorres de Jarama,49.35
Valdilecha,49.35
Valverde de Alcalá,50.0
Velilla de San Antonio,49.35
Vellón (El),50.0
Venturada,50.0
Villaconejos,49.35
Villa del Prado,49.35
Villalbilla,49.35
Villamanrique de Tajo,50.0
Villamanta,50.0
Villamantilla,50.0
Villanueva del Pardillo,49.35
Villanueva de Perales,50.0
Villar del Olmo,50.0
Villarejo de Salvanés,49.35
Villanueva de la Cañada,100.0
Villaviciosa de Odón,49.35
Villavieja del Lozoya,50.0
Zarzalejo,50.0
Lozoyuela-Navas-Sieteiglesias,50.0
Puentes Viejas,50.0
Tres Cantos,48.2
Madrid,0.0
Villanueva de la Calzada,0.0
Las Rozas,0.0
