Nombre,profesores_pub_100_alumnos_pub
Acebeda (La),27.3
Ajalvir,61.43
Alameda del Valle,27.3
Alamo (El),55.18
Alcalá de Henares,41.82
Alcobendas,34.74
Alcorcón,31.82
Aldea del Fresno,67.17
Algete,49.31
Alpedrete,35.29
Ambite,81.82
Anchuelo,50.86
Aranjuez,59.46
Arganda del Rey,40.91
Arroyomolinos,22.66
Atazar (El),27.3
Batres,60.96
Becerril de la Sierra,74.89
Belmonte de Tajo,47.72
Berrueco (El),87.88
Berzosa del Lozoya,27.3
Boadilla del Monte,61.62
Boalo (El),51.24
Braojos,27.3
Brea de Tajo,79.23
Brunete,52.94
Buitrago del Lozoya,47.37
Bustarviejo,46.1
Cabanillas de la Sierra,53.93
Cabrera (La),67.28
Cadalso de los Vidrios,96.24
Camarma de Esteruelas,31.64
Campo Real,29.63
Canencia,27.3
Carabaña,47.59
Casarrubuelos,78.28
Cenicientos,53.69
Cercedilla,62.91
Cervera de Buitrago,87.88
Chapinería,47.54
Chinchón,36.02
Ciempozuelos,22.18
Cobeña,46.15
Collado Mediano,92.22
Collado Villalba,48.76
Colmenar Viejo,58.4
Colmenar de Oreja,29.61
Colmenar del Arroyo,50.18
Colmenarejo,29.17
Corpa,57.59
Coslada,60.59
Cubas de la Sagra,34.6
Daganzo de Arriba,30.8
Escorial (El),64.61
Estremera,52.03
Fresnedillas de la Oliva,45.28
Fresno de Torote,44.14
Fuenlabrada,66.3
Fuente el Saz de Jarama,58.33
Fuentidueña de Tajo,46.25
Galapagar,38.96
Garganta de los Montes,27.3
Gargantilla del Lozoya y Pinilla de Buitrago,27.3
Gascones,27.3
Getafe,25.09
Griñón,34.42
Guadalix de la Sierra,61.3
Guadarrama,53.64
Hiruela (La),27.3
Horcajo de la Sierra-Aoslos,27.3
Horcajuelo de la Sierra,27.3
Hoyo de Manzanares,40.4
Humanes de Madrid,40.14
Leganés,53.91
Loeches,57.98
Lozoya,74.11
Lozoyuela-Navas-Sieteiglesias,48.53
Madarcos,27.3
Majadahonda,100.0
Manzanares el Real,36.01
Meco,24.7
Mejorada del Campo,27.21
Miraflores de la Sierra,67.17
Molar (El),38.02
Molinos (Los),69.3
Montejo de la Sierra,69.24
Moraleja de Enmedio,62.11
Moralzarzal,38.89
Morata de Tajuña,33.43
Móstoles,32.48
Navacerrada,51.52
Navalafuente,60.34
Navalagamella,77.26
Navalcarnero,35.14
Navarredonda y San Mamés,27.3
Navas del Rey,100.0
Nuevo Baztán,41.05
Olmeda de las Fuentes,95.46
Orusco de Tajuña,50.53
Paracuellos de Jarama,40.38
Parla,41.2
Patones,58.3
Pedrezuela,40.21
Pelayos de la Presa,82.13
Perales de Tajuña,67.4
Pezuela de las Torres,55.26
Pinilla del Valle,27.3
Pinto,33.16
Piñuécar-Gandullas,27.3
Pozuelo de Alarcón,81.99
Pozuelo del Rey,65.56
Prádena del Rincón,27.3
Puebla de la Sierra,27.3
Puentes Viejas,27.3
Quijorna,90.76
Rascafría,56.38
Redueña,100.0
Ribatejada,62.1
Rivas-Vaciamadrid,21.44
Robledillo de la Jara,27.3
Robledo de Chavela,96.26
Robregordo,27.3
Rozas de Madrid (Las),71.18
Rozas de Puerto Real,60.96
San Agustín del Guadalix,34.39
San Fernando de Henares,32.35
San Lorenzo de El Escorial,59.39
San Martín de Valdeiglesias,46.16
San Martín de la Vega,35.12
San Sebastián de los Reyes,47.76
Santa María de la Alameda,63.65
Santorcaz,56.26
Santos de la Humosa (Los),43.82
Serna del Monte (La),27.3
Serranillos del Valle,49.29
Sevilla la Nueva,49.58
Somosierra,27.3
Soto del Real,39.81
Talamanca de Jarama,43.06
Tielmes,44.11
Titulcia,49.64
Torrejón de Ardoz,37.62
Torrejón de Velasco,68.22
Torrejón de la Calzada,34.88
Torrelaguna,60.18
Torrelodones,39.98
Torremocha de Jarama,75.77
Torres de la Alameda,43.77
Tres Cantos,63.1
Valdaracete,51.93
Valdeavero,51.08
Valdelaguna,54.56
Valdemanco,60.34
Valdemaqueda,81.82
Valdemorillo,21.58
Valdemoro,36.66
Valdeolmos-Alalpardo,51.94
Valdepiélagos,81.82
Valdetorres de Jarama,78.34
Valdilecha,57.02
Valverde de Alcalá,27.3
Velilla de San Antonio,28.65
Vellón (El),49.64
Venturada,51.68
Villa del Prado,36.07
Villaconejos,63.3
Villalbilla,25.34
Villamanrique de Tajo,87.88
Villamanta,45.88
Villamantilla,51.93
Villanueva de Perales,54.31
Villanueva de la Cañada,38.92
Villanueva del Pardillo,44.32
Villar del Olmo,72.74
Villarejo de Salvanés,38.47
Villaviciosa de Odón,54.31
Villavieja del Lozoya,70.06
Zarzalejo,51.13
Madrid,0.0
