Nombre,unidades_escolares_priv_100_alumnos_priv
Acebeda (La),48.63
Ajalvir,31.85
Alameda del Valle,48.63
Alamo (El),50.65
Alcalá de Henares,48.69
Alcobendas,52.13
Alcorcón,42.7
Aldea del Fresno,31.85
Algete,75.22
Alpedrete,57.62
Ambite,48.63
Anchuelo,48.63
Aranjuez,49.44
Arganda del Rey,47.8
Arroyomolinos,52.06
Atazar (El),48.63
Batres,48.63
Becerril de la Sierra,100.0
Belmonte de Tajo,48.63
Berrueco (El),48.63
Berzosa del Lozoya,48.63
Boadilla del Monte,53.46
Boalo (El),52.95
Braojos,48.63
Brea de Tajo,48.63
Brunete,46.46
Buitrago del Lozoya,68.48
Bustarviejo,48.63
Cabanillas de la Sierra,48.63
Cabrera (La),64.75
Cadalso de los Vidrios,31.85
Camarma de Esteruelas,61.82
Campo Real,79.96
Canencia,48.63
Carabaña,48.63
Casarrubuelos,31.85
Cenicientos,48.63
Cercedilla,54.02
Cervera de Buitrago,48.63
Chapinería,100.0
Chinchón,31.85
Ciempozuelos,57.59
Cobeña,53.08
Collado Mediano,31.85
Collado Villalba,60.01
Colmenar Viejo,62.31
Colmenar de Oreja,31.85
Colmenar del Arroyo,48.63
Colmenarejo,52.93
Corpa,48.63
Coslada,70.0
Cubas de la Sagra,31.85
Daganzo de Arriba,61.06
Escorial (El),50.1
Estremera,48.63
Fresnedillas de la Oliva,48.63
Fresno de Torote,48.63
Fuenlabrada,28.88
Fuente el Saz de Jarama,31.85
Fuentidueña de Tajo,48.63
Galapagar,53.69
Garganta de los Montes,48.63
Gargantilla del Lozoya y Pinilla de Buitrago,48.63
Gascones,48.63
Getafe,59.04
Griñón,50.78
Guadalix de la Sierra,79.96
Guadarrama,49.54
Hiruela (La),48.63
Horcajo de la Sierra-Aoslos,48.63
Horcajuelo de la Sierra,48.63
Hoyo de Manzanares,31.85
Humanes de Madrid,54.4
Leganés,58.24
Loeches,61.41
Lozoya,48.63
Lozoyuela-Navas-Sieteiglesias,48.63
Madarcos,48.63
Majadahonda,68.59
Manzanares el Real,65.58
Meco,53.51
Mejorada del Campo,73.58
Miraflores de la Sierra,65.31
Molar (El),84.27
Molinos (Los),70.19
Montejo de la Sierra,48.63
Moraleja de Enmedio,31.85
Moralzarzal,53.84
Morata de Tajuña,31.85
Móstoles,31.92
Navacerrada,31.85
Navalafuente,48.63
Navalagamella,31.85
Navalcarnero,50.3
Navarredonda y San Mamés,48.63
Navas del Rey,31.85
Nuevo Baztán,50.62
Olmeda de las Fuentes,48.63
Orusco de Tajuña,48.63
Paracuellos de Jarama,49.12
Parla,50.85
Patones,48.63
Pedrezuela,31.85
Pelayos de la Presa,31.85
Perales de Tajuña,31.85
Pezuela de las Torres,48.63
Pinilla del Valle,48.63
Pinto,0.0
Piñuécar-Gandullas,48.63
Pozuelo de Alarcón,58.63
Pozuelo del Rey,48.63
Prádena del Rincón,48.63
Puebla de la Sierra,48.63
Puentes Viejas,48.63
Quijorna,69.02
Rascafría,48.63
Redueña,48.63
Ribatejada,48.63
Rivas-Vaciamadrid,61.91
Robledillo de la Jara,48.63
Robledo de Chavela,31.85
Robregordo,48.63
Rozas de Madrid (Las),56.94
Rozas de Puerto Real,82.54
San Agustín del Guadalix,67.72
San Fernando de Henares,84.61
San Lorenzo de El Escorial,51.7
San Martín de Valdeiglesias,31.85
San Martín de la Vega,51.4
San Sebastián de los Reyes,20.38
Santa María de la Alameda,48.63
Santorcaz,48.63
Santos de la Humosa (Los),48.63
Serna del Monte (La),48.63
Serranillos del Valle,31.85
Sevilla la Nueva,56.28
Somosierra,48.63
Soto del Real,49.27
Talamanca de Jarama,90.26
Tielmes,48.63
Titulcia,48.63
Torrejón de Ardoz,51.86
Torrejón de Velasco,50.39
Torrejón de la Calzada,48.53
Torrelaguna,31.85
Torrelodones,50.96
Torremocha de Jarama,48.63
Torres de la Alameda,31.85
Tres Cantos,68.21
Valdaracete,48.63
Valdeavero,48.63
Valdelaguna,48.63
Valdemanco,48.63
Valdemaqueda,48.63
Valdemorillo,60.23
Valdemoro,48.0
Valdeolmos-Alalpardo,50.46
Valdepiélagos,48.63
Valdetorres de Jarama,31.85
Valdilecha,31.85
Valverde de Alcalá,48.63
Velilla de San Antonio,76.3
Vellón (El),48.63
Venturada,48.63
Villa del Prado,31.85
Villaconejos,31.85
Villalbilla,52.82
Villamanrique de Tajo,48.63
Villamanta,48.63
Villamantilla,48.63
Villanueva de Perales,48.63
Villanueva de la Cañada,44.46
Villanueva del Pardillo,52.64
Villar del Olmo,48.63
Villarejo de Salvanés,49.48
Villaviciosa de Odón,47.04
Villavieja del Lozoya,48.63
Zarzalejo,48.63
