Nombre,unidades_escolares_publicas_por_100_alumnos
Acebeda (La),28.88
Ajalvir,60.51
Alameda del Valle,28.88
Alamo (El),53.0
Alcalá de Henares,28.49
Alcobendas,0.28
Alcorcón,10.8
Aldea del Fresno,99.4
Algete,44.39
Alpedrete,38.04
Ambite,64.44
Anchuelo,55.22
Aranjuez,80.0
Arganda del Rey,33.65
Arroyomolinos,23.2
Atazar (El),28.88
Batres,61.81
Becerril de la Sierra,71.34
Belmonte de Tajo,52.85
Berrueco (El),88.15
Berzosa del Lozoya,28.88
Boadilla del Monte,56.22
Boalo (El),59.68
Braojos,28.88
Brea de Tajo,79.68
Brunete,45.83
Buitrago del Lozoya,49.05
Bustarviejo,50.34
Cabanillas de la Sierra,58.0
Cabrera (La),51.17
Cadalso de los Vidrios,87.93
Camarma de Esteruelas,46.93
Campo Real,44.92
Canencia,28.88
Carabaña,50.54
Casarrubuelos,100.0
Cenicientos,51.01
Cercedilla,41.8
Cervera de Buitrago,68.39
Chapinería,47.92
Chinchón,24.74
Ciempozuelos,23.48
Cobeña,46.59
Collado Mediano,79.98
Collado Villalba,40.79
Colmenar Viejo,66.06
Colmenar de Oreja,36.61
Colmenar del Arroyo,56.23
Colmenarejo,41.52
Corpa,58.51
Coslada,61.27
Cubas de la Sagra,35.25
Daganzo de Arriba,29.6
Escorial (El),47.03
Estremera,55.49
Fresnedillas de la Oliva,47.4
Fresno de Torote,48.1
Fuenlabrada,88.82
Fuente el Saz de Jarama,43.42
Fuentidueña de Tajo,49.1
Galapagar,36.38
Garganta de los Montes,28.88
Gargantilla del Lozoya y Pinilla de Buitrago,28.88
Gascones,28.88
Getafe,20.9
Griñón,34.47
Guadalix de la Sierra,59.14
Guadarrama,40.84
Hiruela (La),28.88
Horcajo de la Sierra-Aoslos,28.88
Horcajuelo de la Sierra,28.88
Hoyo de Manzanares,39.66
Humanes de Madrid,36.04
Leganés,51.81
Loeches,50.71
Lozoya,71.98
Lozoyuela-Navas-Sieteiglesias,56.99
Madarcos,28.88
Majadahonda,78.77
Manzanares el Real,54.9
Meco,29.34
Mejorada del Campo,30.47
Miraflores de la Sierra,54.57
Molar (El),30.61
Molinos (Los),96.01
Montejo de la Sierra,56.23
Moraleja de Enmedio,61.25
Moralzarzal,33.0
Morata de Tajuña,35.84
Móstoles,29.03
Navacerrada,80.2
Navalafuente,61.21
Navalagamella,81.01
Navalcarnero,30.19
Navarredonda y San Mamés,28.88
Navas del Rey,98.86
Nuevo Baztán,41.43
Olmeda de las Fuentes,73.33
Orusco de Tajuña,54.28
Paracuellos de Jarama,46.86
Parla,56.7
Patones,60.26
Pedrezuela,58.22
Pelayos de la Presa,76.53
Perales de Tajuña,88.46
Pezuela de las Torres,56.23
Pinilla del Valle,28.88
Pinto,34.5
Piñuécar-Gandullas,28.88
Pozuelo de Alarcón,72.75
Pozuelo del Rey,66.31
Prádena del Rincón,28.88
Puebla de la Sierra,28.88
Puentes Viejas,28.88
Quijorna,86.85
Rascafría,60.17
Redueña,100.0
Ribatejada,66.71
Rivas-Vaciamadrid,32.84
Robledillo de la Jara,28.88
Robledo de Chavela,70.91
Robregordo,28.88
Rozas de Madrid (Las),100.0
Rozas de Puerto Real,55.22
San Agustín del Guadalix,28.58
San Fernando de Henares,28.74
San Lorenzo de El Escorial,63.41
San Martín de Valdeiglesias,32.32
San Martín de la Vega,26.28
San Sebastián de los Reyes,68.57
Santa María de la Alameda,64.44
Santorcaz,56.23
Santos de la Humosa (Los),48.51
Serna del Monte (La),28.88
Serranillos del Valle,64.8
Sevilla la Nueva,40.65
Somosierra,28.88
Soto del Real,30.88
Talamanca de Jarama,45.5
Tielmes,50.39
Titulcia,52.72
Torrejón de Ardoz,35.4
Torrejón de Velasco,82.92
Torrejón de la Calzada,37.06
Torrelaguna,55.78
Torrelodones,28.2
Torremocha de Jarama,76.29
Torres de la Alameda,38.79
Tres Cantos,73.37
Valdaracete,57.13
Valdeavero,55.47
Valdelaguna,64.44
Valdemanco,61.21
Valdemaqueda,64.44
Valdemorillo,15.7
Valdemoro,28.95
Valdeolmos-Alalpardo,71.49
Valdepiélagos,64.44
Valdetorres de Jarama,62.24
Valdilecha,52.88
Valverde de Alcalá,28.88
Velilla de San Antonio,24.53
Vellón (El),52.72
Venturada,48.39
Villa del Prado,42.93
Villaconejos,83.47
Villalbilla,25.62
Villamanrique de Tajo,68.39
Villamanta,47.85
Villamantilla,52.33
Villanueva de Perales,57.71
Villanueva de la Cañada,31.32
Villanueva del Pardillo,44.71
Villar del Olmo,58.51
Villarejo de Salvanés,33.4
Villaviciosa de Odón,48.68
Villavieja del Lozoya,70.72
Zarzalejo,53.36
