Nombre,extraescolares_10_alumnos
Acebeda (La),48.7
Ajalvir,47.37
Alameda del Valle,48.7
Alamo (El),100.0
Alcalá de Henares,41.77
Alcobendas,59.49
Alcorcón,55.29
Aldea del Fresno,47.37
Algete,47.37
Alpedrete,47.37
Ambite,48.7
Anchuelo,48.7
Aranjuez,41.77
Arganda del Rey,41.77
Arroyomolinos,47.37
Atazar (El),48.7
Batres,48.7
Becerril de la Sierra,47.37
Belmonte de Tajo,48.7
Berzosa del Lozoya,48.7
Berrueco (El),48.7
Boadilla del Monte,41.77
Boalo (El),47.37
Braojos,48.7
Brea de Tajo,48.7
Brunete,47.37
Buitrago del Lozoya,56.68
Bustarviejo,48.7
Cabanillas de la Sierra,48.7
Cabrera (La),47.37
Cadalso de los Vidrios,47.37
Camarma de Esteruelas,47.37
Campo Real,47.37
Canencia,48.7
Carabaña,48.7
Casarrubuelos,47.37
Cenicientos,100.0
Cercedilla,47.37
Cervera de Buitrago,48.7
Ciempozuelos,52.78
Cobeña,47.37
Colmenar del Arroyo,48.7
Colmenar de Oreja,47.37
Colmenarejo,47.37
Colmenar Viejo,41.77
Collado Mediano,47.37
Collado Villalba,76.19
Corpa,48.7
Coslada,59.92
Cubas de la Sagra,47.37
Chapinería,55.12
Chinchón,47.37
Daganzo de Arriba,47.37
Escorial (El),47.37
Estremera,67.36
Fresnedillas de la Oliva,64.19
Fresno de Torote,48.7
Fuenlabrada,41.77
Fuente el Saz de Jarama,47.37
Fuentidueña de Tajo,48.7
Galapagar,53.13
Garganta de los Montes,48.7
Gargantilla del Lozoya y Pinilla de Buitrago,48.7
Gascones,48.7
Getafe,51.67
Griñón,47.37
Guadalix de la Sierra,47.37
Guadarrama,80.32
Hiruela (La),48.7
Horcajo de la Sierra-Aoslos,48.7
Horcajuelo de la Sierra,48.7
Hoyo de Manzanares,47.37
Humanes de Madrid,47.37
Leganés,41.77
Loeches,47.37
Lozoya,48.7
Madarcos,48.7
Majadahonda,41.77
Manzanares el Real,47.37
Meco,47.37
Mejorada del Campo,67.26
Miraflores de la Sierra,47.37
Molar (El),47.37
Molinos (Los),47.37
Montejo de la Sierra,48.7
Moraleja de Enmedio,47.37
Moralzarzal,47.37
Morata de Tajuña,47.37
Móstoles,41.77
Navacerrada,47.37
Navalafuente,48.7
Navalagamella,47.37
Navalcarnero,47.37
Navarredonda y San Mamés,48.7
Navas del Rey,47.37
Nuevo Baztán,47.37
Olmeda de las Fuentes,48.7
Orusco de Tajuña,48.7
Paracuellos de Jarama,66.97
Parla,41.77
Patones,48.7
Pedrezuela,47.37
Pelayos de la Presa,47.37
Perales de Tajuña,47.37
Pezuela de las Torres,48.7
Pinilla del Valle,48.7
Pinto,100.0
Piñuécar-Gandullas,48.7
Pozuelo de Alarcón,41.77
Pozuelo del Rey,48.7
Prádena del Rincón,48.7
Puebla de la Sierra,48.7
Quijorna,47.37
Rascafría,48.7
Redueña,48.7
Ribatejada,48.7
Rivas-Vaciamadrid,41.77
Robledillo de la Jara,48.7
Robledo de Chavela,47.37
Robregordo,48.7
Rozas de Madrid (Las),41.77
Rozas de Puerto Real,48.7
San Agustín del Guadalix,47.37
San Fernando de Henares,59.62
San Lorenzo de El Escorial,47.37
San Martín de la Vega,47.37
San Martín de Valdeiglesias,47.37
San Sebastián de los Reyes,41.77
Santa María de la Alameda,48.7
Santorcaz,48.7
Santos de la Humosa (Los),48.7
Serna del Monte (La),48.7
Serranillos del Valle,47.37
Sevilla la Nueva,47.37
Somosierra,48.7
Soto del Real,47.37
Talamanca de Jarama,47.37
Tielmes,48.7
Titulcia,48.7
Torrejón de Ardoz,43.8
Torrejón de la Calzada,47.37
Torrejón de Velasco,47.37
Torrelaguna,47.37
Torrelodones,69.73
Torremocha de Jarama,48.7
Torres de la Alameda,47.37
Valdaracete,48.7
Valdeavero,48.7
Valdelaguna,48.7
Valdemanco,48.7
Valdemaqueda,48.7
Valdemorillo,47.37
Valdemoro,77.09
Valdeolmos-Alalpardo,47.37
Valdepiélagos,48.7
Valdetorres de Jarama,47.37
Valdilecha,47.37
Valverde de Alcalá,48.7
Velilla de San Antonio,47.37
Vellón (El),48.7
Venturada,48.7
Villaconejos,47.37
Villa del Prado,47.37
Villalbilla,47.37
Villamanrique de Tajo,48.7
Villamanta,48.7
Villamantilla,48.7
Villanueva del Pardillo,47.37
Villanueva de Perales,48.7
Villar del Olmo,48.7
Villarejo de Salvanés,81.8
Villanueva de la Cañada,47.37
Villaviciosa de Odón,47.37
Villavieja del Lozoya,48.7
Zarzalejo,48.7
Lozoyuela-Navas-Sieteiglesias,48.7
Puentes Viejas,48.7
Tres Cantos,41.77
Madrid,0.0
Villanueva de la Calzada,0.0
Las Rozas,0.0
