Nombre,centros_100
Acebeda (La),48.76
Ajalvir,42.13
Alameda del Valle,48.76
Alamo (El),42.13
Alcalá de Henares,76.02
Alcobendas,58.9
Alcorcón,68.58
Aldea del Fresno,42.13
Algete,50.12
Alpedrete,42.13
Ambite,48.76
Anchuelo,48.76
Aranjuez,40.86
Arganda del Rey,43.84
Arroyomolinos,42.13
Atazar (El),48.76
Batres,48.76
Becerril de la Sierra,42.13
Belmonte de Tajo,48.76
Berrueco (El),48.76
Berzosa del Lozoya,48.76
Boadilla del Monte,7.29
Boalo (El),42.13
Braojos,48.76
Brea de Tajo,48.76
Brunete,42.13
Buitrago del Lozoya,93.09
Bustarviejo,48.76
Cabanillas de la Sierra,48.76
Cabrera (La),100.0
Cadalso de los Vidrios,94.51
Camarma de Esteruelas,42.13
Campo Real,66.99
Canencia,48.76
Carabaña,48.76
Casarrubuelos,42.13
Cenicientos,48.76
Cercedilla,64.24
Cervera de Buitrago,48.76
Chapinería,48.76
Chinchón,42.13
Ciempozuelos,48.6
Cobeña,42.13
Collado Mediano,42.13
Collado Villalba,66.4
Colmenar Viejo,46.74
Colmenar de Oreja,61.16
Colmenar del Arroyo,48.76
Colmenarejo,42.13
Corpa,48.76
Coslada,100.0
Cubas de la Sagra,42.13
Daganzo de Arriba,42.13
Escorial (El),42.13
Estremera,48.76
Fresnedillas de la Oliva,48.76
Fresno de Torote,48.76
Fuenlabrada,49.96
Fuente el Saz de Jarama,42.13
Fuentidueña de Tajo,48.76
Galapagar,46.81
Garganta de los Montes,48.76
Gargantilla del Lozoya y Pinilla de Buitrago,48.76
Gascones,48.76
Getafe,71.19
Griñón,57.91
Guadalix de la Sierra,42.13
Guadarrama,52.04
Hiruela (La),48.76
Horcajo de la Sierra-Aoslos,48.76
Horcajuelo de la Sierra,48.76
Hoyo de Manzanares,42.13
Humanes de Madrid,50.56
Leganés,69.17
Loeches,42.13
Lozoya,48.76
Lozoyuela-Navas-Sieteiglesias,48.76
Madarcos,48.76
Majadahonda,31.25
Manzanares el Real,59.84
Meco,52.88
Mejorada del Campo,48.99
Miraflores de la Sierra,42.13
Molar (El),58.95
Molinos (Los),42.13
Montejo de la Sierra,48.76
Moraleja de Enmedio,42.13
Moralzarzal,42.13
Morata de Tajuña,42.13
Móstoles,60.6
Navacerrada,42.13
Navalafuente,48.76
Navalagamella,42.13
Navalcarnero,47.31
Navarredonda y San Mamés,48.76
Navas del Rey,92.65
Nuevo Baztán,42.13
Olmeda de las Fuentes,48.76
Orusco de Tajuña,48.76
Paracuellos de Jarama,48.34
Parla,36.02
Patones,48.76
Pedrezuela,42.13
Pelayos de la Presa,42.13
Perales de Tajuña,94.86
Pezuela de las Torres,48.76
Pinilla del Valle,48.76
Pinto,48.02
Piñuécar-Gandullas,48.76
Pozuelo de Alarcón,43.76
Pozuelo del Rey,48.76
Prádena del Rincón,48.76
Puebla de la Sierra,48.76
Puentes Viejas,48.76
Quijorna,42.13
Rascafría,100.0
Redueña,48.76
Ribatejada,48.76
Rivas-Vaciamadrid,35.54
Robledillo de la Jara,48.76
Robledo de Chavela,77.92
Robregordo,48.76
Rozas de Madrid (Las),17.41
Rozas de Puerto Real,48.76
San Agustín del Guadalix,42.13
San Fernando de Henares,50.81
San Lorenzo de El Escorial,51.16
San Martín de Valdeiglesias,60.59
San Martín de la Vega,50.29
San Sebastián de los Reyes,39.84
Santa María de la Alameda,48.76
Santorcaz,48.76
Santos de la Humosa (Los),48.76
Serna del Monte (La),48.76
Serranillos del Valle,42.13
Sevilla la Nueva,42.13
Somosierra,48.76
Soto del Real,60.04
Talamanca de Jarama,42.13
Tielmes,48.76
Titulcia,48.76
Torrejón de Ardoz,61.81
Torrejón de Velasco,42.13
Torrejón de la Calzada,42.13
Torrelaguna,76.01
Torrelodones,48.81
Torremocha de Jarama,48.76
Torres de la Alameda,63.93
Tres Cantos,52.13
Valdaracete,48.76
Valdeavero,48.76
Valdelaguna,48.76
Valdemanco,48.76
Valdemaqueda,48.76
Valdemorillo,42.13
Valdemoro,24.68
Valdeolmos-Alalpardo,42.13
Valdepiélagos,48.76
Valdetorres de Jarama,42.13
Valdilecha,42.13
Valverde de Alcalá,48.76
Velilla de San Antonio,42.13
Vellón (El),48.76
Venturada,48.76
Villa del Prado,64.87
Villaconejos,42.13
Villalbilla,42.13
Villamanrique de Tajo,48.76
Villamanta,48.76
Villamantilla,48.76
Villanueva de Perales,48.76
Villanueva de la Cañada,49.24
Villanueva del Pardillo,42.13
Villar del Olmo,48.76
Villarejo de Salvanés,63.54
Villaviciosa de Odón,47.91
Villavieja del Lozoya,48.76
Zarzalejo,48.76
