Nombre,clinicaDental_10
Acebeda (La),44.3
Ajalvir,40.42
Alameda del Valle,44.3
Alamo (El),22.69
Alcalá de Henares,56.2
Alcobendas,60.6
Alcorcón,67.79
Aldea del Fresno,47.89
Algete,51.21
Alpedrete,50.44
Ambite,44.3
Anchuelo,44.3
Aranjuez,51.96
Arganda del Rey,47.79
Arroyomolinos,45.87
Atazar (El),44.3
Batres,44.3
Becerril de la Sierra,48.93
Belmonte de Tajo,86.92
Berzosa del Lozoya,44.3
Berrueco (El),44.3
Boadilla del Monte,52.14
Boalo (El),22.69
Braojos,44.3
Brea de Tajo,44.3
Brunete,68.49
Buitrago del Lozoya,85.72
Bustarviejo,58.74
Cabanillas de la Sierra,44.3
Cabrera (La),22.69
Cadalso de los Vidrios,49.41
Camarma de Esteruelas,65.25
Campo Real,48.05
Canencia,44.3
Carabaña,61.67
Casarrubuelos,43.17
Cenicientos,63.32
Cercedilla,45.25
Cervera de Buitrago,44.3
Ciempozuelos,45.79
Cobeña,44.92
Colmenar del Arroyo,64.58
Colmenar de Oreja,51.8
Colmenarejo,58.54
Colmenar Viejo,41.27
Collado Mediano,45.55
Collado Villalba,55.88
Corpa,44.3
Coslada,52.22
Cubas de la Sagra,35.03
Chapinería,75.23
Chinchón,37.51
Daganzo de Arriba,71.04
Escorial (El),22.69
Estremera,100.0
Fresnedillas de la Oliva,44.3
Fresno de Torote,44.3
Fuenlabrada,53.98
Fuente el Saz de Jarama,69.44
Fuentidueña de Tajo,79.4
Galapagar,53.68
Garganta de los Montes,44.3
Gargantilla del Lozoya y Pinilla de Buitrago,44.3
Gascones,44.3
Getafe,53.71
Griñón,54.88
Guadalix de la Sierra,47.67
Guadarrama,47.96
Hiruela (La),44.3
Horcajo de la Sierra-Aoslos,44.3
Horcajuelo de la Sierra,44.3
Hoyo de Manzanares,41.48
Humanes de Madrid,57.06
Leganés,60.64
Loeches,41.44
Lozoya,44.3
Madarcos,44.3
Majadahonda,65.51
Manzanares el Real,49.78
Meco,50.1
Mejorada del Campo,61.16
Miraflores de la Sierra,46.85
Molar (El),22.69
Molinos (Los),22.69
Montejo de la Sierra,44.3
Moraleja de Enmedio,69.09
Moralzarzal,75.91
Morata de Tajuña,43.42
Móstoles,59.58
Navacerrada,75.12
Navalafuente,68.74
Navalagamella,50.41
Navalcarnero,70.19
Navarredonda y San Mamés,44.3
Navas del Rey,100.0
Nuevo Baztán,46.19
Olmeda de las Fuentes,44.3
Orusco de Tajuña,44.3
Paracuellos de Jarama,44.85
Parla,34.19
Patones,44.3
Pedrezuela,36.03
Pelayos de la Presa,22.69
Perales de Tajuña,49.58
Pezuela de las Torres,44.3
Pinilla del Valle,44.3
Pinto,49.04
Piñuécar-Gandullas,44.3
Pozuelo de Alarcón,46.09
Pozuelo del Rey,44.3
Prádena del Rincón,44.3
Puebla de la Sierra,44.3
Quijorna,44.25
Rascafría,92.17
Redueña,44.3
Ribatejada,44.3
Rivas-Vaciamadrid,47.14
Robledillo de la Jara,44.3
Robledo de Chavela,59.2
Robregordo,44.3
Rozas de Madrid (Las),0.0
Rozas de Puerto Real,44.3
San Agustín del Guadalix,54.03
San Fernando de Henares,58.09
San Lorenzo de El Escorial,59.52
San Martín de la Vega,51.81
San Martín de Valdeiglesias,79.19
San Sebastián de los Reyes,54.73
Santa María de la Alameda,44.3
Santorcaz,44.3
Santos de la Humosa (Los),44.3
Serna del Monte (La),44.3
Serranillos del Valle,59.91
Sevilla la Nueva,58.42
Somosierra,44.3
Soto del Real,40.96
Talamanca de Jarama,41.72
Tielmes,58.84
Titulcia,44.3
Torrejón de Ardoz,42.54
Torrejón de la Calzada,55.93
Torrejón de Velasco,57.94
Torrelaguna,22.69
Torrelodones,49.94
Torremocha de Jarama,44.3
Torres de la Alameda,67.16
Valdaracete,44.3
Valdeavero,44.3
Valdelaguna,44.3
Valdemanco,44.3
Valdemaqueda,44.3
Valdemorillo,53.14
Valdemoro,46.98
Valdeolmos-Alalpardo,41.57
Valdepiélagos,44.3
Valdetorres de Jarama,22.69
Valdilecha,22.69
Valverde de Alcalá,44.3
Velilla de San Antonio,53.49
Vellón (El),44.3
Venturada,44.3
Villaconejos,71.86
Villa del Prado,45.88
Villalbilla,22.69
Villamanrique de Tajo,44.3
Villamanta,73.25
Villamantilla,44.3
Villanueva del Pardillo,75.15
Villanueva de Perales,68.71
Villar del Olmo,44.3
Villarejo de Salvanés,44.52
Villanueva de la Cañada,77.05
Villaviciosa de Odón,72.78
Villavieja del Lozoya,44.3
Zarzalejo,66.1
Lozoyuela-Navas-Sieteiglesias,44.3
Puentes Viejas,44.3
Tres Cantos,50.03
Madrid,0.0
