Nombre,consultaPrimaria_100
Acebeda (La),38.64
Ajalvir,71.33
Alameda del Valle,56.2
Alamo (El),35.89
Alcalá de Henares,42.22
Alcobendas,42.22
Alcorcón,42.22
Aldea del Fresno,86.25
Algete,39.96
Alpedrete,48.83
Ambite,46.67
Anchuelo,42.66
Aranjuez,42.22
Arganda del Rey,100.0
Arroyomolinos,40.52
Atazar (El),38.64
Batres,42.1
Becerril de la Sierra,66.48
Belmonte de Tajo,41.56
Berzosa del Lozoya,53.18
Berrueco (El),38.64
Boadilla del Monte,42.22
Boalo (El),35.89
Braojos,53.98
Brea de Tajo,48.31
Brunete,51.14
Buitrago del Lozoya,40.91
Bustarviejo,40.22
Cabanillas de la Sierra,43.4
Cabrera (La),35.89
Cadalso de los Vidrios,35.89
Camarma de Esteruelas,35.89
Campo Real,35.89
Canencia,45.8
Carabaña,41.02
Casarrubuelos,76.81
Cenicientos,41.77
Cercedilla,35.89
Cervera de Buitrago,59.5
Ciempozuelos,35.89
Cobeña,50.7
Colmenar del Arroyo,41.97
Colmenar de Oreja,35.89
Colmenarejo,59.77
Colmenar Viejo,42.22
Collado Mediano,62.53
Collado Villalba,68.0
Corpa,44.29
Coslada,77.7
Cubas de la Sagra,35.89
Chapinería,40.76
Chinchón,35.89
Daganzo de Arriba,57.36
Escorial (El),35.89
Estremera,42.45
Fresnedillas de la Oliva,41.69
Fresno de Torote,40.4
Fuenlabrada,57.24
Fuente el Saz de Jarama,63.14
Fuentidueña de Tajo,41.04
Galapagar,35.89
Garganta de los Montes,60.17
Gargantilla del Lozoya y Pinilla de Buitrago,61.2
Gascones,57.38
Getafe,42.22
Griñón,35.89
Guadalix de la Sierra,60.85
Guadarrama,35.89
Hiruela (La),38.64
Horcajo de la Sierra-Aoslos,67.48
Horcajuelo de la Sierra,78.99
Hoyo de Manzanares,54.67
Humanes de Madrid,44.48
Leganés,42.22
Loeches,54.62
Lozoya,44.08
Madarcos,86.63
Majadahonda,42.22
Manzanares el Real,35.89
Meco,35.89
Mejorada del Campo,38.22
Miraflores de la Sierra,60.03
Molar (El),35.89
Molinos (Los),35.89
Montejo de la Sierra,47.62
Moraleja de Enmedio,66.8
Moralzarzal,51.64
Morata de Tajuña,63.51
Móstoles,42.22
Navacerrada,88.27
Navalafuente,40.65
Navalagamella,91.28
Navalcarnero,35.89
Navarredonda y San Mamés,83.14
Navas del Rey,35.89
Nuevo Baztán,35.89
Olmeda de las Fuentes,52.36
Orusco de Tajuña,42.34
Paracuellos de Jarama,40.11
Parla,42.22
Patones,47.94
Pedrezuela,62.54
Pelayos de la Presa,100.0
Perales de Tajuña,35.89
Pezuela de las Torres,44.3
Pinilla del Valle,77.83
Pinto,42.22
Piñuécar-Gandullas,87.06
Pozuelo de Alarcón,42.22
Pozuelo del Rey,42.97
Prádena del Rincón,62.81
Puebla de la Sierra,86.8
Quijorna,78.96
Rascafría,40.61
Redueña,54.19
Ribatejada,43.61
Rivas-Vaciamadrid,87.19
Robledillo de la Jara,72.83
Robledo de Chavela,35.89
Robregordo,100.0
Rozas de Madrid (Las),42.22
Rozas de Puerto Real,50.22
San Agustín del Guadalix,54.67
San Fernando de Henares,35.89
San Lorenzo de El Escorial,35.89
San Martín de la Vega,35.89
San Martín de Valdeiglesias,35.89
San Sebastián de los Reyes,42.22
Santa María de la Alameda,51.19
Santorcaz,44.24
Santos de la Humosa (Los),38.64
Serna del Monte (La),38.64
Serranillos del Valle,79.28
Sevilla la Nueva,35.89
Somosierra,74.0
Soto del Real,35.89
Talamanca de Jarama,61.24
Tielmes,40.63
Titulcia,42.67
Torrejón de Ardoz,42.22
Torrejón de la Calzada,55.26
Torrejón de Velasco,76.98
Torrelaguna,35.89
Torrelodones,35.89
Torremocha de Jarama,42.59
Torres de la Alameda,35.89
Valdaracete,47.32
Valdeavero,41.09
Valdelaguna,43.76
Valdemanco,41.83
Valdemaqueda,46.7
Valdemorillo,50.09
Valdemoro,42.22
Valdeolmos-Alalpardo,86.19
Valdepiélagos,45.87
Valdetorres de Jarama,64.46
Valdilecha,71.65
Valverde de Alcalá,48.76
Velilla de San Antonio,35.89
Vellón (El),38.64
Venturada,41.7
Villaconejos,85.01
Villa del Prado,35.89
Villalbilla,64.61
Villamanrique de Tajo,45.42
Villamanta,40.22
Villamantilla,42.09
Villanueva del Pardillo,48.6
Villanueva de Perales,41.31
Villar del Olmo,41.1
Villarejo de Salvanés,35.89
Villanueva de la Cañada,43.13
Villaviciosa de Odón,35.89
Villavieja del Lozoya,49.01
Zarzalejo,43.42
Lozoyuela-Navas-Sieteiglesias,46.94
Puentes Viejas,54.53
Tres Cantos,42.22
Madrid,0.0
