Nombre,otroConsulta_100
Acebeda (La),46.13
Ajalvir,26.18
Alameda del Valle,46.13
Alamo (El),26.18
Alcalá de Henares,54.36
Alcobendas,52.75
Alcorcón,65.47
Aldea del Fresno,40.55
Algete,54.06
Alpedrete,57.82
Ambite,46.13
Anchuelo,46.13
Aranjuez,66.08
Arganda del Rey,32.93
Arroyomolinos,63.19
Atazar (El),46.13
Batres,46.13
Becerril de la Sierra,41.14
Belmonte de Tajo,46.13
Berzosa del Lozoya,46.13
Berrueco (El),46.13
Boadilla del Monte,59.54
Boalo (El),26.18
Braojos,46.13
Brea de Tajo,46.13
Brunete,69.7
Buitrago del Lozoya,46.13
Bustarviejo,56.88
Cabanillas de la Sierra,78.45
Cabrera (La),26.18
Cadalso de los Vidrios,26.18
Camarma de Esteruelas,44.38
Campo Real,47.87
Canencia,46.13
Carabaña,46.13
Casarrubuelos,37.86
Cenicientos,46.13
Cercedilla,58.33
Cervera de Buitrago,46.13
Ciempozuelos,41.23
Cobeña,70.55
Colmenar del Arroyo,46.13
Colmenar de Oreja,37.24
Colmenarejo,36.4
Colmenar Viejo,48.12
Collado Mediano,71.79
Collado Villalba,52.9
Corpa,46.13
Coslada,34.79
Cubas de la Sagra,40.25
Chapinería,69.15
Chinchón,43.08
Daganzo de Arriba,44.56
Escorial (El),26.18
Estremera,46.13
Fresnedillas de la Oliva,62.68
Fresno de Torote,58.06
Fuenlabrada,30.48
Fuente el Saz de Jarama,39.51
Fuentidueña de Tajo,59.19
Galapagar,42.49
Garganta de los Montes,46.13
Gargantilla del Lozoya y Pinilla de Buitrago,46.13
Gascones,46.13
Getafe,39.91
Griñón,67.47
Guadalix de la Sierra,83.17
Guadarrama,60.77
Hiruela (La),46.13
Horcajo de la Sierra-Aoslos,46.13
Horcajuelo de la Sierra,46.13
Hoyo de Manzanares,42.25
Humanes de Madrid,33.53
Leganés,43.42
Loeches,47.56
Lozoya,46.13
Madarcos,46.13
Majadahonda,84.61
Manzanares el Real,77.68
Meco,41.81
Mejorada del Campo,46.12
Miraflores de la Sierra,60.62
Molar (El),26.18
Molinos (Los),26.18
Montejo de la Sierra,46.13
Moraleja de Enmedio,52.64
Moralzarzal,73.38
Morata de Tajuña,49.82
Móstoles,45.49
Navacerrada,71.02
Navalafuente,46.13
Navalagamella,26.18
Navalcarnero,69.82
Navarredonda y San Mamés,46.13
Navas del Rey,40.87
Nuevo Baztán,73.09
Olmeda de las Fuentes,46.13
Orusco de Tajuña,46.13
Paracuellos de Jarama,40.62
Parla,21.32
Patones,46.13
Pedrezuela,41.39
Pelayos de la Presa,41.86
Perales de Tajuña,26.18
Pezuela de las Torres,46.13
Pinilla del Valle,46.13
Pinto,72.33
Piñuécar-Gandullas,46.13
Pozuelo de Alarcón,56.29
Pozuelo del Rey,46.13
Prádena del Rincón,46.13
Puebla de la Sierra,46.13
Quijorna,50.76
Rascafría,46.13
Redueña,46.13
Ribatejada,46.13
Rivas-Vaciamadrid,57.68
Robledillo de la Jara,46.13
Robledo de Chavela,57.4
Robregordo,46.13
Rozas de Madrid (Las),0.0
Rozas de Puerto Real,98.57
San Agustín del Guadalix,90.5
San Fernando de Henares,55.2
San Lorenzo de El Escorial,73.43
San Martín de la Vega,47.53
San Martín de Valdeiglesias,47.66
San Sebastián de los Reyes,46.09
Santa María de la Alameda,46.13
Santorcaz,46.13
Santos de la Humosa (Los),46.13
Serna del Monte (La),46.13
Serranillos del Valle,26.18
Sevilla la Nueva,51.64
Somosierra,46.13
Soto del Real,57.43
Talamanca de Jarama,26.18
Tielmes,46.13
Titulcia,68.06
Torrejón de Ardoz,32.52
Torrejón de la Calzada,54.61
Torrejón de Velasco,66.38
Torrelaguna,85.3
Torrelodones,100.0
Torremocha de Jarama,46.13
Torres de la Alameda,38.86
Valdaracete,46.13
Valdeavero,46.13
Valdelaguna,46.13
Valdemanco,46.13
Valdemaqueda,46.13
Valdemorillo,50.48
Valdemoro,57.9
Valdeolmos-Alalpardo,47.71
Valdepiélagos,46.13
Valdetorres de Jarama,35.96
Valdilecha,41.48
Valverde de Alcalá,46.13
Velilla de San Antonio,57.79
Vellón (El),46.13
Venturada,69.9
Villaconejos,26.18
Villa del Prado,52.63
Villalbilla,45.3
Villamanrique de Tajo,46.13
Villamanta,100.0
Villamantilla,46.13
Villanueva del Pardillo,47.93
Villanueva de Perales,64.3
Villar del Olmo,46.13
Villarejo de Salvanés,51.08
Villanueva de la Cañada,81.97
Villaviciosa de Odón,73.22
Villavieja del Lozoya,46.13
Zarzalejo,46.13
Lozoyuela-Navas-Sieteiglesias,66.64
Puentes Viejas,46.13
Tres Cantos,95.04
Madrid,0.0
