Nombre,distanciaCentro
Acebeda (La),21.38
Ajalvir,59.73
Alameda del Valle,16.06
Alamo (El),51.93
Alcalá de Henares,32.97
Alcobendas,62.73
Alcorcón,62.95
Aldea del Fresno,36.85
Algete,62.08
Alpedrete,49.9
Ambite,68.94
Anchuelo,86.69
Aranjuez,0.0
Arganda del Rey,41.38
Arroyomolinos,63.49
Atazar (El),26.51
Batres,92.9
Becerril de la Sierra,42.88
Belmonte de Tajo,65.11
Berrueco (El),52.62
Berzosa del Lozoya,30.21
Boadilla del Monte,49.53
Boalo (El),37.52
Braojos,28.72
Brea de Tajo,54.28
Brunete,56.05
Buitrago del Lozoya,38.46
Bustarviejo,54.91
Cabanillas de la Sierra,67.95
Cabrera (La),32.05
Cadalso de los Vidrios,0.0
Camarma de Esteruelas,56.96
Campo Real,60.04
Canencia,30.26
Carabaña,70.83
Casarrubuelos,60.8
Cenicientos,12.0
Cercedilla,35.76
Cervera de Buitrago,30.37
Chapinería,65.45
Chinchón,48.14
Ciempozuelos,59.05
Cobeña,60.08
Collado Mediano,46.09
Collado Villalba,12.95
Colmenar Viejo,32.56
Colmenar de Oreja,35.54
Colmenar del Arroyo,59.92
Colmenarejo,57.35
Corpa,80.61
Coslada,73.57
Cubas de la Sagra,58.37
Daganzo de Arriba,57.91
Escorial (El),41.93
Estremera,43.66
Fresnedillas de la Oliva,47.81
Fresno de Torote,79.93
Fuenlabrada,47.14
Fuente el Saz de Jarama,58.36
Fuentidueña de Tajo,56.37
Galapagar,59.08
Garganta de los Montes,34.31
Gargantilla del Lozoya y Pinilla de Buitrago,31.33
Gascones,33.31
Getafe,64.32
Griñón,61.45
Guadalix de la Sierra,33.77
Guadarrama,42.5
Hiruela (La),8.31
Horcajo de la Sierra-Aoslos,19.97
Horcajuelo de la Sierra,12.83
Hoyo de Manzanares,57.92
Humanes de Madrid,63.72
Leganés,65.48
Loeches,66.76
Lozoya,25.43
Lozoyuela-Navas-Sieteiglesias,50.14
Madarcos,15.71
Majadahonda,59.64
Manzanares el Real,41.31
Meco,44.47
Mejorada del Campo,74.78
Miraflores de la Sierra,37.46
Molar (El),50.26
Molinos (Los),37.2
Montejo de la Sierra,22.54
Moraleja de Enmedio,68.13
Moralzarzal,47.01
Morata de Tajuña,59.92
Móstoles,49.88
Navacerrada,40.58
Navalafuente,61.81
Navalagamella,35.96
Navalcarnero,57.9
Navarredonda y San Mamés,25.84
Navas del Rey,31.97
Nuevo Baztán,45.2
Olmeda de las Fuentes,70.88
Orusco de Tajuña,65.17
Paracuellos de Jarama,70.84
Parla,51.53
Patones,53.25
Pedrezuela,47.93
Pelayos de la Presa,19.56
Perales de Tajuña,54.04
Pezuela de las Torres,73.47
Pinilla del Valle,17.38
Pinto,51.8
Piñuécar-Gandullas,29.08
Pozuelo de Alarcón,63.01
Pozuelo del Rey,87.67
Prádena del Rincón,25.75
Puebla de la Sierra,0.0
Puentes Viejas,40.14
Quijorna,47.74
Rascafría,11.62
Redueña,67.14
Ribatejada,73.24
Rivas-Vaciamadrid,66.65
Robledillo de la Jara,34.62
Robledo de Chavela,16.32
Robregordo,19.89
Rozas de Madrid (Las),59.07
Rozas de Puerto Real,16.13
San Agustín del Guadalix,58.41
San Fernando de Henares,77.71
San Lorenzo de El Escorial,29.67
San Martín de Valdeiglesias,12.14
San Martín de la Vega,64.63
San Sebastián de los Reyes,58.46
Santa María de la Alameda,47.3
Santorcaz,81.72
Santos de la Humosa (Los),80.64
Serna del Monte (La),32.15
Serranillos del Valle,58.89
Sevilla la Nueva,51.1
Somosierra,14.62
Soto del Real,49.59
Talamanca de Jarama,45.93
Tielmes,82.18
Titulcia,89.18
Torrejón de Ardoz,53.49
Torrejón de Velasco,65.59
Torrejón de la Calzada,67.53
Torrelaguna,32.13
Torrelodones,64.78
Torremocha de Jarama,54.96
Torres de la Alameda,57.41
Tres Cantos,49.72
Valdaracete,63.01
Valdeavero,78.67
Valdelaguna,74.69
Valdemanco,54.14
Valdemaqueda,32.9
Valdemorillo,44.41
Valdemoro,41.16
Valdeolmos-Alalpardo,57.34
Valdepiélagos,73.57
Valdetorres de Jarama,52.09
Valdilecha,47.84
Valverde de Alcalá,86.21
Velilla de San Antonio,74.31
Vellón (El),77.97
Venturada,71.93
Villa del Prado,25.01
Villaconejos,37.35
Villalbilla,54.58
Villamanrique de Tajo,55.5
Villamanta,79.61
Villamantilla,70.18
Villanueva de Perales,75.34
Villanueva de la Cañada,50.74
Villanueva del Pardillo,66.33
Villar del Olmo,77.18
Villarejo de Salvanés,42.63
Villaviciosa de Odón,69.24
Villavieja del Lozoya,33.32
Zarzalejo,54.12
