Nombre,estacionbus_100
Acebeda (La),91.27
Ajalvir,60.9
Alameda del Valle,49.51
Alamo (El),46.11
Alcalá de Henares,39.63
Alcobendas,50.77
Alcorcón,27.89
Aldea del Fresno,61.43
Algete,40.96
Alpedrete,37.43
Ambite,50.43
Anchuelo,36.89
Aranjuez,64.94
Arganda del Rey,75.61
Arroyomolinos,51.58
Atazar (El),47.86
Batres,43.9
Becerril de la Sierra,47.51
Belmonte de Tajo,38.68
Berrueco (El),45.23
Berzosa del Lozoya,58.75
Boadilla del Monte,84.83
Boalo (El),57.33
Braojos,41.81
Brea de Tajo,42.81
Brunete,50.43
Buitrago del Lozoya,41.64
Bustarviejo,44.09
Cabanillas de la Sierra,46.51
Cabrera (La),61.45
Cadalso de los Vidrios,64.53
Camarma de Esteruelas,49.11
Campo Real,30.83
Canencia,38.68
Carabaña,45.77
Casarrubuelos,49.26
Cenicientos,43.06
Cercedilla,100.0
Cervera de Buitrago,73.63
Chapinería,36.47
Chinchón,79.67
Ciempozuelos,39.03
Cobeña,39.48
Collado Mediano,42.97
Collado Villalba,46.27
Colmenar Viejo,43.64
Colmenar de Oreja,41.09
Colmenar del Arroyo,44.23
Colmenarejo,44.85
Corpa,39.09
Coslada,44.14
Cubas de la Sagra,46.9
Daganzo de Arriba,37.1
Escorial (El),46.2
Estremera,43.64
Fresnedillas de la Oliva,47.02
Fresno de Torote,44.8
Fuenlabrada,26.43
Fuente el Saz de Jarama,51.63
Fuentidueña de Tajo,39.8
Galapagar,47.54
Garganta de los Montes,74.2
Gargantilla del Lozoya y Pinilla de Buitrago,74.17
Gascones,46.77
Getafe,43.92
Griñón,48.91
Guadalix de la Sierra,40.46
Guadarrama,52.99
Hiruela (La),52.67
Horcajo de la Sierra-Aoslos,67.64
Horcajuelo de la Sierra,47.42
Hoyo de Manzanares,59.92
Humanes de Madrid,43.79
Leganés,35.87
Loeches,58.11
Lozoya,39.97
Lozoyuela-Navas-Sieteiglesias,53.47
Madarcos,53.14
Majadahonda,65.86
Manzanares el Real,30.02
Meco,38.04
Mejorada del Campo,36.69
Miraflores de la Sierra,36.89
Molar (El),31.87
Molinos (Los),60.84
Montejo de la Sierra,45.71
Moraleja de Enmedio,86.03
Moralzarzal,35.83
Morata de Tajuña,45.22
Móstoles,26.96
Navacerrada,73.09
Navalafuente,42.78
Navalagamella,37.92
Navalcarnero,45.62
Navarredonda y San Mamés,77.14
Navas del Rey,39.82
Nuevo Baztán,69.39
Olmeda de las Fuentes,48.27
Orusco de Tajuña,39.48
Paracuellos de Jarama,61.02
Parla,19.21
Patones,57.8
Pedrezuela,55.56
Pelayos de la Presa,41.6
Perales de Tajuña,54.1
Pezuela de las Torres,41.05
Pinilla del Valle,54.15
Pinto,35.87
Piñuécar-Gandullas,77.6
Pozuelo de Alarcón,100.0
Pozuelo del Rey,40.91
Prádena del Rincón,52.45
Puebla de la Sierra,48.46
Puentes Viejas,57.11
Quijorna,42.25
Rascafría,44.52
Redueña,40.05
Ribatejada,59.0
Rivas-Vaciamadrid,53.23
Robledillo de la Jara,100.0
Robledo de Chavela,96.61
Robregordo,98.5
Rozas de Madrid (Las),68.54
Rozas de Puerto Real,53.08
San Agustín del Guadalix,30.76
San Fernando de Henares,46.0
San Lorenzo de El Escorial,53.38
San Martín de Valdeiglesias,31.69
San Martín de la Vega,44.93
San Sebastián de los Reyes,43.88
Santa María de la Alameda,53.08
Santorcaz,39.92
Santos de la Humosa (Los),37.33
Serna del Monte (La),82.57
Serranillos del Valle,64.65
Sevilla la Nueva,40.2
Somosierra,65.04
Soto del Real,46.39
Talamanca de Jarama,39.68
Tielmes,39.59
Titulcia,37.8
Torrejón de Ardoz,22.57
Torrejón de Velasco,42.6
Torrejón de la Calzada,35.61
Torrelaguna,35.03
Torrelodones,73.77
Torremocha de Jarama,44.62
Torres de la Alameda,50.75
Tres Cantos,80.63
Valdaracete,51.59
Valdeavero,37.38
Valdelaguna,43.08
Valdemanco,42.94
Valdemaqueda,51.05
Valdemorillo,64.59
Valdemoro,49.32
Valdeolmos-Alalpardo,55.95
Valdepiélagos,37.97
Valdetorres de Jarama,59.15
Valdilecha,33.26
Valverde de Alcalá,40.61
Velilla de San Antonio,35.92
Vellón (El),43.85
Venturada,39.86
Villa del Prado,51.23
Villaconejos,41.48
Villalbilla,72.43
Villamanrique de Tajo,42.16
Villamanta,40.89
Villamantilla,39.91
Villanueva de Perales,41.9
Villanueva de la Cañada,63.29
Villanueva del Pardillo,37.46
Villar del Olmo,36.54
Villarejo de Salvanés,46.45
Villaviciosa de Odón,55.43
Villavieja del Lozoya,51.72
Zarzalejo,45.54
