Nombre,servicioCoches_100
Acebeda (La),47.43
Ajalvir,52.99
Alameda del Valle,47.4
Alamo (El),47.62
Alcalá de Henares,46.15
Alcobendas,68.23
Alcorcón,45.38
Aldea del Fresno,47.84
Algete,48.14
Alpedrete,47.96
Ambite,47.38
Anchuelo,47.44
Aranjuez,45.26
Arganda del Rey,46.4
Arroyomolinos,47.88
Atazar (El),47.61
Batres,47.5
Becerril de la Sierra,47.94
Belmonte de Tajo,47.43
Berrueco (El),47.37
Berzosa del Lozoya,47.38
Boadilla del Monte,59.41
Boalo (El),47.88
Braojos,47.5
Brea de Tajo,47.42
Brunete,69.35
Buitrago del Lozoya,47.67
Bustarviejo,47.38
Cabanillas de la Sierra,47.44
Cabrera (La),48.01
Cadalso de los Vidrios,47.92
Camarma de Esteruelas,48.32
Campo Real,47.88
Canencia,47.46
Carabaña,47.4
Casarrubuelos,49.0
Cenicientos,47.36
Cercedilla,47.72
Cervera de Buitrago,47.64
Chapinería,47.39
Chinchón,47.75
Ciempozuelos,47.6
Cobeña,48.15
Collado Mediano,55.8
Collado Villalba,46.56
Colmenar Viejo,45.8
Colmenar de Oreja,47.86
Colmenar del Arroyo,94.98
Colmenarejo,47.91
Corpa,47.44
Coslada,47.27
Cubas de la Sagra,48.04
Daganzo de Arriba,48.23
Escorial (El),48.09
Estremera,47.43
Fresnedillas de la Oliva,47.41
Fresno de Torote,47.49
Fuenlabrada,46.68
Fuente el Saz de Jarama,48.13
Fuentidueña de Tajo,47.43
Galapagar,47.95
Garganta de los Montes,47.45
Gargantilla del Lozoya y Pinilla de Buitrago,47.44
Gascones,47.48
Getafe,45.46
Griñón,48.35
Guadalix de la Sierra,47.91
Guadarrama,47.86
Hiruela (La),89.66
Horcajo de la Sierra-Aoslos,47.45
Horcajuelo de la Sierra,47.4
Hoyo de Manzanares,47.98
Humanes de Madrid,48.19
Leganés,45.42
Loeches,48.29
Lozoya,47.43
Lozoyuela-Navas-Sieteiglesias,47.41
Madarcos,47.46
Majadahonda,100.0
Manzanares el Real,47.78
Meco,48.33
Mejorada del Campo,48.07
Miraflores de la Sierra,47.82
Molar (El),47.77
Molinos (Los),47.9
Montejo de la Sierra,47.4
Moraleja de Enmedio,48.4
Moralzarzal,66.91
Morata de Tajuña,47.74
Móstoles,45.88
Navacerrada,81.01
Navalafuente,47.44
Navalagamella,48.02
Navalcarnero,47.61
Navarredonda y San Mamés,47.47
Navas del Rey,53.82
Nuevo Baztán,48.43
Olmeda de las Fuentes,47.48
Orusco de Tajuña,47.38
Paracuellos de Jarama,47.78
Parla,44.55
Patones,77.23
Pedrezuela,47.82
Pelayos de la Presa,47.74
Perales de Tajuña,47.84
Pezuela de las Torres,47.46
Pinilla del Valle,47.45
Pinto,46.14
Piñuécar-Gandullas,47.43
Pozuelo de Alarcón,47.51
Pozuelo del Rey,47.46
Prádena del Rincón,47.35
Puebla de la Sierra,47.33
Puentes Viejas,47.44
Quijorna,47.95
Rascafría,47.43
Redueña,50.06
Ribatejada,47.43
Rivas-Vaciamadrid,46.23
Robledillo de la Jara,47.36
Robledo de Chavela,100.0
Robregordo,47.28
Rozas de Madrid (Las),46.92
Rozas de Puerto Real,100.0
San Agustín del Guadalix,47.97
San Fernando de Henares,48.02
San Lorenzo de El Escorial,47.7
San Martín de Valdeiglesias,47.66
San Martín de la Vega,48.09
San Sebastián de los Reyes,46.09
Santa María de la Alameda,47.47
Santorcaz,47.51
Santos de la Humosa (Los),47.43
Serna del Monte (La),47.52
Serranillos del Valle,48.72
Sevilla la Nueva,48.11
Somosierra,47.46
Soto del Real,48.01
Talamanca de Jarama,47.93
Tielmes,47.44
Titulcia,47.44
Torrejón de Ardoz,46.45
Torrejón de Velasco,48.12
Torrejón de la Calzada,48.04
Torrelaguna,60.4
Torrelodones,47.97
Torremocha de Jarama,49.06
Torres de la Alameda,48.22
Tres Cantos,46.7
Valdaracete,47.42
Valdeavero,47.47
Valdelaguna,47.42
Valdemanco,47.42
Valdemaqueda,47.4
Valdemorillo,48.27
Valdemoro,45.51
Valdeolmos-Alalpardo,47.93
Valdepiélagos,47.52
Valdetorres de Jarama,48.03
Valdilecha,47.88
Valverde de Alcalá,47.54
Velilla de San Antonio,48.11
Vellón (El),47.44
Venturada,64.88
Villa del Prado,47.63
Villaconejos,48.14
Villalbilla,48.17
Villamanrique de Tajo,48.5
Villamanta,47.41
Villamantilla,47.41
Villanueva de Perales,49.66
Villanueva de la Cañada,47.85
Villanueva del Pardillo,47.75
Villar del Olmo,47.48
Villarejo de Salvanés,47.91
Villaviciosa de Odón,48.09
Villavieja del Lozoya,47.41
Zarzalejo,47.43
Madrid,0.0
