Nombre,grupo,educacion,salud,transporte,economia,housing,mean_per_row,total
Acebeda (La),1.0,0.6097919699175157,0.7173449522573467,0.7562325080731969,0.55128,0.35544,0.5980178860496119,0.7291528794372883
Ajalvir,2.0,0.5833667602620672,0.5731655487185172,0.6802213357354266,0.5411000000000001,0.32880429280145795,0.5413315875034939,0.6783057936527447
Alameda del Valle,1.0,0.6097919699175157,0.870098266431816,0.6017007534983854,0.46007999999999993,0.6147,0.6312741979695434,0.7697017261550116
Alamo (El),2.0,0.6496055622409413,0.44013895818319565,0.596860120962553,0.5318999999999999,0.4075529006783437,0.5252115084130067,0.6581068189510377
Alcalá de Henares,3.0,0.46166666666666667,0.5860571428571428,0.4811834823329077,0.63556,0.6533828996282527,0.563570038296994,0.668561356324683
Alcobendas,3.0,0.5169777777777778,0.5743142857142857,0.617624521072797,0.6888599999999999,0.5198265179677819,0.5835206205065285,0.6922286689834238
Alcorcón,3.0,0.36666666666666664,0.5975571428571429,0.42409535972754364,0.5786,0.5556629491945476,0.5045164236891801,0.5985062398437228
Aldea del Fresno,2.0,0.6630431875919242,0.7744516510523495,0.7223523356067431,0.49178,0.3197327123620533,0.594271977322614,0.7446417953964306
Algete,2.0,0.6116593127423453,0.6418685440804184,0.5725904002058938,0.5551800000000001,0.5609598056089905,0.5884516125275296,0.7373486921436063
Alpedrete,2.0,0.5694076748228373,0.6055768058096347,0.665113884956891,0.5018199999999999,0.5866356181026627,0.5857107967384051,0.7339143622947388
Ambite,1.0,0.701934740417273,0.7797348660424585,0.479978471474704,0.54328,0.38472,0.5779296155868872,0.7046595982286463
Anchuelo,1.0,0.6728833090732654,0.7471956985260036,0.40038751345532836,0.48378,0.49356,0.5595613042109194,0.6822634334271868
Aranjuez,3.0,0.42082222222222226,0.48837142857142857,0.6272456364410387,0.5496,0.5891945477075589,0.5350467669884497,0.6347242896657066
Arganda del Rey,3.0,0.36263333333333336,0.5362142857142858,0.5573648361004684,0.54164,0.4885006195786865,0.49727061494535485,0.5899105598177236
Arroyomolinos,2.0,0.4829656371172616,0.6140214719958607,0.5736970788830266,0.42938000000000004,0.6652829806621445,0.5530694337316587,0.6930136904120814
Atazar (El),1.0,0.6097919699175157,0.7173449522573467,0.5838966630785791,0.55498,0.22636000000000003,0.5384747170506883,0.6565529219122981
Batres,1.0,0.6824660359049004,0.747102994345045,0.40520990312163613,0.4651600000000001,0.5641,0.5728077866743163,0.698414640700275
Becerril de la Sierra,2.0,0.8051076347105229,0.6363434780198459,0.6488740187878008,0.48152,0.5694846613344133,0.6282659585705167,0.7872373411988013
Belmonte de Tajo,1.0,0.6650897622513343,0.8459256512468712,0.45373519913885896,0.5357000000000001,0.39712000000000003,0.579514122527413,0.7065915601734717
Berrueco (El),1.0,0.8335001213003397,0.7595717066839714,0.5017007534983853,0.4998,0.46950000000000003,0.6128145162965393,0.7471941551285323
Berzosa del Lozoya,1.0,0.6097919699175157,0.8950820432001484,0.597545748116254,0.56284,0.5930799999999999,0.6516679522467836,0.7945674785023463
Boadilla del Monte,3.0,0.5213888888888889,0.3825142857142857,0.49227330779054923,0.24082,0.9354151177199503,0.5144823200227349,0.6103287511856783
Boalo (El),2.0,0.613624816151892,0.4715708557384925,0.6827692703641747,0.46448,0.5343727852586819,0.5533635455026482,0.6933822218683071
Braojos,1.0,0.6097919699175157,0.8833549643088904,0.581162540365985,0.507,0.5504,0.6263418949184782,0.7636878542360652
Brea de Tajo,1.0,0.7602347161572053,0.8566098081023454,0.49285252960172227,0.58532,0.42353999999999997,0.6237114107722546,0.7604805503505523
Brunete,2.0,0.5792753041850515,0.6674612413844079,0.6680221335735427,0.4481,0.40465728460058725,0.5535031927487178,0.6935572043342547
Buitrago del Lozoya,1.0,0.7452237991266375,0.9635904329285251,0.5347900968783639,0.5625,0.49257999999999996,0.6597368657867052,0.8044057654145144
Bustarviejo,1.0,0.6648168364871422,0.7915778251599147,0.4829709364908504,0.49800000000000005,0.6798800000000002,0.6234491196275815,0.7601607432881706
Cabanillas de la Sierra,1.0,0.6851346433770015,0.833642347269862,0.48053821313240036,0.45053999999999994,0.56874,0.6037190407558528,0.73610419889971
Cabrera (La),2.0,0.6626153229041316,0.6370087033649315,0.8303178484107578,0.4561,0.4416320745165537,0.6055347898392749,0.7587544597212819
Cadalso de los Vidrios,2.0,0.6654900387752374,0.7454773915775078,0.7931025608029854,0.5886399999999999,0.41464007289662846,0.6414700128104718,0.8037824434936287
Camarma de Esteruelas,2.0,0.5899585506083701,0.5800580224328769,0.5856646506241152,0.52864,0.4072086665991699,0.5383059780529064,0.6745146082369283
Campo Real,2.0,0.633293221018853,0.6270857586340706,0.5405996654227255,0.6089800000000001,0.40048597752353954,0.5620889245198378,0.7043154008584166
Canencia,1.0,0.6097919699175157,0.7948688235839437,0.559978471474704,0.52592,0.5055799999999999,0.5992278529952326,0.730628171235417
Carabaña,1.0,0.663012493934983,0.7819134142949847,0.4541011840688913,0.5453399999999999,0.4953000000000001,0.5879334184597719,0.7168570622848999
Casarrubuelos,2.0,0.8248161518919643,0.6653177374946875,0.5919186719855876,0.50414,0.46558671661435663,0.6103558555973192,0.7647954093180782
Cenicientos,1.0,0.7464974526928675,0.7965606748864376,0.575069967707212,0.59666,0.6271,0.6683776190573034,0.8149412866334251
Cercedilla,2.0,0.629014574140928,0.7180553245745328,0.9463389525157639,0.55602,0.4841348587627822,0.6667127419988014,0.8354123905562333
Cervera de Buitrago,1.0,0.7186741872877245,0.7656901826272365,0.6398277717976318,0.52828,0.47438,0.6253704283425187,0.7625033618192627
Chapinería,1.0,0.8644317079087821,0.8647677760266986,0.44396124865446707,0.50522,0.56896,0.6494681465179897,0.7918852933724859
Chinchón,2.0,0.49158978473057896,0.6428848605798546,0.7122378072320165,0.6416200000000001,0.6953325908676724,0.6367330086820244,0.7978468258074317
Ciempozuelos,2.0,0.5390961358470384,0.6191215329748507,0.5782524771586669,0.60636,0.41263541561202804,0.5510931123185168,0.690537296468701
Cobeña,2.0,0.5525605027410082,0.6797309533048764,0.5834512932698495,0.36424,0.6394654247241064,0.5638896348079682,0.7065717484452292
Collado Mediano,2.0,0.7150421179302046,0.6567067649721899,0.7513576116329945,0.5133000000000001,0.535020755290068,0.6342854499650914,0.7947799564498584
Collado Villalba,3.0,0.6127666666666666,0.5332428571428571,0.6979352916134526,0.39637999999999995,0.5766542750929368,0.5633958181031826,0.6683546794590611
Colmenar Viejo,3.0,0.5952444444444445,0.4488285714285714,0.6449127288207748,0.31798000000000004,0.5719206939281288,0.5157772877243839,0.6118649672798258
Colmenar de Oreja,2.0,0.6691001470784866,0.6146497403773306,0.6311928966670957,0.5998,0.5350005062265871,0.6099486580699,0.7642851777919939
Colmenar del Arroyo,1.0,0.686105046094129,0.794011309910077,0.5772012917115177,0.52892,0.5544600000000001,0.6281395295431447,0.7658796790850011
Colmenarejo,2.0,0.5662789142933548,0.6077572666629709,0.5885471625273454,0.48469999999999996,0.5024400121494381,0.5499446711266218,0.6890982629223226
Corpa,1.0,0.7414331635128577,0.7739408547325485,0.42421959095801937,0.5246400000000001,0.47739999999999994,0.5883267218406851,0.7173366103040733
Coslada,3.0,0.6863333333333334,0.6236142857142858,0.5124095359727544,0.6398999999999999,0.48485749690210656,0.589422930384496,0.6992305605484666
Cubas de la Sagra,2.0,0.4938895574274636,0.5450412994068408,0.5865139621670312,0.38106000000000007,0.6386149640579124,0.5290239566118495,0.6628839384854847
Daganzo de Arriba,2.0,0.5718411552346572,0.6155736644677272,0.5704285162784712,0.51734,0.4466335931963147,0.5443633858354341,0.6821047339348477
Escorial (El),2.0,0.5921379863618131,0.46787515937690555,0.716175524385536,0.55064,0.5642907765515845,0.5782238893351679,0.7245330278494722
Estremera,1.0,0.6988870693837943,0.9053722072865487,0.5120559741657696,0.59504,0.5133,0.6449310501672225,0.7863532901571644
Fresnedillas de la Oliva,1.0,0.6792212518195051,0.7815194215259109,0.5090419806243273,0.50558,0.60028,0.6151285307939487,0.7500155930373404
Fresno de Torote,1.0,0.6584788937409024,0.7625845925651248,0.43231431646932184,0.43012,0.78486,0.6136715605550698,0.7482391343900068
Fuenlabrada,3.0,0.5410333333333334,0.4739714285714286,0.39533844189016604,0.5685199999999999,0.5512019826517969,0.506013037289345,0.6002816678303555
Fuente el Saz de Jarama,2.0,0.5551544324107501,0.7484154701849696,0.6058937073735685,0.51122,0.5549458337551888,0.5951258887448954,0.7457117737209374
Fuentidueña de Tajo,1.0,0.6654688258127122,0.8535273940854732,0.4754144241119483,0.5653199999999999,0.5640799999999999,0.6247621288020268,0.7617616726961497
Galapagar,2.0,0.5478673619467844,0.5947853724338008,0.6150559773516922,0.5232399999999999,0.7010630758327427,0.596402357513004,0.7473112299152784
Garganta de los Montes,1.0,0.6097919699175157,0.8359135997033467,0.6311948331539289,0.49978,0.64296,0.6439280805549582,0.785130386632319
Gargantilla del Lozoya y Pinilla de Buitrago,1.0,0.6097919699175157,0.8712338926485583,0.6408180839612486,0.49504,0.46171999999999996,0.6157207893054645,0.7507377236108851
Gascones,1.0,0.6097919699175157,0.7607768610364327,0.5636598493003229,0.5152800000000001,0.4381400000000001,0.5775297360508543,0.7041720320171196
Getafe,3.0,0.44814444444444446,0.5236,0.5300127713920817,0.67694,0.6302850061957868,0.5617964444064626,0.6664573474944656
Griñón,2.0,0.5359673753175558,0.7045660328547407,0.5819843006048128,0.57272,0.6720259188012555,0.613452725515673,0.7686758863792744
Guadalix de la Sierra,2.0,0.7066987565182511,0.660347025888353,0.624218247329816,0.48554,0.42057304849650706,0.5794754156465853,0.7261012303477936
Guadarrama,2.0,0.5868832731648616,0.7118835116506828,0.6581907090464548,0.5791600000000001,0.5855016705477372,0.6243238328819473,0.7822977316219877
Hiruela (La),1.0,0.6097919699175157,0.7173449522573467,0.7371151776103336,0.31052,0.40382000000000007,0.5557184199570393,0.6775778710311007
Horcajo de la Sierra-Aoslos,1.0,0.6097919699175157,0.7841846667284694,0.6366200215285254,0.43439999999999995,0.35414,0.5638273316349022,0.6874649269820089
Horcajuelo de la Sierra,1.0,0.6097919699175157,0.8108602947992954,0.6419590958019376,0.37378,0.38992000000000004,0.5652622721037497,0.6892145251112436
Hoyo de Manzanares,2.0,0.5354860275437893,0.5595838645896852,0.6213614721400076,0.4364,0.686665991697884,0.5678994711942732,0.7115962016920346
Humanes de Madrid,2.0,0.5526139858269823,0.5999408688582146,0.5892935272165745,0.62312,0.32797408119874455,0.5385884926201031,0.6748686080258647
Leganés,3.0,0.5277777777777778,0.5781571428571428,0.3934865900383142,0.6000599999999999,0.6142007434944237,0.5427364508335317,0.6438465373222912
Loeches,2.0,0.6224628961091055,0.5637045660328547,0.6008750482563378,0.5204,0.3972866254935709,0.5409458271783738,0.677822423626811
Lozoya,1.0,0.6982654051431344,0.7762584592565124,0.5472981700753499,0.51676,0.4989,0.6074964068949993,0.7407098761901366
Lozoyuela-Navas-Sieteiglesias,1.0,0.6678190198932555,0.8192268471308056,0.5304413347685683,0.5404399999999999,0.5198599999999999,0.6155574403585258,0.7505385550612617
Madarcos,1.0,0.6097919699175157,0.8285667933623806,0.6794187298170076,0.43805999999999995,0.35861999999999994,0.5828914986193808,0.7107095365080403
Majadahonda,3.0,0.6259222222222223,0.5615285714285714,0.7590038314176246,0.37254000000000004,0.7444361833952912,0.6126861616927419,0.7268276583695887
Manzanares el Real,2.0,0.61004144939163,0.6540458635918474,0.5791532621284262,0.44332,0.5148324389996963,0.56027860282232,0.7020470098682202
Meco,2.0,0.5264874983286536,0.568453535857494,0.6275382833612148,0.6081,0.5078060139718539,0.5676770663038433,0.7113175212506972
Mejorada del Campo,2.0,0.5940767482283728,0.5902951013544727,0.5090721914811478,0.59864,0.4257770578110763,0.5435722197750139,0.6811133775556655
Miraflores de la Sierra,2.0,0.672228907607969,0.6739102315353771,0.6049671856903873,0.48266000000000003,0.508332489622355,0.5884197628912177,0.7373087835305957
Molar (El),2.0,0.630779515978072,0.4585065691002827,0.5905546261742376,0.45399999999999996,0.468806317707806,0.5205294057920796,0.6522399946097905
Molinos (Los),2.0,0.784088781922717,0.5099691409353807,0.8223394672500324,0.46130000000000004,0.5402450136681178,0.6235884807552495,0.7813763118869704
Montejo de la Sierra,1.0,0.7130488840368753,0.9296143506072123,0.5903552206673843,0.43760000000000004,0.38543999999999995,0.6112116910622943,0.7452398580045705
