Nombre,Habitaciones
Acebeda (La),50.14
Ajalvir,29.44
Alameda del Valle,84.81
Alamo (El),43.06
Alcalá de Henares,41.38
Alcobendas,35.52
Alcorcón,30.19
Aldea del Fresno,44.52
Algete,45.5
Alpedrete,53.77
Ambite,39.44
Anchuelo,35.8
Aranjuez,62.7
Arganda del Rey,39.78
Arroyomolinos,56.2
Atazar (El),14.4
Batres,41.15
Becerril de la Sierra,59.12
Belmonte de Tajo,25.96
Berrueco (El),39.23
Berzosa del Lozoya,57.2
Berzosa del Lozoya,64.26
Boadilla del Monte,92.54
Boalo (El),52.31
Braojos,57.2
Brea de Tajo,42.01
Brunete,31.87
Buitrago del Lozoya,40.51
Bustarviejo,51.42
Cabanillas de la Sierra,54.85
Cabrera (La),49.88
Cadalso de los Vidrios,54.26
Camarma de Esteruelas,27.49
Campo Real,39.17
Canencia,57.2
Carabaña,50.99
Casarrubuelos,47.44
Cenicientos,81.17
Cercedilla,53.28
Cervera de Buitrago,100.0
Chapinería,48.85
Chinchón,100.0
Ciempozuelos,39.17
Cobeña,73.96
Collado Mediano,49.39
Collado Villalba,57.9
Colmenar Viejo,50.44
Colmenar de Oreja,62.04
Colmenar del Arroyo,50.78
Colmenarejo,47.44
Corpa,40.08
Coslada,40.32
Cubas de la Sagra,57.66
Daganzo de Arriba,37.71
Estremera,65.33
Fresnedillas de la Oliva,60.62
Fresno de Torote,85.66
Fuenlabrada,36.58
Fuente el Saz de Jarama,66.91
Fuentidueña de Tajo,68.97
Galapagar,59.61
Garganta de los Montes,71.54
Gargantilla del Lozoya y Pinilla de Buitrago,52.71
Gascones,57.2
Getafe,41.38
Griñón,68.85
Guadalix de la Sierra,38.68
Guadarrama,60.09
Hiruela (La),25.1
Horcajo de la Sierra-Aoslos,35.8
Horcajuelo de la Sierra,35.8
Hoyo de Manzanares,69.83
Humanes de Madrid,27.0
Leganés,41.91
Loeches,23.6
Lozoyuela-Navas-Sieteiglesias,40.51
Madarcos,37.94
Majadahonda,66.43
Manzanares el Real,57.17
Meco,37.71
Mejorada del Campo,36.74
Miraflores de la Sierra,52.31
Molar (El),48.9
Molinos (Los),56.2
Montejo de la Sierra,39.44
Moraleja de Enmedio,60.82
Moralzarzal,53.77
Morata de Tajuña,34.55
Móstoles,54.7
Navacerrada,63.01
Navalafuente,48.64
Navalagamella,41.12
Navalcarnero,45.98
Navarredonda y San Mamés,54.42
Navas del Rey,61.31
Nuevo Baztán,82.48
Olmeda de las Fuentes,40.94
Orusco de Tajuña,49.07
Paracuellos de Jarama,51.82
Parla,34.99
Patones,40.51
Pedrezuela,36.25
Pelayos de la Presa,44.04
Perales de Tajuña,36.25
Pezuela de las Torres,41.79
Pinilla del Valle,35.8
Pinto,32.32
Piñuécar-Gandullas,67.9
Pozuelo de Alarcón,100.0
Pozuelo del Rey,32.38
Prádena del Rincón,35.8
Puebla de la Sierra,42.86
Puentes Viejas,50.35
Quijorna,49.88
Rascafría,64.26
Redueña,57.2
Ribatejada,54.42
Rivas-Vaciamadrid,63.23
Robledillo de la Jara,85.66
Robledo de Chavela,65.93
Robregordo,60.84
Rozas de Madrid (Las),75.49
Rozas de Puerto Real,52.92
San Agustín del Guadalix,41.12
San Fernando de Henares,29.92
San Lorenzo de El Escorial,43.55
San Lorenzo de El Escorial,56.2
San Martín de Valdeiglesias,42.09
San Martín de la Vega,34.3
San Sebastián de los Reyes,24.33
Santa María de la Alameda,45.0
Santorcaz,42.86
Santos de la Humosa (Los),42.65
Serna del Monte (La),48.64
Serranillos del Valle,42.09
Sevilla la Nueva,39.17
Somosierra,35.8
Soto del Real,48.66
Talamanca de Jarama,57.9
Tielmes,51.64
Titulcia,34.09
Torrejón de Ardoz,33.39
Torrejón de Velasco,46.23
Torrejón de la Calzada,48.66
Torrelaguna,57.66
Torrelodones,73.72
Torremocha de Jarama,49.5
Torres de la Alameda,29.92
Tres Cantos,44.58
Valdaracete,51.85
Valdeavero,45.22
Valdelaguna,30.88
Valdemanco,53.99
Valdemaqueda,57.2
Valdemorillo,63.99
Valdemoro,49.91
Valdeolmos-Alalpardo,50.36
Valdepiélagos,39.44
Valdetorres de Jarama,44.77
Valdilecha,54.74
Valverde de Alcalá,46.5
Velilla de San Antonio,28.46
Vellón (El),35.8
Venturada,50.99
Villa del Prado,52.31
Villaconejos,42.33
Villalbilla,40.14
Villamanrique de Tajo,69.61
Villamanta,39.87
Villamantilla,46.5
Villanueva de Perales,42.86
Villanueva de la Cañada,81.02
Villanueva del Pardillo,42.58
Villar del Olmo,52.92
Villarejo de Salvanés,48.9
Villaviciosa de Odón,73.72
Villavieja del Lozoya,50.14
Zarzalejo,66.19
