Nombre,superficieFamiliares
Acebeda (La),43.01
Ajalvir,18.53
Alameda del Valle,53.89
Alamo (El),39.68
Alcalá de Henares,34.18
Alcobendas,46.18
Alcorcón,29.91
Aldea del Fresno,20.32
Algete,62.23
Alpedrete,48.9
Ambite,36.92
Anchuelo,36.48
Aranjuez,46.58
Arganda del Rey,48.0
Arroyomolinos,64.54
Atazar (El),30.11
Batres,99.84
Becerril de la Sierra,54.61
Belmonte de Tajo,60.25
Berrueco (El),51.84
Berzosa del Lozoya,49.04
Boadilla del Monte,100.0
Boalo (El),52.46
Braojos,53.24
Brea de Tajo,47.46
Brunete,47.21
Buitrago del Lozoya,45.94
Bustarviejo,50.24
Cabanillas de la Sierra,68.09
Cabrera (La),49.96
Cadalso de los Vidrios,32.7
Camarma de Esteruelas,60.95
Campo Real,34.11
Canencia,50.96
Carabaña,31.59
Casarrubuelos,59.13
Cenicientos,42.8
Cercedilla,43.96
Cervera de Buitrago,19.47
Chapinería,52.0
Chinchón,40.3
Ciempozuelos,19.34
Cobeña,70.3
Collado Mediano,63.14
Collado Villalba,41.06
Colmenar Viejo,61.85
Colmenar de Oreja,59.13
Colmenar del Arroyo,51.96
Colmenarejo,47.45
Corpa,45.66
Coslada,34.68
Cubas de la Sagra,91.41
Daganzo de Arriba,54.38
Escorial (El),41.01
Estremera,50.08
Fresnedillas de la Oliva,45.75
Fresno de Torote,55.57
Fuenlabrada,28.65
Fuente el Saz de Jarama,40.83
Fuentidueña de Tajo,60.88
Galapagar,51.22
Garganta de los Montes,57.1
Gargantilla del Lozoya y Pinilla de Buitrago,42.04
Gascones,57.87
Getafe,36.13
Griñón,78.82
Guadalix de la Sierra,43.13
Guadarrama,34.06
Hiruela (La),46.3
Horcajo de la Sierra-Aoslos,26.95
Horcajuelo de la Sierra,60.25
Hoyo de Manzanares,64.02
Humanes de Madrid,15.31
Leganés,27.99
Loeches,58.7
Lozoya,49.95
Lozoyuela-Navas-Sieteiglesias,49.9
Madarcos,41.58
Majadahonda,72.1
Manzanares el Real,38.38
Meco,57.01
Mejorada del Campo,21.91
Miraflores de la Sierra,48.99
Molar (El),26.73
Molinos (Los),71.59
Montejo de la Sierra,36.9
Moraleja de Enmedio,68.0
Moralzarzal,55.92
Morata de Tajuña,44.14
Móstoles,35.37
Navacerrada,46.97
Navalafuente,40.33
Navalagamella,35.48
Navalcarnero,36.36
Navarredonda y San Mamés,37.85
Navas del Rey,40.42
Nuevo Baztán,82.76
Olmeda de las Fuentes,87.62
Orusco de Tajuña,46.19
Paracuellos de Jarama,59.48
Parla,34.37
Patones,61.14
Pedrezuela,35.39
Pelayos de la Presa,29.41
Perales de Tajuña,32.92
Pezuela de las Torres,61.27
Pinilla del Valle,59.17
Pinto,38.01
Piñuécar-Gandullas,55.14
Pozuelo de Alarcón,98.22
Pozuelo del Rey,48.04
Prádena del Rincón,52.68
Puebla de la Sierra,13.0
Puentes Viejas,47.77
Quijorna,57.8
Rascafría,52.96
Redueña,58.31
Ribatejada,50.71
Rivas-Vaciamadrid,66.95
Robledillo de la Jara,46.0
Robledo de Chavela,53.4
Robregordo,64.24
Rozas de Madrid (Las),78.05
Rozas de Puerto Real,34.77
San Agustín del Guadalix,50.58
San Fernando de Henares,1.23
San Lorenzo de El Escorial,33.66
San Martín de Valdeiglesias,25.82
San Martín de la Vega,43.1
San Sebastián de los Reyes,42.49
Santa María de la Alameda,30.22
Santorcaz,56.32
Santos de la Humosa (Los),51.19
Serna del Monte (La),41.14
Serranillos del Valle,84.52
Sevilla la Nueva,37.53
Somosierra,73.12
Soto del Real,65.01
Talamanca de Jarama,39.9
Tielmes,26.17
Titulcia,54.12
Torrejón de Ardoz,35.54
Torrejón de Velasco,65.25
Torrejón de la Calzada,66.27
Torrelaguna,37.66
Torrelodones,100.0
Torremocha de Jarama,47.69
Torres de la Alameda,53.28
Tres Cantos,60.09
Valdaracete,50.75
Valdeavero,44.89
Valdelaguna,44.06
Valdemanco,68.32
Valdemaqueda,43.69
Valdemorillo,68.64
Valdemoro,53.59
Valdeolmos-Alalpardo,58.1
Valdepiélagos,62.83
Valdetorres de Jarama,50.98
Valdilecha,31.95
Valverde de Alcalá,68.16
Velilla de San Antonio,41.51
Vellón (El),38.57
Venturada,100.0
Villa del Prado,43.15
Villaconejos,64.78
Villalbilla,67.51
Villamanrique de Tajo,41.63
Villamanta,44.5
Villamantilla,55.2
Villanueva de Perales,41.26
Villanueva de la Cañada,85.4
Villanueva del Pardillo,54.71
Villar del Olmo,82.66
Villarejo de Salvanés,47.83
Villaviciosa de Odón,76.69
Villavieja del Lozoya,32.65
Zarzalejo,31.78
