municipio_codigo;municipio_nombre;media_actividades_extraescolares
4;Álamo, El;1.3333333333333333
5;Alcalá de Henares;2.9
6;Alcobendas;1.6666666666666667
7;Alcorcón;2.0588235294117645
8;Aldea del Fresno;1.0
9;Algete;1.0
10;Alpedrete;7.0
13;Aranjuez;3.0
14;Arganda del Rey;2.8
15;Arroyomolinos;2.0
18;Becerril de la Sierra;2.0
22;Boadilla del Monte;3.25
23;Boalo, El;1.0
26;Brunete;4.0
27;Buitrago del Lozoya;1.0
30;Cabrera, La;3.0
31;Cadalso de los Vidrios;4.0
32;Camarma de Esteruelas;1.0
33;Campo Real;2.0
37;Cenicientos;4.0
38;Cercedilla;2.5
40;Ciempozuelos;4.666666666666667
41;Cobeña;1.5
43;Colmenar de Oreja;1.0
44;Colmenarejo;6.0
45;Colmenar Viejo;2.0
46;Collado Mediano;2.0
47;Collado Villalba;2.3333333333333335
49;Coslada;1.5555555555555556
50;Cubas de la Sagra;1.0
51;Chapinería;1.0
52;Chinchón;1.0
53;Daganzo de Arriba;2.0
54;Escorial, El;3.0
55;Estremera;1.0
56;Fresnedillas de la Oliva;1.0
58;Fuenlabrada;2.84
59;Fuente el Saz de Jarama;3.0
61;Galapagar;4.333333333333333
65;Getafe;1.8333333333333333
66;Griñón;2.0
67;Guadalix de la Sierra;1.5
68;Guadarrama;1.3333333333333333
72;Hoyo de Manzanares;2.0
73;Humanes de Madrid;3.25
74;Leganés;2.5
79;Madrid;1.8645833333333333
80;Majadahonda;1.75
82;Manzanares el Real;1.0
83;Meco;1.0
84;Mejorada del Campo;1.6666666666666667
85;Miraflores de la Sierra;2.0
86;Molar, El;5.0
89;Moraleja de Enmedio;1.0
90;Moralzarzal;1.5
91;Morata de Tajuña;3.0
92;Móstoles;2.4375
95;Navalagamella;1.0
96;Navalcarnero;2.4
99;Navas del Rey;2.0
100;Nuevo Baztán;1.0
104;Paracuellos de Jarama;1.3333333333333333
106;Parla;3.25
108;Pedrezuela;1.0
109;Pelayos de la Presa;1.0
113;Pinto;2.8333333333333335
115;Pozuelo de Alarcón;1.4
123;Rivas-Vaciamadrid;2.375
125;Robledo de Chavela;1.5
127;Rozas de Madrid, Las;2.2
129;San Agustín del Guadalix;2.0
130;San Fernando de Henares;1.6666666666666667
131;San Lorenzo de El Escorial;5.0
132;San Martín de la Vega;1.0
133;San Martín de Valdeiglesias;4.0
134;San Sebastián de los Reyes;2.6
141;Sevilla la Nueva;4.0
144;Soto del Real;1.0
148;Torrejón de Ardoz;2.642857142857143
149;Torrejón de la Calzada;1.0
150;Torrejón de Velasco;1.0
151;Torrelaguna;2.0
152;Torrelodones;1.3333333333333333
154;Torres de la Alameda;1.5
160;Valdemorillo;1.5
161;Valdemoro;2.4285714285714284
162;Valdeolmos-Alalpardo;1.0
164;Valdetorres de Jarama;1.0
165;Valdilecha;1.0
167;Velilla de San Antonio;5.0
171;Villa del Prado;2.5
172;Villalbilla;1.0
176;Villanueva de la Cañada;1.0
177;Villanueva del Pardillo;3.0
180;Villarejo de Salvanés;1.3333333333333333
181;Villaviciosa de Odón;2.5
903;Tres Cantos;1.25
