municipio_codigo;municipio_nombre;media_opciones_idiomas
2;Ajalvir;0.0
4;Álamo, El;0.0
5;Alcalá de Henares;0.08333333333333333
6;Alcobendas;0.047619047619047616
7;Alcorcón;0.1
8;Aldea del Fresno;0.0
9;Algete;0.0
10;Alpedrete;0.0
13;Aranjuez;0.0
14;Arganda del Rey;0.0
15;Arroyomolinos;0.0
18;Becerril de la Sierra;0.0
22;Boadilla del Monte;0.2857142857142857
23;Boalo, El;0.2
26;Brunete;0.5
27;Buitrago del Lozoya;0.0
32;Camarma de Esteruelas;0.0
38;Cercedilla;0.0
40;Ciempozuelos;0.0
41;Cobeña;0.0
44;Colmenarejo;0.0
45;Colmenar Viejo;0.0
47;Collado Villalba;0.09090909090909091
49;Coslada;0.15384615384615385
50;Cubas de la Sagra;0.0
53;Daganzo de Arriba;0.0
54;Escorial, El;0.0
55;Estremera;0.0
57;Fresno de Torote;0.0
58;Fuenlabrada;0.13636363636363635
59;Fuente el Saz de Jarama;0.0
61;Galapagar;0.0
65;Getafe;0.09523809523809523
68;Guadarrama;0.0
73;Humanes de Madrid;0.0
74;Leganés;0.125
75;Loeches;0.0
79;Madrid;0.06481481481481481
80;Majadahonda;0.0
82;Manzanares el Real;0.0
83;Meco;0.0
84;Mejorada del Campo;0.0
86;Molar, El;0.0
90;Moralzarzal;0.0
92;Móstoles;0.04
93;Navacerrada;0.0
96;Navalcarnero;0.0
99;Navas del Rey;0.0
100;Nuevo Baztán;0.0
104;Paracuellos de Jarama;0.0
106;Parla;0.0
108;Pedrezuela;0.0
113;Pinto;0.0
115;Pozuelo de Alarcón;0.08333333333333333
119;Quijorna;0.0
123;Rivas-Vaciamadrid;0.0
125;Robledo de Chavela;0.0
127;Rozas de Madrid, Las;0.0
129;San Agustín del Guadalix;0.0
130;San Fernando de Henares;0.0
131;San Lorenzo de El Escorial;0.0
132;San Martín de la Vega;0.0
133;San Martín de Valdeiglesias;0.0
134;San Sebastián de los Reyes;0.06666666666666667
141;Sevilla la Nueva;0.0
144;Soto del Real;0.0
148;Torrejón de Ardoz;0.058823529411764705
149;Torrejón de la Calzada;0.0
152;Torrelodones;0.2
161;Valdemoro;0.0
162;Valdeolmos-Alalpardo;0.0
164;Valdetorres de Jarama;0.0
165;Valdilecha;0.0
167;Velilla de San Antonio;0.0
168;Vellón, El;0.0
169;Venturada;0.0
172;Villalbilla;0.0
176;Villanueva de la Cañada;0.16666666666666666
177;Villanueva del Pardillo;0.0
180;Villarejo de Salvanés;0.0
181;Villaviciosa de Odón;0.0
903;Tres Cantos;0.2857142857142857
