id,nombre
28001,Acebeda (La)
28001,"Acebeda"
28002,Ajalvir
28003,Alameda del Valle
28004,Alamo (El)
28004,"Alamo, El"
28004,"Alamo"
28005,Alcalá de Henares
28006,Alcobendas
28007,Alcorcón
28008,Aldea del Fresno
28009,Algete
28010,Alpedrete
28011,Ambite
28012,Anchuelo
28013,Aranjuez
28014,Arganda del Rey
28015,Arroyomolinos
28016,Atazar (El)
28017,Batres
28018,Becerril de la Sierra
28019,Belmonte de Tajo
28020,Berzosa del Lozoya
28021,Berrueco (El)
28021,Berrueco
28021,"Berrueco, El"
28022,Boadilla del Monte
28023,Boalo (El)
28023,"Boalo, El"
28023,Boalo
28024,Braojos
28025,Brea de Tajo
28026,Brunete
28027,Buitrago del Lozoya
28028,Bustarviejo
28029,Cabanillas de la Sierra
28030,Cabrera (La)
28030,"Cabrera, La"
28030, Cabrera
28031,Cadalso de los Vidrios
28032,Camarma de Esteruelas
28033,Campo Real
28034,Canencia
28035,Carabaña
28036,Casarrubuelos
28037,Cenicientos
28038,Cercedilla
28039,Cervera de Buitrago
28040,Ciempozuelos
28041,Cobeña
28042,Colmenar del Arroyo
28043,Colmenar de Oreja
28044,Colmenarejo
28045,Colmenar Viejo
28046,Collado Mediano
28047,Collado Villalba
28048,Corpa
28049,Coslada
28050,Cubas de la Sagra
28051,Chapinería
28052,Chinchón
28053,Daganzo de Arriba
28054,Escorial (El)
28054,"Escorial, El"
28054,Escorial
28055,Estremera
28056,Fresnedillas de la Oliva
28057,Fresno de Torote
28058,Fuenlabrada
28059,Fuente el Saz de Jarama
28060,Fuentidueña de Tajo
28061,Galapagar
28062,Garganta de los Montes
28063,Gargantilla del Lozoya y Pinilla de Buitrago
28064,Gascones
28065,Getafe
28066,Griñón
28067,Guadalix de la Sierra
28068,Guadarrama
28069,Hiruela (La)
28069,"Hiruela, La"
28069,"Hiruela"
28070,Horcajo de la Sierra-Aoslos
28070,Horcajo de la Sierra
28071,Horcajuelo de la Sierra
28072,Hoyo de Manzanares
28073,Humanes de Madrid
28074,Leganés
28075,Loeches
28076,Lozoya
28078,Madarcos
28079,Madrid
28080,Majadahonda
28082,Manzanares el Real
28083,Meco
28084,Mejorada del Campo
28085,Miraflores de la Sierra
28086,Molar (El)
28086,"Molar, El"
28086,Molar
28087,Molinos (Los)
28087,"Molinos, Los"
28087,Molinos
28088,Montejo de la Sierra
28089,Moraleja de Enmedio
28090,Moralzarzal
28091,Morata de Tajuña
28092,Móstoles
28093,Navacerrada
28094,Navalafuente
28095,Navalagamella
28096,Navalcarnero
28097,Navarredonda y San Mamés
28099,Navas del Rey
28100,Nuevo Baztán
28101,Olmeda de las Fuentes
28102,Orusco de Tajuña
28104,Paracuellos de Jarama
28106,Parla
28107,Patones
28108,Pedrezuela
28109,Pelayos de la Presa
28110,Perales de Tajuña
28111,Pezuela de las Torres
28112,Pinilla del Valle
28113,Pinto
28114,Piñuécar-Gandullas
28114,"Piñuécar Gandullas"
28115,Pozuelo de Alarcón
28116,Pozuelo del Rey
28117,Prádena del Rincón
28118,Puebla de la Sierra
28119,Quijorna
28120,Rascafría
28121,Redueña
28122,Ribatejada
28123,Rivas-Vaciamadrid
28123,"Rivas Vaciamadrid"
28124,Robledillo de la Jara
28125,Robledo de Chavela
28126,Robregordo
28127,Rozas de Madrid (Las)
28127,"Rozas de Madrid, Las"
28127,Rozas de Madrid
28128,Rozas de Puerto Real
28129,San Agustín del Guadalix
28130,San Fernando de Henares
28131,San Lorenzo de El Escorial
28132,San Martín de la Vega
28133,San Martín de Valdeiglesias
28134,San Sebastián de los Reyes
28135,Santa María de la Alameda
28136,Santorcaz
28137,Santos de la Humosa (Los)
28137,"Santos de la Humosa, Los"
28137,Santos de la Humosa
28138,Serna del Monte (La)
28138,"Serna del Monte, La"
28138,"Serna del Monte"
28140,Serranillos del Valle
28141,Sevilla la Nueva
28143,Somosierra
28144,Soto del Real
28145,Talamanca de Jarama
28146,Tielmes
28147,Titulcia
28148,Torrejón de Ardoz
28149,Torrejón de la Calzada
28150,Torrejón de Velasco
28151,Torrelaguna
28152,Torrelodones
28153,Torremocha de Jarama
28154,Torres de la Alameda
28155,Valdaracete
28156,Valdeavero
28157,Valdelaguna
28158,Valdemanco
28159,Valdemaqueda
28160,Valdemorillo
28161,Valdemoro
28162,Valdeolmos-Alalpardo
28162,"Valdeolmos Alalpardo"
28163,Valdepiélagos
28164,Valdetorres de Jarama
28165,Valdilecha
28166,Valverde de Alcalá
28167,Velilla de San Antonio
28168,Vellón (El)
28168,"Vellón, El"
28168,Vellón
28169,Venturada
28170,Villaconejos
28171,Villa del Prado
28172,Villalbilla
28173,Villamanrique de Tajo
28174,Villamanta
28175,Villamantilla
28176,Villanueva de la Calzada
28177,Villanueva del Pardillo
28178,Villanueva de Perales
28179,Villar del Olmo
28180,Villarejo de Salvanés
28691,Villanueva de la Cañada
28181,Villaviciosa de Odón
28182,Villavieja del Lozoya
28183,Zarzalejo
28901,Lozoyuela-Navas-Sieteiglesias
28901,"Lozoyuela Navas Sieteiglesias"
28901,Lozoyuela
28902,Puentes Viejas
28903,Tres Cantos
28231,Las Rozas
