Nombre,nombre_norm,coincide_con_geojson
Acebeda (La),la acebeda,✅ SÍ
Ajalvir,ajalvir,✅ SÍ
Alameda del Valle,alameda del valle,✅ SÍ
Alamo (El),el alamo,✅ SÍ
Alcalá de Henares,alcala de henares,✅ SÍ
Alcobendas,alcobendas,✅ SÍ
Alcorcón,alcorcon,✅ SÍ
Aldea del Fresno,aldea del fresno,✅ SÍ
Algete,algete,✅ SÍ
Alpedrete,alpedrete,✅ SÍ
Ambite,ambite,✅ SÍ
Anchuelo,anchuelo,✅ SÍ
Aranjuez,aranjuez,✅ SÍ
Arganda del Rey,arganda del rey,✅ SÍ
Arroyomolinos,arroyomolinos,✅ SÍ
Atazar (El),el atazar,✅ SÍ
Batres,batres,✅ SÍ
Becerril de la Sierra,becerril de la sierra,✅ SÍ
Belmonte de Tajo,belmonte de tajo,✅ SÍ
Berrueco (El),el berrueco,✅ SÍ
Berzosa del Lozoya,berzosa del lozoya,✅ SÍ
Boadilla del Monte,boadilla del monte,✅ SÍ
Boalo (El),el boalo,✅ SÍ
Braojos,braojos,✅ SÍ
Brea de Tajo,brea de tajo,✅ SÍ
Brunete,brunete,✅ SÍ
Buitrago del Lozoya,buitrago del lozoya,✅ SÍ
Bustarviejo,bustarviejo,✅ SÍ
Cabanillas de la Sierra,cabanillas de la sierra,✅ SÍ
Cabrera (La),la cabrera,✅ SÍ
Cadalso de los Vidrios,cadalso de los vidrios,✅ SÍ
Camarma de Esteruelas,camarma de esteruelas,✅ SÍ
Campo Real,campo real,✅ SÍ
Canencia,canencia,✅ SÍ
Carabaña,carabana,✅ SÍ
Casarrubuelos,casarrubuelos,✅ SÍ
Cenicientos,cenicientos,✅ SÍ
Cercedilla,cercedilla,✅ SÍ
Cervera de Buitrago,cervera de buitrago,✅ SÍ
Chapinería,chapineria,✅ SÍ
Chinchón,chinchon,✅ SÍ
Ciempozuelos,ciempozuelos,✅ SÍ
Cobeña,cobena,✅ SÍ
Collado Mediano,collado mediano,✅ SÍ
Collado Villalba,collado villalba,✅ SÍ
Colmenar Viejo,colmenar viejo,✅ SÍ
Colmenar de Oreja,colmenar de oreja,✅ SÍ
Colmenar del Arroyo,colmenar del arroyo,✅ SÍ
Colmenarejo,colmenarejo,✅ SÍ
Corpa,corpa,✅ SÍ
Coslada,coslada,✅ SÍ
Cubas de la Sagra,cubas de la sagra,✅ SÍ
Daganzo de Arriba,daganzo de arriba,✅ SÍ
Escorial (El),el escorial,✅ SÍ
Estremera,estremera,✅ SÍ
Fresnedillas de la Oliva,fresnedillas de la oliva,✅ SÍ
Fresno de Torote,fresno de torote,✅ SÍ
Fuenlabrada,fuenlabrada,✅ SÍ
Fuente el Saz de Jarama,fuente el saz de jarama,✅ SÍ
Fuentidueña de Tajo,fuentiduena de tajo,✅ SÍ
Galapagar,galapagar,✅ SÍ
Garganta de los Montes,garganta de los montes,✅ SÍ
Gargantilla del Lozoya y Pinilla de Buitrago,gargantilla del lozoya y pinilla de buitrago,✅ SÍ
Gascones,gascones,✅ SÍ
Getafe,getafe,✅ SÍ
Griñón,grinon,✅ SÍ
Guadalix de la Sierra,guadalix de la sierra,✅ SÍ
Guadarrama,guadarrama,✅ SÍ
Hiruela (La),la hiruela,✅ SÍ
Horcajo de la Sierra-Aoslos,horcajo de la sierra-aoslos,✅ SÍ
